Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Colero,Judy Higginbotham,Pixie Hobby,Bonnie Hu,Brian Marlatt,Dianne Lynn Watts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 1","Surrey",8,168,22,4,0,111,0,313,486
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 2","Surrey",13,188,31,1,0,125,0,358,551
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 3","Surrey",2,207,34,2,0,101,4,350,532
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 4","Surrey",5,143,15,0,0,78,4,245,379
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 5","Surrey",4,139,33,1,0,90,0,267,434
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 6","Surrey",3,129,21,5,0,91,0,249,399
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 7","Surrey",3,128,17,2,0,72,3,225,423
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 8A","Surrey",4,90,14,0,1,71,0,180,323
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 8B","Surrey",8,75,10,0,1,67,1,162,323
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 9","Surrey",6,87,15,0,0,151,0,259,422
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 10","Surrey",6,79,27,1,0,116,0,229,403
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 11","Surrey",3,67,4,0,0,145,0,219,356
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 12","Surrey",14,97,20,1,1,156,1,290,468
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 13A","Surrey",1,66,18,0,0,84,0,169,291
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 13B","Surrey",1,78,8,1,0,87,0,175,279
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 14","Surrey",8,128,16,3,1,166,0,322,493
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 15A","Surrey",4,80,20,2,0,80,1,187,334
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 15B","Surrey",4,100,12,0,0,67,0,183,343
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 16","Surrey",3,91,20,0,0,108,0,222,389
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 17","Surrey",3,116,11,3,0,139,0,272,460
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 18","Surrey",6,141,34,1,0,117,0,299,454
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 19","Surrey",14,107,16,2,0,110,2,251,416
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 20","Surrey",8,141,34,0,0,108,1,292,433
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 21","Surrey",5,96,31,0,1,139,0,272,398
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 22","Surrey",4,88,24,0,0,127,1,244,391
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 23","Surrey",5,125,16,1,0,115,0,262,397
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 24","Surrey",9,118,31,0,2,114,0,274,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 25","Surrey",19,119,44,0,0,85,0,267,416
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 26","Surrey",8,96,25,1,1,99,1,231,368
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 27","Surrey",7,94,20,1,1,101,0,224,351
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 28","Surrey",16,116,11,2,0,116,1,262,404
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 29","Surrey",14,66,43,0,1,67,1,192,328
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 30","Surrey",6,53,16,1,0,62,0,138,306
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 31","Surrey",6,76,12,2,1,107,0,204,391
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 32","Surrey",4,58,3,0,0,112,0,177,349
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 33","Surrey",5,60,7,1,0,91,0,164,307
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 34","Surrey",3,67,8,0,1,111,0,190,428
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 35","Surrey",6,93,14,0,0,116,1,230,356
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 36","Surrey",4,83,18,1,0,100,0,206,353
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 37","Surrey",8,57,14,2,0,89,0,170,346
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 38","Surrey",0,40,8,0,0,100,0,148,336
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 39","Surrey",7,125,19,1,2,162,0,316,468
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 40","Surrey",9,80,18,1,0,152,0,260,456
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 41","Surrey",4,104,36,2,0,109,2,257,408
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 42","Surrey",8,110,24,3,0,107,0,252,407
