Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacob K. Binnema,Ryan Bromsgrove,Linda Duncan,Donovan Eckstrom,Chris Jones,Dougal MacDonald,Eleanor Olszewski,Andrew Schurman,Malcolm Stinson,Len Thom,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 1","Edmonton",5,0,72,1,0,1,61,0,3,126,0,269,415
48019,"Edmonton Strathcona/Edmonton Strathcona"," 2","Edmonton",6,0,95,0,0,1,50,0,0,139,1,292,427
48019,"Edmonton Strathcona/Edmonton Strathcona"," 3","Edmonton",3,1,92,0,1,0,60,1,0,125,0,283,431
48019,"Edmonton Strathcona/Edmonton Strathcona"," 4","Edmonton",4,1,105,0,1,0,53,1,0,139,0,304,420
48019,"Edmonton Strathcona/Edmonton Strathcona"," 5","Edmonton",6,1,92,1,1,1,51,0,3,68,0,224,358
48019,"Edmonton Strathcona/Edmonton Strathcona"," 6","Edmonton",5,0,54,0,0,0,59,1,0,130,0,249,421
48019,"Edmonton Strathcona/Edmonton Strathcona"," 7","Edmonton",5,1,73,0,1,0,32,0,2,97,0,211,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 8","Edmonton",6,1,101,1,1,0,48,1,4,81,0,244,399
48019,"Edmonton Strathcona/Edmonton Strathcona"," 9","Edmonton",10,3,126,0,0,0,61,1,1,91,0,293,440
48019,"Edmonton Strathcona/Edmonton Strathcona"," 10","Edmonton",1,1,117,1,0,0,74,0,2,76,0,272,440
48019,"Edmonton Strathcona/Edmonton Strathcona"," 11","Edmonton",4,1,120,0,1,1,61,0,0,53,0,241,405
48019,"Edmonton Strathcona/Edmonton Strathcona"," 12","Edmonton",7,0,167,0,2,0,57,0,4,49,1,287,422
48019,"Edmonton Strathcona/Edmonton Strathcona"," 13","Edmonton",8,0,100,1,1,0,55,0,2,87,1,255,400
48019,"Edmonton Strathcona/Edmonton Strathcona"," 14","Edmonton",8,1,100,1,0,0,75,1,0,82,0,268,414
48019,"Edmonton Strathcona/Edmonton Strathcona"," 15","Edmonton",3,1,99,0,0,0,68,0,4,78,0,253,387
48019,"Edmonton Strathcona/Edmonton Strathcona"," 16","Edmonton",1,0,96,0,0,0,63,0,0,85,1,246,383
48019,"Edmonton Strathcona/Edmonton Strathcona"," 17A","Edmonton",7,2,116,0,0,0,36,0,3,73,0,237,421
48019,"Edmonton Strathcona/Edmonton Strathcona"," 17B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,,,,68
48019,"Edmonton Strathcona/Edmonton Strathcona"," 18","Edmonton",8,0,93,2,1,0,62,0,3,76,1,246,436
