Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,David Lametti,Hélène LeBlanc,Gilbert Paquette,Mohammad Zamir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 1","Verdun",4,93,60,45,13,4,219,479
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 2","Verdun",10,110,63,32,14,1,230,478
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 3","Verdun",6,80,55,28,15,1,185,428
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 4","Verdun",10,68,83,26,9,1,197,436
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 5","Verdun",1,48,27,11,8,2,97,364
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 6","Verdun",3,60,45,24,12,3,147,443
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 7","Verdun",7,110,70,55,15,2,259,502
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 8","Verdun",12,69,91,34,16,13,235,571
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 9","Verdun",4,52,59,22,5,4,146,352
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 10","Verdun",11,78,64,36,11,5,205,448
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 11","Verdun",11,62,79,39,6,4,201,399
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 12","Montréal",9,60,65,31,4,1,170,410
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 13","Verdun",10,86,56,26,7,8,193,398
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 14","Verdun",8,73,86,44,8,3,222,487
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 15","Verdun",7,64,58,36,8,2,175,359
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 16","Verdun",5,54,50,32,4,2,147,317
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 17","Verdun",5,62,37,33,8,3,148,323
