Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Candice Bergen,Jerome Dondo,Beverley Eert,Dean Harder,Ken Werbiski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 1","Lake Francis",11,1,0,4,58,0,74,113
46007,"Portage--Lisgar/Portage--Lisgar"," 2","High Bluff",110,2,3,5,29,0,149,312
46007,"Portage--Lisgar/Portage--Lisgar"," 3","Oakland",106,1,4,7,46,0,164,309
46007,"Portage--Lisgar/Portage--Lisgar"," 4","Macdonald",82,0,5,4,39,1,131,306
46007,"Portage--Lisgar/Portage--Lisgar"," 5","Oakland",43,0,3,20,43,1,110,436
46007,"Portage--Lisgar/Portage--Lisgar"," 6A","High Bluff",84,2,2,9,53,0,150,262
46007,"Portage--Lisgar/Portage--Lisgar"," 6B","Portage la Prairie",Merged with No./Fusionné avec le n°25,,,,,,,197
46007,"Portage--Lisgar/Portage--Lisgar"," 7","Portage la Prairie",69,3,4,9,53,0,138,285
46007,"Portage--Lisgar/Portage--Lisgar"," 8","Poplar Point",42,2,7,4,31,1,87,134
46007,"Portage--Lisgar/Portage--Lisgar"," 9A","St. Eustache",77,5,13,24,88,1,208,319
46007,"Portage--Lisgar/Portage--Lisgar"," 9B","St. Eustache",129,4,6,7,79,1,226,384
46007,"Portage--Lisgar/Portage--Lisgar"," 10","Newton",131,5,4,10,22,2,174,260
46007,"Portage--Lisgar/Portage--Lisgar"," 11","Oakville",102,2,7,8,40,0,159,305
46007,"Portage--Lisgar/Portage--Lisgar"," 12","Oakville",134,3,9,17,81,0,244,382
46007,"Portage--Lisgar/Portage--Lisgar"," 13","Layland",104,6,4,7,16,0,137,299
46007,"Portage--Lisgar/Portage--Lisgar"," 14A","Edwin",4,0,0,8,63,0,75,91
46007,"Portage--Lisgar/Portage--Lisgar"," 14B","Edwin",54,0,1,4,17,1,77,178
46007,"Portage--Lisgar/Portage--Lisgar"," 15","Portage la Prairie",53,2,6,9,48,1,119,199
46007,"Portage--Lisgar/Portage--Lisgar"," 16","Southport",118,6,9,12,99,2,246,515
46007,"Portage--Lisgar/Portage--Lisgar"," 17","Portage la Prairie",51,2,5,5,24,0,87,214
46007,"Portage--Lisgar/Portage--Lisgar"," 18A","Portage la Prairie",106,6,6,12,75,1,206,434
46007,"Portage--Lisgar/Portage--Lisgar"," 18B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,7
46007,"Portage--Lisgar/Portage--Lisgar"," 18C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,6
46007,"Portage--Lisgar/Portage--Lisgar"," 18D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,8
46007,"Portage--Lisgar/Portage--Lisgar"," 19","Portage la Prairie",94,3,7,16,81,1,202,370
46007,"Portage--Lisgar/Portage--Lisgar"," 20","Portage la Prairie",128,3,8,13,59,0,211,423
46007,"Portage--Lisgar/Portage--Lisgar"," 21","Portage la Prairie",114,2,10,17,79,1,223,426
46007,"Portage--Lisgar/Portage--Lisgar"," 22","Portage la Prairie",105,4,10,20,57,0,196,311
46007,"Portage--Lisgar/Portage--Lisgar"," 23","Portage la Prairie",79,2,8,28,83,0,200,412
46007,"Portage--Lisgar/Portage--Lisgar"," 24","Portage la Prairie",47,6,3,27,123,4,210,439
46007,"Portage--Lisgar/Portage--Lisgar"," 25","Portage la Prairie",135,5,10,19,122,0,291,386
46007,"Portage--Lisgar/Portage--Lisgar"," 26","Portage la Prairie",114,3,8,22,115,0,262,430
46007,"Portage--Lisgar/Portage--Lisgar"," 27","Portage la Prairie",88,5,6,15,91,1,206,378
46007,"Portage--Lisgar/Portage--Lisgar"," 28","Portage la Prairie",79,1,15,21,85,0,201,384
46007,"Portage--Lisgar/Portage--Lisgar"," 29","Portage la Prairie",67,9,8,13,110,0,207,402
46007,"Portage--Lisgar/Portage--Lisgar"," 30","Portage la Prairie",67,1,3,27,69,0,167,415
46007,"Portage--Lisgar/Portage--Lisgar"," 31","Portage la Prairie",84,9,6,19,68,0,186,410
46007,"Portage--Lisgar/Portage--Lisgar"," 32A","Portage la Prairie",74,4,10,21,91,1,201,462
46007,"Portage--Lisgar/Portage--Lisgar"," 32B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,69
46007,"Portage--Lisgar/Portage--Lisgar"," 33","Portage la Prairie",71,7,5,33,90,0,206,497
46007,"Portage--Lisgar/Portage--Lisgar"," 34","Portage la Prairie",72,5,7,20,89,1,194,407
46007,"Portage--Lisgar/Portage--Lisgar"," 35A","Portage la Prairie",67,3,1,8,57,1,137,301
46007,"Portage--Lisgar/Portage--Lisgar"," 35B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,60
46007,"Portage--Lisgar/Portage--Lisgar"," 36","Portage la Prairie",126,7,1,16,62,0,212,398
46007,"Portage--Lisgar/Portage--Lisgar"," 37","Portage la Prairie",108,2,12,13,93,2,230,450
46007,"Portage--Lisgar/Portage--Lisgar"," 38A","Portage la Prairie",84,4,10,18,97,0,213,419
46007,"Portage--Lisgar/Portage--Lisgar"," 38B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,36
46007,"Portage--Lisgar/Portage--Lisgar"," 39","Portage la Prairie",59,2,6,10,64,2,143,320
46007,"Portage--Lisgar/Portage--Lisgar"," 40","Edwin",48,7,1,1,40,0,97,192
46007,"Portage--Lisgar/Portage--Lisgar"," 41","Edwin",6,4,4,79,182,0,275,380
46007,"Portage--Lisgar/Portage--Lisgar"," 42","Edwin",0,0,0,2,5,0,7,17
46007,"Portage--Lisgar/Portage--Lisgar"," 43","Rathwell",145,10,15,12,83,1,266,485
46007,"Portage--Lisgar/Portage--Lisgar"," 44","St. Claude",63,11,1,5,64,0,144,212
46007,"Portage--Lisgar/Portage--Lisgar"," 45","St. Claude",35,9,4,7,55,0,110,179
46007,"Portage--Lisgar/Portage--Lisgar"," 46","St. Claude",60,19,3,11,80,0,173,283
46007,"Portage--Lisgar/Portage--Lisgar"," 47","Haywood",69,29,9,3,63,0,173,299
46007,"Portage--Lisgar/Portage--Lisgar"," 48","Elm Creek",167,23,12,3,29,1,235,329
46007,"Portage--Lisgar/Portage--Lisgar"," 49","Elm Creek",195,14,22,15,53,2,301,436
46007,"Portage--Lisgar/Portage--Lisgar"," 50","Fannystelle",61,2,6,11,44,0,124,191
46007,"Portage--Lisgar/Portage--Lisgar"," 51","Elie",70,3,2,0,3,1,79,111
