Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Earl Dreeshen,Paul Harris,Chandra Lescia Kastern,Scott Milne,Simon Oleny,James Walper,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 1","Benalto",178,15,21,3,7,0,2,226,397
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 2","Evarts",196,4,6,0,5,1,0,212,303
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 3","Red Deer County",190,10,18,0,8,3,0,229,348
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 4","Red Deer County",165,7,11,1,9,2,1,196,318
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 5","Mintlaw",100,7,10,0,5,1,0,123,348
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 6","Red Deer County",175,9,13,0,1,0,1,199,321
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 7","Red Deer County",147,12,15,2,5,1,0,182,360
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 8","Red Deer",156,9,17,0,4,1,0,187,387
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 9","Red Deer",77,8,12,0,3,0,0,100,196
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 10","Red Deer",131,24,46,3,5,0,0,209,425
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 11","Red Deer",141,27,47,0,12,5,1,233,461
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 12","Red Deer",158,29,41,2,13,5,0,248,481
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 13","Red Deer",158,23,52,2,12,0,0,247,440
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 14","Red Deer",213,15,20,0,3,0,2,253,447
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 15","Red Deer",182,24,34,0,5,2,0,247,396
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 16","Red Deer",160,24,54,1,7,1,3,250,456
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 17","Red Deer",122,43,33,5,11,3,1,218,416
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 18","Red Deer",120,26,63,2,15,0,2,228,479
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 19","Red Deer",81,27,31,0,2,1,0,142,380
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 20","Red Deer",62,25,42,1,6,3,0,139,387
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 21","Red Deer",120,32,29,4,7,5,0,197,354
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 22","Red Deer",54,18,19,1,2,0,0,94,329
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 23","Red Deer",97,24,26,0,6,0,1,154,363
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 24","Red Deer",108,43,47,0,17,0,2,217,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 25","Red Deer",126,26,60,0,5,4,0,221,471
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 26","Red Deer",128,42,27,4,7,2,0,210,423
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 27","Red Deer",120,40,66,1,4,0,0,231,422
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 28","Red Deer",160,43,53,4,10,4,1,275,503
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 29","Red Deer",154,30,40,0,3,2,0,229,460
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 30","Red Deer",119,26,37,2,6,1,0,191,373
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 31","Red Deer",150,28,41,1,9,1,1,231,351
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 32","Red Deer",134,39,43,0,6,0,2,224,385
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 33","Red Deer",123,25,47,0,9,1,1,206,337
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 34","Red Deer",154,22,50,0,4,2,0,232,380
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 35","Red Deer",183,25,57,1,4,3,1,274,432
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 36","Red Deer",183,15,40,1,4,2,0,245,356
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 37","Red Deer",157,20,33,2,7,2,0,221,383
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 38","Red Deer",185,24,33,1,5,3,0,251,413
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 39","Red Deer",201,20,54,2,1,1,1,280,443
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 40","Red Deer",221,24,37,0,6,2,0,290,473
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 41","Red Deer",203,26,52,0,6,1,0,288,439
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 42","Red Deer",182,21,35,1,3,1,0,243,420
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 43","Red Deer",162,41,36,1,7,1,0,248,445
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 44","Red Deer",201,30,51,0,2,1,0,285,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 45","Red Deer",168,33,47,0,5,3,1,257,436
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 46","Red Deer",142,19,29,2,4,3,0,199,364
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 47","Red Deer",169,17,41,2,9,2,0,240,414
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 48","Red Deer",152,27,50,0,6,2,0,237,394
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 49","Red Deer",142,23,39,4,6,0,1,215,364
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 50","Red Deer",157,29,44,0,5,0,0,235,358
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 51","Red Deer",135,28,40,0,11,3,0,217,376
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 52","Red Deer",159,25,45,1,10,2,1,243,435
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 53","Red Deer",110,23,38,2,5,3,3,184,349
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 54","Red Deer",97,33,42,1,10,3,0,186,436
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 55","Red Deer",102,25,37,0,8,1,1,174,356
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 56","Red Deer",118,30,44,1,6,2,0,201,384
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 57","Red Deer",122,21,26,2,3,1,2,177,316
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 58","Red Deer",77,16,42,1,7,0,0,143,331
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 59","Red Deer",74,19,44,1,5,3,0,146,444
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 60","Red Deer",130,41,26,1,11,0,1,210,381
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 61","Red Deer",168,35,26,0,7,1,0,237,380
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 62","Red Deer",112,31,44,0,8,0,2,197,437
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 63","Red Deer",138,20,52,0,5,1,1,217,435
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 64","Red Deer",146,55,63,0,5,2,0,271,439
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 65","Red Deer",153,26,23,2,8,2,0,214,360
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 66","Red Deer",149,28,34,0,13,2,0,226,369
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 67","Red Deer",143,24,40,1,5,1,1,215,361
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 68","Red Deer",162,12,37,1,8,1,0,221,367
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 69","Red Deer",220,6,26,6,0,0,2,260,445
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 70","Red Deer",235,35,45,1,6,2,0,324,520
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 71","Red Deer",182,20,36,0,7,0,1,246,387
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 72","Red Deer",220,11,37,1,1,1,0,271,477
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 73","Red Deer",153,24,51,1,5,2,0,236,473
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 74","Red Deer",171,17,36,0,3,1,0,228,431
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 75","Red Deer",197,24,23,0,4,2,0,250,437
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 76","Red Deer",247,16,53,3,6,0,1,326,508
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 77","Red Deer",210,22,57,0,7,3,0,299,552
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 78","Red Deer",193,18,58,0,8,4,2,283,488
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 79","Red Deer",185,20,38,0,4,0,2,249,444
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 80","Red Deer",175,17,42,0,4,0,0,238,449
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 81","Red Deer",213,13,42,1,4,3,0,276,457
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 82","Red Deer",136,23,40,2,5,4,1,211,402
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 83","Red Deer",154,12,46,2,3,1,0,218,429
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 84","Red Deer",153,23,45,0,3,2,0,226,417
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 85","Red Deer",111,23,44,2,4,3,1,188,422
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 86","Red Deer",136,18,56,3,10,2,0,225,378
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 87","Red Deer",156,49,50,1,11,1,0,268,422
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 88","Red Deer",183,35,50,1,7,0,0,276,472
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 89","Red Deer",173,23,65,0,9,2,0,272,436
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 90","Red Deer",162,23,30,2,1,0,2,220,357
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 91","Red Deer",134,21,42,0,4,5,1,207,395
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 92","Red Deer",152,22,57,0,2,3,1,237,437
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 93","Red Deer",129,21,37,0,3,2,0,192,370
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 94","Red Deer",183,17,47,0,2,1,1,251,397
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 95","Red Deer County",217,8,34,3,8,3,2,275,456
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 96","Red Deer",170,22,45,0,6,1,0,244,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 97","Red Deer",166,22,34,2,1,1,1,227,458
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 98","Red Deer",209,20,50,1,3,1,0,284,464
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 99","Red Deer",202,23,41,1,4,2,0,273,483
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 100","Red Deer",180,21,50,1,4,1,1,258,453
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 101","Red Deer",187,15,36,1,7,0,1,247,434
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 102A","Red Deer County",247,24,52,0,7,2,0,332,535
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 102B","Red Deer County",223,20,46,0,7,2,0,298,502
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 102C","Red Deer County",242,19,41,0,2,3,0,307,505
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 103","Milnerton",116,3,8,0,6,0,0,133,269
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 104","Pine Lake",259,18,21,2,3,1,0,304,535
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 105","Milnerton",113,4,13,0,4,2,0,136,311
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 106","Red Deer County",170,5,15,1,7,1,0,199,369
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 107","Penhold",219,18,21,0,7,3,0,268,437
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 108","Red Deer County",82,9,21,0,4,0,0,116,312
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 109A","Penhold",148,14,33,0,8,3,0,206,394
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 109B","Penhold",154,18,39,3,3,2,0,219,375
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 110","Penhold",149,14,38,4,5,1,1,212,405
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 111","Penhold",187,32,33,1,6,4,0,263,472
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 112","Penhold",194,17,38,4,10,0,0,263,527
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 113","Markerville",272,16,15,2,16,1,0,322,465
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 114","Kevisville",299,14,21,0,21,1,0,356,504
