Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vincent Chiu,Jack Trovato,Alice Wong,Lawrence Woo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 1","Greater Vancouver A",16,37,36,80,0,169,301
59025,"Richmond Centre/Richmond-Centre"," 2","Richmond",3,35,44,111,0,193,310
59025,"Richmond Centre/Richmond-Centre"," 3","Greater Vancouver A",3,11,111,82,1,208,426
59025,"Richmond Centre/Richmond-Centre"," 4","Richmond",9,20,161,91,2,283,490
59025,"Richmond Centre/Richmond-Centre"," 5","Richmond",2,13,101,83,0,199,400
59025,"Richmond Centre/Richmond-Centre"," 6","Richmond",1,12,89,61,0,163,362
59025,"Richmond Centre/Richmond-Centre"," 7","Richmond",1,15,76,50,1,143,362
59025,"Richmond Centre/Richmond-Centre"," 8","Richmond",7,28,76,77,0,188,355
59025,"Richmond Centre/Richmond-Centre"," 9","Richmond",1,6,68,47,1,123,328
59025,"Richmond Centre/Richmond-Centre"," 10","Richmond",5,20,63,103,1,192,353
59025,"Richmond Centre/Richmond-Centre"," 11","Richmond",1,31,112,142,0,286,513
59025,"Richmond Centre/Richmond-Centre"," 12","Richmond",1,33,90,85,1,210,485
59025,"Richmond Centre/Richmond-Centre"," 13","Richmond",21,74,100,131,1,327,532
59025,"Richmond Centre/Richmond-Centre"," 14","Richmond",8,27,62,66,2,165,280
59025,"Richmond Centre/Richmond-Centre"," 15","Richmond",9,20,73,87,2,191,433
59025,"Richmond Centre/Richmond-Centre"," 16","Greater Vancouver A",7,36,80,87,0,210,374
59025,"Richmond Centre/Richmond-Centre"," 17","Richmond",12,46,77,96,1,232,396
59025,"Richmond Centre/Richmond-Centre"," 18","Richmond",3,22,66,78,1,170,364
59025,"Richmond Centre/Richmond-Centre"," 19","Richmond",7,34,68,110,1,220,395
59025,"Richmond Centre/Richmond-Centre"," 20","Richmond",6,25,60,78,0,169,324
59025,"Richmond Centre/Richmond-Centre"," 21","Greater Vancouver A",4,18,70,88,2,182,359
59025,"Richmond Centre/Richmond-Centre"," 22","Greater Vancouver A",21,50,70,169,2,312,460
59025,"Richmond Centre/Richmond-Centre"," 23","Richmond",2,33,71,109,1,216,383
59025,"Richmond Centre/Richmond-Centre"," 24","Richmond",6,30,61,86,1,184,364
59025,"Richmond Centre/Richmond-Centre"," 25","Greater Vancouver A",9,37,94,122,0,262,416
59025,"Richmond Centre/Richmond-Centre"," 26","Richmond",17,60,135,165,0,377,600
59025,"Richmond Centre/Richmond-Centre"," 27","Richmond",21,56,80,157,1,315,525
59025,"Richmond Centre/Richmond-Centre"," 28","Richmond",7,29,90,118,0,244,369
59025,"Richmond Centre/Richmond-Centre"," 29","Richmond",13,46,123,161,1,344,577
59025,"Richmond Centre/Richmond-Centre"," 30","Richmond",6,32,86,115,0,239,441
59025,"Richmond Centre/Richmond-Centre"," 31","Richmond",6,18,112,96,0,232,430
59025,"Richmond Centre/Richmond-Centre"," 32","Richmond",9,26,49,91,1,176,337
59025,"Richmond Centre/Richmond-Centre"," 33","Richmond",6,33,74,80,0,193,350
59025,"Richmond Centre/Richmond-Centre"," 34","Richmond",5,11,65,48,0,129,281
59025,"Richmond Centre/Richmond-Centre"," 35","Richmond",5,18,68,76,1,168,383
59025,"Richmond Centre/Richmond-Centre"," 36","Richmond",6,14,112,76,1,209,439
59025,"Richmond Centre/Richmond-Centre"," 37","Richmond",2,13,160,81,1,257,517
59025,"Richmond Centre/Richmond-Centre"," 38","Richmond",3,21,122,86,0,232,464
59025,"Richmond Centre/Richmond-Centre"," 39","Richmond",7,21,68,69,1,166,333
59025,"Richmond Centre/Richmond-Centre"," 40","Richmond",6,32,112,83,0,233,464
59025,"Richmond Centre/Richmond-Centre"," 41","Richmond",7,37,59,75,2,180,352
59025,"Richmond Centre/Richmond-Centre"," 42","Richmond",13,31,81,86,0,211,403
59025,"Richmond Centre/Richmond-Centre"," 43","Richmond",7,18,55,78,2,160,307
59025,"Richmond Centre/Richmond-Centre"," 44","Richmond",8,35,83,117,0,243,386
59025,"Richmond Centre/Richmond-Centre"," 45","Richmond",3,21,94,59,0,177,296
59025,"Richmond Centre/Richmond-Centre"," 46","Richmond",4,19,102,73,0,198,355
59025,"Richmond Centre/Richmond-Centre"," 47","Richmond",4,26,98,104,1,233,495
59025,"Richmond Centre/Richmond-Centre"," 48","Richmond",2,24,81,69,0,176,468
59025,"Richmond Centre/Richmond-Centre"," 49","Richmond",3,26,95,103,1,228,510
59025,"Richmond Centre/Richmond-Centre"," 50","Richmond",6,27,94,99,0,226,471
59025,"Richmond Centre/Richmond-Centre"," 51","Richmond",7,28,58,80,1,174,440
59025,"Richmond Centre/Richmond-Centre"," 52A","Richmond",4,39,95,90,2,230,492
59025,"Richmond Centre/Richmond-Centre"," 52B","Richmond",8,31,84,97,1,221,443
59025,"Richmond Centre/Richmond-Centre"," 53","Richmond",8,16,102,78,0,204,531
59025,"Richmond Centre/Richmond-Centre"," 54","Richmond",4,18,63,94,3,182,355
59025,"Richmond Centre/Richmond-Centre"," 55","Richmond",2,22,105,100,2,231,429
59025,"Richmond Centre/Richmond-Centre"," 56","Richmond",7,22,75,88,0,192,429
59025,"Richmond Centre/Richmond-Centre"," 57","Richmond",2,4,106,89,0,201,519
59025,"Richmond Centre/Richmond-Centre"," 58","Richmond",5,8,101,79,2,195,516
59025,"Richmond Centre/Richmond-Centre"," 59A","Richmond",4,20,72,107,1,204,563
59025,"Richmond Centre/Richmond-Centre"," 59B","Richmond",7,17,68,84,1,177,455
59025,"Richmond Centre/Richmond-Centre"," 60","Richmond",Merged with No./Fusionné avec le n°63,,,,,,248
59025,"Richmond Centre/Richmond-Centre"," 61","Richmond",4,12,68,44,2,130,319
