Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janice Bélair Rolland,Fobozof A. Côté,Pierre Dionne Labelle,Rhéal Fortin,Joey Leckman,Romain Vignol,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",55,1,40,63,9,16,5,189,463
24063,"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",41,0,53,60,5,13,3,175,375
24063,"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",58,1,71,77,4,18,3,232,435
24063,"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",24,1,40,40,2,11,0,118,249
24063,"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",32,0,44,58,11,12,1,158,344
24063,"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",50,0,41,35,4,3,3,136,282
24063,"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",56,0,37,26,4,19,2,144,327
24063,"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",47,0,46,50,2,15,1,161,319
24063,"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",72,1,57,80,6,23,3,242,467
24063,"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",45,2,69,62,4,5,2,189,372
24063,"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",37,0,36,36,8,14,1,132,328
24063,"Rivière-du-Nord/Rivière-du-Nord"," 12","Saint-Hippolyte",53,0,48,57,4,24,5,191,415
24063,"Rivière-du-Nord/Rivière-du-Nord"," 13","Saint-Hippolyte",31,0,39,43,5,8,2,128,342
24063,"Rivière-du-Nord/Rivière-du-Nord"," 14","Saint-Hippolyte",54,2,53,63,7,15,6,200,433
24063,"Rivière-du-Nord/Rivière-du-Nord"," 15","Saint-Hippolyte",49,1,52,64,3,12,2,183,406
24063,"Rivière-du-Nord/Rivière-du-Nord"," 16","Saint-Hippolyte",62,0,73,91,15,31,3,275,557
24063,"Rivière-du-Nord/Rivière-du-Nord"," 17","Saint-Hippolyte",25,0,42,37,5,10,1,120,226
