Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corina Bastiani,Claude Carpentier,Yves Laberge,Louis Plamondon,Nicolas Tabah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 1","Deschaillons-sur-Saint-Laurent",5,61,73,63,37,5,244,391
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 2","Deschaillons-sur-Saint-Laurent",3,55,36,60,38,3,195,350
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 3","Parisville",10,75,52,69,41,3,250,428
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 4","Fortierville",5,32,47,73,20,2,179,274
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 5","Fortierville",3,39,38,46,20,3,149,251
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 6","Sainte-Françoise",3,65,48,93,26,3,238,374
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 7","Sainte-Sophie-de-Lévrard",3,49,36,68,27,0,183,318
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 8","Sainte-Sophie-de-Lévrard",3,45,32,51,29,4,164,297
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 9","Sainte-Cécile-de-Lévrard",5,38,32,57,33,6,171,303
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 10A","Saint-Pierre-les-Becquets",13,34,16,50,17,2,132,297
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 10B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,39
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 11","Saint-Pierre-les-Becquets",8,37,40,52,33,6,176,325
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 12","Saint-Pierre-les-Becquets",6,29,35,47,28,0,145,289
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 13","Bécancour",1,45,49,81,29,1,206,405
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 14","Bécancour",6,43,55,66,55,1,226,419
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 15","Bécancour",5,73,46,80,56,8,268,441
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 16","Bécancour",7,68,36,89,32,4,236,463
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 17","Bécancour",6,75,37,81,46,5,250,454
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 18","Sainte-Marie-de-Blandford",8,54,43,71,53,2,231,400
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 19","Lemieux",5,43,21,44,23,1,137,240
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 20","Manseau",3,51,34,62,24,1,175,309
