Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Gordon Campbell,Sheldon Clare,Adam De Kroon,Trent Derrick,Todd Doherty,Richard Edward Jaques,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 52","Prince George",65,2,3,4,72,60,10,0,216,420
59004,"Cariboo--Prince George/Cariboo--Prince George"," 53","Prince George",65,2,1,1,49,50,6,1,175,293
59004,"Cariboo--Prince George/Cariboo--Prince George"," 54","Prince George",67,1,0,0,37,58,5,1,169,300
59004,"Cariboo--Prince George/Cariboo--Prince George"," 55","Prince George",99,2,3,0,84,78,4,1,271,444
59004,"Cariboo--Prince George/Cariboo--Prince George"," 56","Prince George",92,1,2,0,56,85,6,0,242,413
59004,"Cariboo--Prince George/Cariboo--Prince George"," 57","Prince George",71,1,3,0,85,52,10,1,223,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 58","Prince George",78,2,5,1,63,76,13,2,240,434
59004,"Cariboo--Prince George/Cariboo--Prince George"," 59","Prince George",83,0,4,0,81,63,4,3,238,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 60","Prince George",46,2,2,2,40,43,9,0,144,378
59004,"Cariboo--Prince George/Cariboo--Prince George"," 61","Prince George",88,3,4,0,56,44,6,1,202,498
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62A","Prince George",57,4,0,0,56,29,9,1,156,385
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,53
59004,"Cariboo--Prince George/Cariboo--Prince George"," 63","Prince George",59,1,5,3,75,34,14,1,192,429
59004,"Cariboo--Prince George/Cariboo--Prince George"," 64","Prince George",65,0,5,2,78,38,11,1,200,422
59004,"Cariboo--Prince George/Cariboo--Prince George"," 65","Prince George",76,1,4,1,78,62,7,0,229,436
59004,"Cariboo--Prince George/Cariboo--Prince George"," 66","Prince George",85,1,3,0,51,43,5,2,190,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 67","Prince George",41,0,1,0,57,22,12,1,134,392
59004,"Cariboo--Prince George/Cariboo--Prince George"," 68","Prince George",42,1,2,4,86,24,8,1,168,420
59004,"Cariboo--Prince George/Cariboo--Prince George"," 69","Prince George",51,0,1,0,102,18,9,0,181,487
59004,"Cariboo--Prince George/Cariboo--Prince George"," 70","Prince George",104,3,7,3,50,62,8,3,240,475
59004,"Cariboo--Prince George/Cariboo--Prince George"," 71","Prince George",89,1,6,0,44,66,7,1,214,403
59004,"Cariboo--Prince George/Cariboo--Prince George"," 72","Prince George",84,0,8,1,73,86,13,2,267,452
59004,"Cariboo--Prince George/Cariboo--Prince George"," 73","Prince George",81,2,1,0,77,26,9,1,197,435
59004,"Cariboo--Prince George/Cariboo--Prince George"," 74","Prince George",61,0,4,2,81,52,4,1,205,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 75","Prince George",107,2,2,1,84,123,3,0,322,670
59004,"Cariboo--Prince George/Cariboo--Prince George"," 76","Prince George",95,1,4,0,67,74,4,0,245,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 77","Prince George",79,2,4,1,56,74,2,0,218,391
59004,"Cariboo--Prince George/Cariboo--Prince George"," 78","Prince George",122,1,5,0,84,67,8,3,290,428
