Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Filson,Rex Isaac,Jim Johnston,Bev Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 1","Lambton Shores",68,17,4,90,0,179,327
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 2","Lambton Shores",84,10,3,103,1,201,316
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 3","Lambton Shores",82,17,3,112,0,214,351
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 4","Lambton Shores",112,19,4,134,2,271,428
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 5","Lambton Shores",68,17,12,111,0,208,343
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 6","Lambton Shores",52,12,8,71,0,143,347
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 7","Lambton Shores",72,23,3,107,0,205,388
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 8","McGillivray",31,7,2,100,0,140,282
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 9","North Middlesex",41,20,10,123,1,195,296
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 10","McGillivray",51,21,7,111,0,190,388
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 11","Mooresville",113,29,14,172,2,330,536
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 12","Lucan",55,32,8,96,2,193,316
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 13","Lucan",59,30,9,87,1,186,363
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 14","Clandeboye",68,21,13,121,0,223,392
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 15","Clandeboye",86,29,9,211,3,338,545
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 16","Lucan",57,22,10,79,3,171,297
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 17","Elginfield",55,23,3,92,0,173,290
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 18","Granton",53,20,12,90,0,175,274
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 19","Elginfield",68,22,11,90,3,194,311
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 20","Bryanston",64,19,6,129,0,218,334
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 21","Arva",66,30,9,152,2,259,377
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 22","Bryanston",52,24,9,101,0,186,304
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 23","Arva",65,9,3,102,0,179,294
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 24","Denfield",52,7,5,105,0,169,333
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 25","Denfield",67,24,10,124,1,226,364
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 26","Birr",78,20,13,173,1,285,472
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 27","Birr",79,23,7,101,1,211,374
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 28","Ilderton",77,19,4,110,0,210,391
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 29","Ilderton",86,17,11,95,0,209,373
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 30","Ilderton",108,37,6,93,1,245,425
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 31","Ilderton",37,16,3,83,2,141,307
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 32","Ilderton",46,8,8,123,0,185,307
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 33","Ilderton",92,18,8,102,0,220,364
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 34","North Middlesex",64,28,15,150,0,257,401
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 35","North Middlesex",50,36,11,169,0,266,400
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 36","North Middlesex",58,39,10,136,2,245,388
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 37","North Middlesex",48,17,6,125,0,196,341
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 38","North Middlesex",87,26,12,147,0,272,479
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 39","North Middlesex",44,20,6,118,1,189,314
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 40","North Middlesex",33,22,6,128,1,190,357
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 41","Parkhill",49,31,10,87,3,180,360
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 42","Parkhill",59,30,3,111,1,204,417
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 43","Parkhill",47,30,15,104,1,197,411
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 44","Lambton Shores",45,21,2,50,0,118,282
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 45","Lambton Shores",42,19,2,69,0,132,332
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 46","Lambton Shores",62,27,7,76,0,172,346
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 47","Lambton Shores",37,32,9,107,0,185,340
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 48","Lambton Shores",68,27,5,79,0,179,379
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 49","Lambton Shores",85,38,12,108,0,243,456
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 50","Lambton Shores",34,19,6,78,0,137,256
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 51","Lambton Shores",39,15,5,63,0,122,247
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 52","Lambton Shores",48,22,6,105,0,181,285
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 53","Lambton Shores",44,26,5,84,1,160,282
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 54","Lambton Shores",80,90,7,52,1,230,378
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 55","Kettle Point 44",52,205,0,12,0,269,447
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 56","Lambton Shores",64,44,6,116,1,231,443
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 57","Lambton Shores",57,49,8,87,3,204,384
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 58","Lambton Shores",51,42,7,78,0,178,369
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 59","Lambton Shores",59,46,9,84,3,201,390
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 60","Lambton Shores",60,47,14,90,0,211,403
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 61","Lambton Shores",40,26,8,83,2,159,315
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 62","Lambton Shores",41,25,7,87,1,161,316
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 63","Warwick",41,12,7,128,2,190,372
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 64","Warwick",47,29,2,101,1,180,349
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 65","Lambton Shores",34,19,0,56,0,109,229
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 66","Lambton Shores",25,20,9,73,2,129,237
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 67","Adelaide Metcalfe",55,26,4,110,0,195,368
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 68","Adelaide Metcalfe",42,21,6,139,1,209,379
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 69","Strathroy",81,31,8,157,0,277,464
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 70","Strathroy",70,21,7,123,3,224,422
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 71","Strathroy",48,18,8,99,0,173,387
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 72","Strathroy Caradoc",57,26,5,97,2,187,321
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 73","Middlesex Centre",50,11,6,129,1,197,298
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 74","Middlesex Centre",82,25,10,99,1,217,342
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 75","Middlesex Centre",56,25,13,118,0,212,317
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 76","Middlesex Centre",75,24,7,102,2,210,322
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 77","Middlesex Centre",53,14,7,102,1,177,312
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 78","Middlesex Centre",48,10,5,82,0,145,302
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 79","Middlesex Centre",41,12,12,73,0,138,266
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 80","Lobo",52,15,7,111,0,185,308
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 81","Lobo",44,11,3,109,0,167,309
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 82","Kilworth",68,15,6,95,0,184,326
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 83","Kilworth",93,22,9,154,0,278,482
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 84","Kilworth",66,14,4,138,0,222,349
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 85","Middlesex Centre",53,15,4,85,0,157,259
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 86","Komoka",64,29,5,103,0,201,375
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 87","Komoka",114,43,6,152,0,315,479
