Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Carmichael,Sharon Cromwell,Elizabeth Hill,Natalie Hunt,John Kittredge,Rob Oliphant,Syeda Riaz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Don Valley West/Don Valley-Ouest"," 1","North York",91,0,1,3,3,121,22,3,244,475
35021,"Don Valley West/Don Valley-Ouest"," 2","North York",108,1,1,7,1,137,11,0,266,484
35021,"Don Valley West/Don Valley-Ouest"," 3","North York",111,0,1,4,0,100,10,0,226,463
35021,"Don Valley West/Don Valley-Ouest"," 4","North York",104,0,0,3,0,74,3,0,184,348
35021,"Don Valley West/Don Valley-Ouest"," 5","North York",104,0,1,5,1,70,6,1,188,357
35021,"Don Valley West/Don Valley-Ouest"," 6","North York",81,0,0,3,3,153,20,1,261,607
35021,"Don Valley West/Don Valley-Ouest"," 7","North York",53,2,1,0,2,103,25,2,188,420
35021,"Don Valley West/Don Valley-Ouest"," 8","North York",79,0,0,5,0,55,4,0,143,370
35021,"Don Valley West/Don Valley-Ouest"," 9","North York",75,0,0,0,2,61,2,0,140,343
35021,"Don Valley West/Don Valley-Ouest"," 10","North York",48,0,1,3,5,80,13,0,150,318
35021,"Don Valley West/Don Valley-Ouest"," 11","North York",105,0,0,3,0,96,11,0,215,472
35021,"Don Valley West/Don Valley-Ouest"," 12","North York",131,0,0,4,0,107,3,1,246,500
35021,"Don Valley West/Don Valley-Ouest"," 13","North York",136,0,0,3,5,112,3,0,259,506
35021,"Don Valley West/Don Valley-Ouest"," 14","North York",35,0,1,6,1,125,8,1,177,454
35021,"Don Valley West/Don Valley-Ouest"," 15","North York",127,1,0,3,1,88,4,0,224,436
35021,"Don Valley West/Don Valley-Ouest"," 16","North York",130,0,0,3,1,93,6,2,235,433
35021,"Don Valley West/Don Valley-Ouest"," 17","North York",105,0,0,1,1,63,5,0,175,352
35021,"Don Valley West/Don Valley-Ouest"," 18","North York",141,0,0,2,0,69,1,2,215,440
35021,"Don Valley West/Don Valley-Ouest"," 19","North York",97,0,0,1,0,47,3,0,148,395
35021,"Don Valley West/Don Valley-Ouest"," 20","North York",72,0,0,0,1,48,4,1,126,368
35021,"Don Valley West/Don Valley-Ouest"," 21","North York",87,0,0,4,1,59,2,0,153,389
35021,"Don Valley West/Don Valley-Ouest"," 22","North York",103,1,0,0,2,52,3,1,162,357
35021,"Don Valley West/Don Valley-Ouest"," 23","North York",95,0,0,3,2,59,6,0,165,328
35021,"Don Valley West/Don Valley-Ouest"," 24","North York",85,0,0,2,0,67,7,0,161,325
35021,"Don Valley West/Don Valley-Ouest"," 25","North York",71,0,0,2,2,56,1,0,132,293
35021,"Don Valley West/Don Valley-Ouest"," 26","North York",68,0,1,2,1,82,10,0,164,440
35021,"Don Valley West/Don Valley-Ouest"," 27","North York",60,0,2,3,4,105,13,3,190,383
35021,"Don Valley West/Don Valley-Ouest"," 28","North York",131,0,0,5,1,80,7,1,225,463
35021,"Don Valley West/Don Valley-Ouest"," 29","North York",82,1,0,0,1,35,2,1,122,261
35021,"Don Valley West/Don Valley-Ouest"," 30","North York",74,3,0,3,5,130,8,2,225,528
35021,"Don Valley West/Don Valley-Ouest"," 31","North York",104,0,2,6,2,159,21,1,295,568
35021,"Don Valley West/Don Valley-Ouest"," 32","North York",84,0,0,0,0,59,5,1,149,319
