Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matt Grant,Kirk Heuser,Kevan Hunter,Natalie Odd,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 1","Calgary",86,8,0,7,135,1,237,355
48005,"Calgary Confederation/Calgary Confederation"," 2","Calgary",97,14,1,3,151,1,267,406
48005,"Calgary Confederation/Calgary Confederation"," 3","Calgary",107,14,0,13,158,2,294,449
48005,"Calgary Confederation/Calgary Confederation"," 4","Calgary",91,12,0,4,138,1,246,407
48005,"Calgary Confederation/Calgary Confederation"," 5","Calgary",89,13,2,10,134,0,248,442
48005,"Calgary Confederation/Calgary Confederation"," 6","Calgary",109,19,1,8,202,1,340,480
48005,"Calgary Confederation/Calgary Confederation"," 7","Calgary",104,18,0,10,110,0,242,427
48005,"Calgary Confederation/Calgary Confederation"," 8","Calgary",68,16,0,4,96,0,184,379
48005,"Calgary Confederation/Calgary Confederation"," 9","Calgary",84,18,1,8,199,0,310,492
48005,"Calgary Confederation/Calgary Confederation"," 10","Calgary",85,18,2,8,135,3,251,396
48005,"Calgary Confederation/Calgary Confederation"," 11","Calgary",109,19,0,9,151,1,289,465
48005,"Calgary Confederation/Calgary Confederation"," 12","Calgary",99,7,0,8,151,0,265,442
48005,"Calgary Confederation/Calgary Confederation"," 13","Calgary",120,18,0,5,84,0,227,463
48005,"Calgary Confederation/Calgary Confederation"," 14","Calgary",29,6,0,1,27,0,63,158
48005,"Calgary Confederation/Calgary Confederation"," 15","Calgary",47,4,0,6,35,0,92,220
48005,"Calgary Confederation/Calgary Confederation"," 16","Calgary",73,3,0,3,151,1,231,434
48005,"Calgary Confederation/Calgary Confederation"," 17","Calgary",54,7,1,2,200,1,265,472
48005,"Calgary Confederation/Calgary Confederation"," 18","Calgary",89,5,0,1,187,0,282,457
48005,"Calgary Confederation/Calgary Confederation"," 19","Calgary",102,16,0,2,208,0,328,581
48005,"Calgary Confederation/Calgary Confederation"," 20","Calgary",64,10,0,4,129,0,207,373
48005,"Calgary Confederation/Calgary Confederation"," 21","Calgary",49,7,0,3,148,0,207,346
48005,"Calgary Confederation/Calgary Confederation"," 22","Calgary",69,5,0,2,120,0,196,329
48005,"Calgary Confederation/Calgary Confederation"," 23","Calgary",84,14,0,7,128,0,233,420
48005,"Calgary Confederation/Calgary Confederation"," 24","Calgary",116,26,0,2,150,0,294,455
48005,"Calgary Confederation/Calgary Confederation"," 25","Calgary",102,9,1,9,137,0,258,458
48005,"Calgary Confederation/Calgary Confederation"," 26","Calgary",83,19,0,6,146,0,254,421
48005,"Calgary Confederation/Calgary Confederation"," 27","Calgary",104,20,1,12,103,1,241,493
48005,"Calgary Confederation/Calgary Confederation"," 28","Calgary",104,14,0,7,136,0,261,440
48005,"Calgary Confederation/Calgary Confederation"," 29","Calgary",120,28,2,4,96,0,250,423
48005,"Calgary Confederation/Calgary Confederation"," 30","Calgary",94,15,0,11,138,1,259,446
48005,"Calgary Confederation/Calgary Confederation"," 31","Calgary",117,14,0,5,120,0,256,378
48005,"Calgary Confederation/Calgary Confederation"," 32","Calgary",103,25,0,13,61,0,202,392
48005,"Calgary Confederation/Calgary Confederation"," 33","Calgary",123,27,0,5,76,0,231,426
48005,"Calgary Confederation/Calgary Confederation"," 34","Calgary",120,12,0,9,166,0,307,505
48005,"Calgary Confederation/Calgary Confederation"," 35","Calgary",120,21,0,12,125,2,280,484
48005,"Calgary Confederation/Calgary Confederation"," 36","Calgary",72,7,0,8,121,0,208,377
48005,"Calgary Confederation/Calgary Confederation"," 37","Calgary",100,14,2,5,82,1,204,407
48005,"Calgary Confederation/Calgary Confederation"," 38","Calgary",79,8,0,10,166,1,264,397
48005,"Calgary Confederation/Calgary Confederation"," 39","Calgary",77,12,0,5,123,0,217,420
48005,"Calgary Confederation/Calgary Confederation"," 40","Calgary",102,18,0,6,122,1,249,420
48005,"Calgary Confederation/Calgary Confederation"," 41","Calgary",88,20,1,6,136,2,253,437
48005,"Calgary Confederation/Calgary Confederation"," 42","Calgary",88,17,0,9,102,0,216,374
48005,"Calgary Confederation/Calgary Confederation"," 43","Calgary",83,7,0,5,134,1,230,377
48005,"Calgary Confederation/Calgary Confederation"," 44","Calgary",87,8,0,8,137,0,240,376
48005,"Calgary Confederation/Calgary Confederation"," 45","Calgary",110,13,0,6,144,1,274,413
48005,"Calgary Confederation/Calgary Confederation"," 46","Calgary",85,18,0,12,127,1,243,392
48005,"Calgary Confederation/Calgary Confederation"," 47","Calgary",91,15,2,10,103,1,222,365
48005,"Calgary Confederation/Calgary Confederation"," 48","Calgary",56,17,0,3,122,0,198,339
48005,"Calgary Confederation/Calgary Confederation"," 49A","Calgary",102,12,0,5,61,0,180,506
48005,"Calgary Confederation/Calgary Confederation"," 49B","Calgary",119,20,0,8,102,0,249,575
48005,"Calgary Confederation/Calgary Confederation"," 50","Calgary",79,12,0,5,107,0,203,354
48005,"Calgary Confederation/Calgary Confederation"," 51","Calgary",105,19,0,14,98,1,237,472
48005,"Calgary Confederation/Calgary Confederation"," 52","Calgary",101,12,0,13,126,0,252,465
48005,"Calgary Confederation/Calgary Confederation"," 53","Calgary",85,18,0,5,118,1,227,424
48005,"Calgary Confederation/Calgary Confederation"," 54","Calgary",86,18,2,8,151,0,265,445
48005,"Calgary Confederation/Calgary Confederation"," 55","Calgary",68,15,0,10,134,0,227,420
48005,"Calgary Confederation/Calgary Confederation"," 56","Calgary",85,12,0,15,124,0,236,417
48005,"Calgary Confederation/Calgary Confederation"," 57","Calgary",91,9,1,9,124,2,236,435
48005,"Calgary Confederation/Calgary Confederation"," 58","Calgary",98,17,0,7,118,2,242,379
48005,"Calgary Confederation/Calgary Confederation"," 59","Calgary",129,21,1,6,116,2,275,471
48005,"Calgary Confederation/Calgary Confederation"," 60","Calgary",109,23,1,4,110,0,247,431
48005,"Calgary Confederation/Calgary Confederation"," 61","Calgary",122,13,0,10,110,1,256,482
48005,"Calgary Confederation/Calgary Confederation"," 62","Calgary",123,15,1,8,113,0,260,430
48005,"Calgary Confederation/Calgary Confederation"," 63","Calgary",167,36,1,17,111,0,332,664
48005,"Calgary Confederation/Calgary Confederation"," 64","Calgary",92,26,0,14,89,1,222,425
48005,"Calgary Confederation/Calgary Confederation"," 65","Calgary",93,14,0,12,119,0,238,407
48005,"Calgary Confederation/Calgary Confederation"," 66","Calgary",97,18,0,6,118,0,239,445
48005,"Calgary Confederation/Calgary Confederation"," 67","Calgary",100,25,0,10,104,0,239,436
48005,"Calgary Confederation/Calgary Confederation"," 68","Calgary",73,21,1,9,74,0,178,429
48005,"Calgary Confederation/Calgary Confederation"," 69","Calgary",112,18,1,11,112,0,254,466
48005,"Calgary Confederation/Calgary Confederation"," 70","Calgary",76,22,0,6,87,0,191,392
48005,"Calgary Confederation/Calgary Confederation"," 71","Calgary",78,9,0,5,110,1,203,403
48005,"Calgary Confederation/Calgary Confederation"," 72","Calgary",113,13,1,6,118,1,252,439
48005,"Calgary Confederation/Calgary Confederation"," 73","Calgary",109,14,0,9,151,0,283,454
48005,"Calgary Confederation/Calgary Confederation"," 74","Calgary",108,8,0,2,83,0,201,345
48005,"Calgary Confederation/Calgary Confederation"," 75","Calgary",118,19,0,7,120,2,266,424
48005,"Calgary Confederation/Calgary Confederation"," 76","Calgary",105,8,0,5,92,1,211,387
48005,"Calgary Confederation/Calgary Confederation"," 77","Calgary",113,12,0,9,138,0,272,426
48005,"Calgary Confederation/Calgary Confederation"," 78","Calgary",111,13,1,13,136,2,276,469
48005,"Calgary Confederation/Calgary Confederation"," 79","Calgary",115,14,0,8,140,0,277,474
48005,"Calgary Confederation/Calgary Confederation"," 80","Calgary",108,16,2,5,117,0,248,372
48005,"Calgary Confederation/Calgary Confederation"," 81","Calgary",118,24,0,12,132,0,286,562
48005,"Calgary Confederation/Calgary Confederation"," 82","Calgary",112,10,0,2,88,1,213,377
48005,"Calgary Confederation/Calgary Confederation"," 83","Calgary",117,13,1,7,166,0,304,464
48005,"Calgary Confederation/Calgary Confederation"," 84","Calgary",136,28,1,15,100,1,281,495
48005,"Calgary Confederation/Calgary Confederation"," 85","Calgary",100,8,0,6,134,1,249,396
48005,"Calgary Confederation/Calgary Confederation"," 86","Calgary",127,35,0,5,60,2,229,506
48005,"Calgary Confederation/Calgary Confederation"," 87","Calgary",124,21,0,12,117,1,275,441
