Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Paul Bédard,Sacki Carignan Deschamps,François-Philippe Champagne,Jacques Grenier,Martial Toupin,Jean-Yves Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 173","Notre-Dame-du-Mont-Carmel",1,35,54,53,3,47,4,197,399
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 174","Notre-Dame-du-Mont-Carmel",0,22,64,25,3,30,3,147,319
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 175","Notre-Dame-du-Mont-Carmel",0,31,60,36,9,41,2,179,376
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 176","Notre-Dame-du-Mont-Carmel",0,23,27,20,6,13,3,92,270
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 177","Shawinigan",1,50,82,40,4,45,8,230,544
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 178","Shawinigan",0,36,77,21,3,34,2,173,359
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 179","Shawinigan",1,25,77,20,3,46,0,172,379
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 180","Shawinigan",1,33,79,17,2,26,3,161,375
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 181","Shawinigan",0,24,68,9,3,25,4,133,364
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 182","Shawinigan",0,30,100,28,2,31,7,198,402
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 183","Shawinigan",0,35,114,29,5,25,8,216,428
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 184","Shawinigan",0,27,92,41,5,52,4,221,433
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 185","Shawinigan",0,34,118,30,1,42,2,227,447
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 186","Shawinigan",0,14,90,28,2,40,1,175,366
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 187","Shawinigan",0,37,80,32,1,34,4,188,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 188","Shawinigan",0,31,100,30,9,57,2,229,404
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 189","Shawinigan",0,38,146,29,5,45,1,264,461
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 190","Shawinigan",1,49,129,41,9,47,4,280,500
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 191","Shawinigan",0,25,94,22,0,29,3,173,397
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 192","Shawinigan",1,24,57,15,5,32,2,136,393
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 193","Shawinigan",0,33,88,25,5,43,6,200,407
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 194","Shawinigan",0,24,80,22,1,31,5,163,383
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 195","Shawinigan",0,37,75,14,3,39,2,170,370
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 196","Shawinigan",2,24,65,17,4,30,5,147,382
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 197","Shawinigan",2,36,52,24,2,34,5,155,396
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 198","Shawinigan",0,27,62,21,6,27,7,150,355
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 199","Shawinigan",0,35,78,17,9,31,2,172,398
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 200","Shawinigan",0,32,92,29,3,41,5,202,410
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 201","Shawinigan",0,36,52,19,1,27,5,140,426
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 202","Shawinigan",1,31,50,14,2,24,6,128,404
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 203","Shawinigan",1,34,105,12,4,46,6,208,399
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 204","Shawinigan",2,25,47,7,3,44,3,131,439
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 205","Shawinigan",0,30,39,11,4,18,2,104,366
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 206","Shawinigan",0,22,57,13,2,30,4,128,388
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 207","Shawinigan",0,27,55,9,1,24,3,119,411
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 208","Shawinigan",0,25,79,10,3,32,3,152,432
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 209","Shawinigan",0,28,66,12,6,22,3,137,422
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 210","Shawinigan",2,28,60,15,5,24,3,137,275
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 211","Shawinigan",0,21,52,15,5,18,4,115,356
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 212","Shawinigan",0,19,48,12,5,33,4,121,328
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 213","Shawinigan",0,32,76,23,5,34,1,171,387
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 214","Shawinigan",0,20,60,4,3,28,0,115,356
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 215","Shawinigan",0,25,85,15,8,31,1,165,409
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 216","Shawinigan",0,42,76,15,5,22,6,166,396
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 217","Trois-Rivières",0,40,56,37,6,62,4,205,473
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 218","Trois-Rivières",0,44,80,45,7,55,3,234,493
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 219","Trois-Rivières",1,52,67,29,4,57,6,216,460
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 220","Trois-Rivières",0,44,95,43,5,66,5,258,434
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 221","Trois-Rivières",0,40,62,44,0,45,6,197,408
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 222","Trois-Rivières",0,36,83,35,6,55,7,222,442
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 223","Trois-Rivières",0,25,62,47,9,39,3,185,424
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 224","Trois-Rivières",1,24,52,27,4,57,1,166,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 225","Trois-Rivières",0,41,64,52,4,51,5,217,446
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 226","Trois-Rivières",2,38,68,36,3,48,0,195,403
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 227","Trois-Rivières",3,44,70,64,2,45,0,228,470
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 228","Trois-Rivières",1,37,46,45,0,49,0,178,402
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 229","Trois-Rivières",1,28,52,35,3,33,0,152,443
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 230","Trois-Rivières",1,58,61,51,11,62,5,249,448
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 231","Trois-Rivières",0,36,60,29,3,38,3,169,304
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 232","Trois-Rivières",2,33,36,31,1,31,3,137,304
