Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Blair,Dan Harris,Roshan Nallaratnam,Tommy Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1A","Scarborough",61,12,21,1,0,95,255
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1B","Scarborough",81,21,25,7,0,134,275
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Scarborough",69,13,11,3,0,96,118
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Scarborough",153,35,46,8,2,244,478
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Scarborough",99,31,28,5,1,164,303
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Scarborough",146,35,31,5,1,218,409
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Scarborough",92,18,26,5,0,141,321
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Scarborough",100,40,41,5,0,186,338
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8A","Scarborough",75,15,38,3,1,132,287
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8B","Scarborough",80,19,24,2,0,125,275
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Scarborough",90,52,49,3,0,194,346
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Scarborough",97,43,51,5,0,196,332
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Scarborough",86,33,46,7,2,174,317
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Scarborough",144,28,76,7,0,255,463
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Scarborough",143,46,70,1,0,260,467
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Scarborough",123,46,57,3,0,229,481
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Scarborough",117,51,57,4,1,230,428
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Scarborough",123,40,63,5,6,237,376
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Scarborough",92,32,24,0,0,148,295
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Scarborough",122,44,56,1,1,224,471
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Scarborough",83,38,50,4,3,178,398
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Scarborough",95,33,35,5,1,169,336
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Scarborough",117,39,64,3,0,223,393
