Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 183C","Marystown",8,3,205,11,0,227,131
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 183D","Marystown",Merged with No./Fusionné avec le n°184D,,,,,,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184A","Marystown",Merged with No./Fusionné avec le n°181A,,,,,,146
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184B","Marystown",Merged with No./Fusionné avec le n°182B,,,,,,163
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184C","Marystown",Merged with No./Fusionné avec le n°183C,,,,,,184
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184D","Marystown",19,0,222,12,2,255,131
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 185","Marystown",22,4,207,16,3,252,438
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 186","Marystown",7,1,175,19,2,204,393
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 187","Burin",6,1,162,16,0,185,396
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 188","Burin",3,2,126,7,0,138,291
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 189","Burin",6,4,81,18,0,109,249
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 190","Burin",13,0,107,6,0,126,321
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 191","Lewin's Cove",12,0,146,11,0,169,337
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 192","Lewin's Cove--Big Salmonier",9,0,171,9,0,189,395
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 193","Frenchman's Cove",5,1,79,8,0,93,155
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 194","Garnish",7,2,232,15,0,256,486
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 195","Winterland",7,3,134,16,0,160,286
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 196","Grand Beach","Results combined with No./Résultats combinés au n°197",,,,,,77
