Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norah Mary Bowman,Ron Cannan,Stephen Fuhr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Carrs",22,102,95,0,219,481
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 2","Pixie Beach",24,90,92,0,206,438
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Okanagan Centre",18,85,120,0,223,459
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Okanagan Centre",34,64,113,0,211,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 5","Lake Country",37,118,104,1,260,546
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 6","Oyama",23,88,122,0,233,377
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Oyama",32,97,95,0,224,421
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Oyama",28,73,92,1,194,362
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 9","Oyama",33,79,91,0,203,361
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Woodsdale",33,127,105,0,265,515
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Woodsdale",33,86,99,1,219,535
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Woodsdale",26,72,78,0,176,382
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Winfield",28,78,93,0,199,459
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 14","Winfield",34,76,77,0,187,362
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Winfield",35,55,95,0,185,462
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 16","Winfield",46,73,111,1,231,486
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 17","Winfield",37,89,101,2,229,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 18","Okanagan Centre",40,81,114,1,236,504
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 19","Winfield",35,97,110,1,243,510
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 20","Winfield",22,53,77,0,152,369
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 21","Winfield",33,69,106,0,208,490
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 22","Duck Lake 7",26,82,78,1,187,401
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 23","Winfield",26,37,59,1,123,260
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 24","Winfield",32,30,70,1,133,297
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 25","Winfield",30,88,99,1,218,455
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 26","Duck Lake 7",29,162,123,0,314,541
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 27","Kelowna",28,107,88,0,223,466
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 28","Ellison",15,94,75,1,185,372
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 29","Kelowna",8,86,73,0,167,385
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 30","Kelowna",14,94,72,0,180,417
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 31","Kelowna",23,89,120,0,232,506
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 32","Ellison",19,123,83,2,227,397
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 33","Ellison",40,95,118,1,254,408
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 34","Kelowna",25,90,78,0,193,312
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 35","Ellison",13,125,62,0,200,304
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 36","Ellison",7,106,54,0,167,281
