Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",514536,421038,1251,44,126,1421
"Prince Edward Island/Île-du-Prince-Édouard",140204,113505,299,12,28,339
"Nova Scotia/Nouvelle-Écosse",921727,742931,2165,53,184,2402
"New Brunswick/Nouveau-Brunswick",751171,597542,1638,80,158,1876
"Quebec/Québec",7903001,6393478,16397,529,1227,18153
"Ontario",12851821,9691517,24460,535,1689,26684
"Manitoba",1208268,887983,2388,112,204,2704
"Saskatchewan",1033381,779405,2144,90,185,2419
"Alberta",3645257,2842504,6816,216,503,7535
"British Columbia/Colombie-Britannique",4400057,3392598,8275,215,602,9092
"Yukon",33897,26879,64,1,17,82
"Northwest Territories/Territoires du Nord-Ouest",41462,30110,83,0,8,91
"Nunavut",31906,20252,44,0,15,59
