Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 49","L'Île-Perrot",27,28,10,55,124,7,251,485
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 50","L'Île-Perrot",41,40,7,64,133,5,290,465
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 51","Notre-Dame-de-l'Île-Perrot",33,39,4,38,76,0,190,386
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 52","Notre-Dame-de-l'Île-Perrot",24,35,3,46,102,4,214,374
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 53","Notre-Dame-de-l'Île-Perrot",34,26,6,52,95,2,215,439
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 54","Notre-Dame-de-l'Île-Perrot",29,39,5,58,113,3,247,408
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 55","Notre-Dame-de-l'Île-Perrot",36,37,2,44,121,1,241,460
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 56","Notre-Dame-de-l'Île-Perrot",33,27,5,52,103,1,221,435
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 57","Notre-Dame-de-l'Île-Perrot",9,27,8,48,113,6,211,374
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 58","Notre-Dame-de-l'Île-Perrot",20,36,5,45,102,4,212,379
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 59","Notre-Dame-de-l'Île-Perrot",30,25,4,61,105,1,226,394
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 60","Notre-Dame-de-l'Île-Perrot",42,21,6,42,127,1,239,403
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 61","Notre-Dame-de-l'Île-Perrot",33,26,7,52,101,1,220,414
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 62","Notre-Dame-de-l'Île-Perrot",27,36,1,60,101,1,226,411
