Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 195","Notre-Dame-de-l'Île-Perrot",32,25,3,33,51,2,146,264
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 196","Pincourt",51,13,13,47,166,1,291,496
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 197A","Pincourt",31,15,1,13,83,0,143,256
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 197B","Pincourt",37,1,1,13,72,0,124,272
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 198","Pincourt",25,16,2,28,105,1,177,335
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 199","Pincourt",27,30,11,44,138,2,252,468
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 200","Pincourt",32,30,6,41,103,1,213,381
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 201","Pincourt",24,38,13,46,135,2,258,451
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 202","Pincourt",14,36,4,58,110,7,229,429
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 203","Pincourt",29,42,3,46,102,5,227,452
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 204","Pincourt",26,23,4,50,90,1,194,371
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 205","Pincourt",36,61,7,52,83,0,239,483
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 206","Pointe-des-Cascades",26,88,6,56,76,5,257,387
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 207","Pointe-des-Cascades",23,50,7,39,54,1,174,304
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 208","Pointe-des-Cascades",29,79,7,83,88,7,293,431
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 209","Rigaud",7,36,3,39,39,0,124,234
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 210","Rigaud",29,26,1,33,61,2,152,297
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 211","Rigaud",5,28,7,25,31,1,97,240
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 212","Rigaud",21,58,5,34,96,2,216,395
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 213","Rigaud",17,38,3,46,65,3,172,328
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 214","Rigaud",20,44,5,59,73,2,203,421
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 215","Rigaud",21,41,7,43,78,4,194,375
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 400","Vaudreuil-Dorion",20,7,0,14,61,0,102,142
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 401","Vaudreuil-Dorion",47,40,4,40,150,5,286,356
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 402","Vaudreuil-Dorion",13,19,3,15,43,3,96,123
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 403","Vaudreuil-Dorion",16,32,4,22,71,2,147,82
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 404","Vaudreuil-Dorion",26,21,0,13,71,3,134,167
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 500","Mobile poll/Bureau itinérant",18,12,2,27,59,0,118,221
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 501","Mobile poll/Bureau itinérant",5,14,1,6,32,1,59,159
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 502","Mobile poll/Bureau itinérant",6,10,2,6,34,2,60,110
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 600","Rigaud",93,149,17,159,260,17,695,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 601","Rigaud",114,109,11,155,274,3,666,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 602","Hudson",183,48,18,213,640,5,1107,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 603","L'Île-Cadieux",231,169,22,320,586,14,1342,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 604","L'Île-Perrot",129,170,12,191,360,16,878,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 605","Notre-Dame-de-l'Île-Perrot",167,144,22,334,469,6,1142,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 606","Notre-Dame-de-l'Île-Perrot",166,109,15,239,362,6,897,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 607","Saint-Lazare",168,122,29,244,488,10,1061,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 608","Saint-Lazare",233,59,14,200,496,9,1011,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 609","Vaudreuil-Dorion",125,219,19,320,373,20,1076,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 610","Vaudreuil-Dorion",187,129,15,243,543,7,1124,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 611","Vaudreuil-Dorion",103,112,7,161,273,5,661,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 612","Vaudreuil-Dorion",193,94,14,213,374,4,892,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 613","Vaudreuil-Dorion",226,110,16,204,592,8,1156,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 614","Les Cèdres",77,150,10,181,129,6,553,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 615","Les Cèdres",54,120,7,108,115,5,409,
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges",,"Group 1/Groupe 1",21,1,2,21,46,5,96,66
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges",,"Group 2/Groupe 2",230,221,49,478,652,29,1659,
