Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payam Azad,Claire Martin,Andrew Saxton,Carleen Thomas,Jonathan Wilkinson,Ismet Yetisen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 31","North Vancouver",0,16,76,9,121,0,0,222,362
59021,"North Vancouver/North Vancouver"," 32","North Vancouver",0,24,66,1,110,3,1,205,351
59021,"North Vancouver/North Vancouver"," 33","North Vancouver",0,9,60,2,107,0,0,178,339
59021,"North Vancouver/North Vancouver"," 34","North Vancouver",0,23,83,14,109,0,2,231,420
59021,"North Vancouver/North Vancouver"," 35","North Vancouver",0,24,42,30,156,0,0,252,488
59021,"North Vancouver/North Vancouver"," 36","North Vancouver",0,15,43,19,121,1,0,199,386
59021,"North Vancouver/North Vancouver"," 37","North Vancouver",0,20,53,22,150,0,0,245,415
59021,"North Vancouver/North Vancouver"," 38","North Vancouver",1,18,75,30,188,0,1,313,454
59021,"North Vancouver/North Vancouver"," 39","North Vancouver",1,20,61,11,153,0,2,248,452
59021,"North Vancouver/North Vancouver"," 40","North Vancouver",0,21,73,7,108,2,0,211,361
59021,"North Vancouver/North Vancouver"," 41","North Vancouver",0,28,75,15,122,0,0,240,445
59021,"North Vancouver/North Vancouver"," 42","North Vancouver",0,21,56,17,115,1,0,210,438
59021,"North Vancouver/North Vancouver"," 43","North Vancouver",2,12,43,11,104,0,0,172,436
59021,"North Vancouver/North Vancouver"," 44","North Vancouver",1,17,78,14,97,1,1,209,372
59021,"North Vancouver/North Vancouver"," 45","North Vancouver",0,29,104,10,161,0,2,306,543
59021,"North Vancouver/North Vancouver"," 46","North Vancouver",0,27,69,21,122,0,0,239,398
59021,"North Vancouver/North Vancouver"," 47","North Vancouver",0,14,71,28,145,1,0,259,405
59021,"North Vancouver/North Vancouver"," 48","North Vancouver",0,25,41,13,116,0,1,196,380
59021,"North Vancouver/North Vancouver"," 49","North Vancouver",1,33,64,13,127,0,1,239,452
59021,"North Vancouver/North Vancouver"," 50","North Vancouver",0,18,70,10,102,0,1,201,405
59021,"North Vancouver/North Vancouver"," 51","North Vancouver",0,9,81,9,125,0,1,225,452
59021,"North Vancouver/North Vancouver"," 52","North Vancouver",0,24,63,16,151,0,0,254,469
59021,"North Vancouver/North Vancouver"," 53","North Vancouver",0,24,75,12,131,0,0,242,420
59021,"North Vancouver/North Vancouver"," 54","North Vancouver",0,16,82,21,147,0,0,266,438
59021,"North Vancouver/North Vancouver"," 55","North Vancouver",0,32,106,13,164,0,0,315,537
59021,"North Vancouver/North Vancouver"," 56","North Vancouver",0,18,60,15,156,0,1,250,457
59021,"North Vancouver/North Vancouver"," 57","North Vancouver",0,17,65,18,128,2,1,231,381
59021,"North Vancouver/North Vancouver"," 58","North Vancouver",1,27,74,20,188,0,1,311,526
59021,"North Vancouver/North Vancouver"," 59","North Vancouver",0,35,71,20,159,1,0,286,451
59021,"North Vancouver/North Vancouver"," 60","North Vancouver",1,26,57,25,157,1,0,267,489
59021,"North Vancouver/North Vancouver"," 61","North Vancouver",0,23,52,22,116,0,0,213,448
59021,"North Vancouver/North Vancouver"," 62","North Vancouver",0,24,91,11,206,0,0,332,519
59021,"North Vancouver/North Vancouver"," 63","North Vancouver",0,39,84,12,208,0,1,344,513
59021,"North Vancouver/North Vancouver"," 64","North Vancouver",0,30,80,15,157,0,0,282,448
59021,"North Vancouver/North Vancouver"," 65","North Vancouver",0,19,107,23,186,0,1,336,584
59021,"North Vancouver/North Vancouver"," 66","North Vancouver",0,20,67,16,129,0,1,233,385
59021,"North Vancouver/North Vancouver"," 67","North Vancouver",0,21,66,25,179,0,0,291,567
59021,"North Vancouver/North Vancouver"," 68","North Vancouver",0,31,75,7,126,0,1,240,428
59021,"North Vancouver/North Vancouver"," 69","North Vancouver",0,30,71,26,142,0,0,269,471
59021,"North Vancouver/North Vancouver"," 70","North Vancouver",1,24,84,9,144,3,1,266,435
59021,"North Vancouver/North Vancouver"," 71","North Vancouver",0,26,56,25,127,0,0,234,433
59021,"North Vancouver/North Vancouver"," 72","North Vancouver",0,24,53,29,171,2,1,280,521
59021,"North Vancouver/North Vancouver"," 73","North Vancouver",0,17,56,12,90,0,0,175,323
59021,"North Vancouver/North Vancouver"," 74","North Vancouver",0,19,97,18,138,1,4,277,503
59021,"North Vancouver/North Vancouver"," 75","North Vancouver",1,12,93,10,139,1,0,256,452
59021,"North Vancouver/North Vancouver"," 76","North Vancouver",0,27,73,20,167,0,0,287,506
59021,"North Vancouver/North Vancouver"," 77","North Vancouver",0,23,80,18,125,0,0,246,422
59021,"North Vancouver/North Vancouver"," 78","North Vancouver",0,28,68,29,152,0,0,277,477
59021,"North Vancouver/North Vancouver"," 79","North Vancouver",2,31,72,20,145,1,1,272,476
59021,"North Vancouver/North Vancouver"," 80","North Vancouver",1,22,70,16,139,0,1,249,460
