Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Chow,Sharon Danley,Nick Lin,Michael Nicula,Adam Vaughan,Sabrina Zuniga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 1A","Toronto",42,5,0,0,112,37,1,197,398
35101,"Spadina--Fort York/Spadina--Fort York"," 1B","Toronto",48,7,1,0,115,38,1,210,278
35101,"Spadina--Fort York/Spadina--Fort York"," 2","Toronto",69,6,0,0,135,31,2,243,493
35101,"Spadina--Fort York/Spadina--Fort York"," 3","Toronto",56,3,1,1,138,44,0,243,199
35101,"Spadina--Fort York/Spadina--Fort York"," 4","Toronto",47,4,0,0,112,25,1,189,374
35101,"Spadina--Fort York/Spadina--Fort York"," 5","Toronto",Merged with No./Fusionné avec le n°406,,,,,,,,268
35101,"Spadina--Fort York/Spadina--Fort York"," 6A","Toronto",53,3,0,0,104,39,1,200,271
35101,"Spadina--Fort York/Spadina--Fort York"," 6B","Toronto",28,6,1,0,52,14,0,101,244
35101,"Spadina--Fort York/Spadina--Fort York"," 7","Toronto",63,5,0,1,93,20,1,183,464
35101,"Spadina--Fort York/Spadina--Fort York"," 8","Toronto",63,2,0,0,98,19,0,182,356
35101,"Spadina--Fort York/Spadina--Fort York"," 9","Toronto",93,9,0,0,104,18,0,224,397
35101,"Spadina--Fort York/Spadina--Fort York"," 10","Toronto",66,4,2,0,71,22,2,167,392
35101,"Spadina--Fort York/Spadina--Fort York"," 11","Toronto",64,5,0,0,101,16,0,186,394
35101,"Spadina--Fort York/Spadina--Fort York"," 12","Toronto",35,4,0,0,97,30,0,166,350
35101,"Spadina--Fort York/Spadina--Fort York"," 13","Toronto",46,2,0,1,87,11,3,150,432
35101,"Spadina--Fort York/Spadina--Fort York"," 14","Toronto",33,1,0,1,80,6,1,122,359
35101,"Spadina--Fort York/Spadina--Fort York"," 15","Toronto",55,2,1,2,68,26,2,156,421
35101,"Spadina--Fort York/Spadina--Fort York"," 16","Toronto",52,6,1,0,97,15,1,172,413
35101,"Spadina--Fort York/Spadina--Fort York"," 17","Toronto",40,2,0,2,34,8,5,91,346
35101,"Spadina--Fort York/Spadina--Fort York"," 18","Toronto",49,5,0,0,132,21,0,207,387
35101,"Spadina--Fort York/Spadina--Fort York"," 19","Toronto",65,6,1,0,61,12,0,145,385
35101,"Spadina--Fort York/Spadina--Fort York"," 20","Toronto",78,5,1,0,91,25,1,201,437
35101,"Spadina--Fort York/Spadina--Fort York"," 21","Toronto",89,1,1,0,63,12,1,167,366
35101,"Spadina--Fort York/Spadina--Fort York"," 22","Toronto",62,7,0,0,62,18,0,149,454
35101,"Spadina--Fort York/Spadina--Fort York"," 23","Toronto",110,5,0,0,104,23,1,243,505
