Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalid Ahmed,Maureen Harquail,Yasmin Ratansi,Laura Elizabeth Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 443","North York",20,55,84,6,0,165,371
35019,"Don Valley East/Don Valley-Est"," 444","North York",22,44,90,1,0,157,336
35019,"Don Valley East/Don Valley-Est"," 500","Mobile poll/Bureau itinérant",2,20,19,1,2,44,105
35019,"Don Valley East/Don Valley-Est"," 501","Mobile poll/Bureau itinérant",8,26,41,1,1,77,191
35019,"Don Valley East/Don Valley-Est"," 600","North York",103,289,520,16,1,929,
35019,"Don Valley East/Don Valley-Est"," 601","North York",89,284,456,19,5,853,
35019,"Don Valley East/Don Valley-Est"," 602","North York",99,379,509,28,3,1018,
35019,"Don Valley East/Don Valley-Est"," 603","North York",110,484,800,27,3,1424,
35019,"Don Valley East/Don Valley-Est"," 604","North York",74,394,576,19,3,1066,
35019,"Don Valley East/Don Valley-Est"," 605","North York",69,228,290,18,4,609,
35019,"Don Valley East/Don Valley-Est"," 606","North York",102,196,453,20,3,774,
35019,"Don Valley East/Don Valley-Est"," 607","North York",75,98,460,11,3,647,
35019,"Don Valley East/Don Valley-Est"," 608","North York",54,159,385,15,0,613,
35019,"Don Valley East/Don Valley-Est"," 609","North York",54,154,312,14,0,534,
35019,"Don Valley East/Don Valley-Est",,"Group 1/Groupe 1",5,11,60,2,8,86,87
35019,"Don Valley East/Don Valley-Est",,"Group 2/Groupe 2",122,212,515,21,15,885,
