Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Burrows,Roger Carter,Nathaniel Erskine-Smith,Matthew Kellway,Randall Sach,James Sears,Peter Surjanac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 1","North York",20,1,232,40,5,3,1,1,303,530
35007,"Beaches--East York/Beaches--East York"," 2","North York",23,2,163,77,4,1,1,2,273,514
35007,"Beaches--East York/Beaches--East York"," 3","East York",40,0,95,37,3,2,0,1,178,322
35007,"Beaches--East York/Beaches--East York"," 4","East York",56,0,104,60,3,3,0,0,226,393
35007,"Beaches--East York/Beaches--East York"," 5","East York",66,0,108,57,7,0,0,0,238,394
35007,"Beaches--East York/Beaches--East York"," 6","East York",49,0,109,62,3,2,0,1,226,384
35007,"Beaches--East York/Beaches--East York"," 7","East York",28,1,100,38,3,3,1,0,174,398
35007,"Beaches--East York/Beaches--East York"," 8","East York",78,1,109,60,4,1,0,2,255,475
35007,"Beaches--East York/Beaches--East York"," 9","East York",69,0,106,56,6,1,1,0,239,390
35007,"Beaches--East York/Beaches--East York"," 10","East York",50,0,84,67,1,0,0,0,202,362
35007,"Beaches--East York/Beaches--East York"," 11","East York",44,0,75,26,5,7,1,0,158,382
35007,"Beaches--East York/Beaches--East York"," 12","East York",79,0,136,44,3,0,0,1,263,484
35007,"Beaches--East York/Beaches--East York"," 13","East York",95,0,99,30,2,6,0,2,234,448
35007,"Beaches--East York/Beaches--East York"," 14","East York",77,0,127,57,6,0,0,3,270,509
35007,"Beaches--East York/Beaches--East York"," 15","East York",80,1,127,48,7,2,0,1,266,451
35007,"Beaches--East York/Beaches--East York"," 16","East York",54,1,90,60,2,3,0,1,211,418
35007,"Beaches--East York/Beaches--East York"," 17","East York",52,0,130,77,7,2,0,1,269,457
35007,"Beaches--East York/Beaches--East York"," 18","East York",66,2,105,66,8,0,0,2,249,494
35007,"Beaches--East York/Beaches--East York"," 19","East York",66,0,132,77,8,0,0,0,283,578
35007,"Beaches--East York/Beaches--East York"," 20","East York",90,1,127,54,8,0,0,1,281,470
35007,"Beaches--East York/Beaches--East York"," 21","East York",25,0,120,56,2,0,0,0,203,486
35007,"Beaches--East York/Beaches--East York"," 22A","East York",47,0,80,43,7,1,0,1,179,402
35007,"Beaches--East York/Beaches--East York"," 22B","East York",30,1,68,41,0,3,0,0,143,458
35007,"Beaches--East York/Beaches--East York"," 23","East York",32,0,83,48,5,0,0,1,169,350
35007,"Beaches--East York/Beaches--East York"," 24","East York",33,0,60,43,7,2,0,1,146,293
35007,"Beaches--East York/Beaches--East York"," 25","East York",39,2,117,69,4,4,0,3,238,514
35007,"Beaches--East York/Beaches--East York"," 26","East York",64,0,175,66,9,2,0,3,319,524
35007,"Beaches--East York/Beaches--East York"," 27","East York",31,1,96,47,8,1,0,5,189,460
35007,"Beaches--East York/Beaches--East York"," 28","East York",19,0,80,58,2,0,0,0,159,387
35007,"Beaches--East York/Beaches--East York"," 29","East York",81,0,92,82,8,2,0,0,265,443
35007,"Beaches--East York/Beaches--East York"," 30","East York",53,2,106,58,3,0,0,0,222,350
35007,"Beaches--East York/Beaches--East York"," 31","East York",35,0,99,108,4,0,1,2,249,501
35007,"Beaches--East York/Beaches--East York"," 32","East York",19,0,101,38,5,1,0,0,164,432
35007,"Beaches--East York/Beaches--East York"," 33","East York",21,0,66,36,4,4,0,0,131,391
35007,"Beaches--East York/Beaches--East York"," 34","East York",35,0,132,98,8,1,0,0,274,482
35007,"Beaches--East York/Beaches--East York"," 35","East York",21,0,78,73,5,1,0,1,179,317
35007,"Beaches--East York/Beaches--East York"," 36","Toronto",22,0,86,75,6,0,0,1,190,451
35007,"Beaches--East York/Beaches--East York"," 37","Toronto",28,2,93,69,7,2,0,0,201,433
35007,"Beaches--East York/Beaches--East York"," 38","Toronto",57,4,126,117,10,1,1,2,318,528
35007,"Beaches--East York/Beaches--East York"," 39","East York",49,0,164,113,5,1,0,2,334,589
35007,"Beaches--East York/Beaches--East York"," 40","East York",31,0,93,49,2,2,0,2,179,398
35007,"Beaches--East York/Beaches--East York"," 41","East York",30,1,113,71,6,3,0,2,226,444
35007,"Beaches--East York/Beaches--East York"," 42A","East York",36,1,70,83,5,2,0,0,197,393
35007,"Beaches--East York/Beaches--East York"," 42B","East York",27,0,134,72,5,1,0,2,241,398
35007,"Beaches--East York/Beaches--East York"," 43","East York",45,0,122,111,7,2,0,1,288,569
35007,"Beaches--East York/Beaches--East York"," 44","East York",46,1,148,98,3,1,0,2,299,518
