Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Ackad,Fernand Deschamps,Stéphane Dion,Pascal-Olivier Dumas-Dubreuil,John Tromp,Jimmy Yu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 1","St. Laurent",24,1,107,2,1,21,2,158,435
24068,"Saint-Laurent/Saint-Laurent"," 2","St. Laurent",19,0,123,5,5,14,2,168,256
24068,"Saint-Laurent/Saint-Laurent"," 3","St. Laurent",Merged with No./Fusionné avec le n°2,,,,,,,,184
24068,"Saint-Laurent/Saint-Laurent"," 4A","St. Laurent",27,1,127,3,1,17,1,177,306
24068,"Saint-Laurent/Saint-Laurent"," 4B","St. Laurent",26,1,157,3,3,23,2,215,526
24068,"Saint-Laurent/Saint-Laurent"," 5","St. Laurent",28,1,168,5,0,23,1,226,490
24068,"Saint-Laurent/Saint-Laurent"," 6","St. Laurent",17,1,112,11,2,24,5,172,455
24068,"Saint-Laurent/Saint-Laurent"," 7","St. Laurent",17,0,88,2,1,18,1,127,314
24068,"Saint-Laurent/Saint-Laurent"," 8","St. Laurent",22,0,103,9,6,35,2,177,608
24068,"Saint-Laurent/Saint-Laurent"," 9A","St. Laurent",17,0,73,3,1,13,3,110,361
24068,"Saint-Laurent/Saint-Laurent"," 9B","St. Laurent",Merged with No./Fusionné avec le n°90,,,,,,,,49
24068,"Saint-Laurent/Saint-Laurent"," 9C","St. Laurent",Merged with No./Fusionné avec le n°91,,,,,,,,59
24068,"Saint-Laurent/Saint-Laurent"," 10","St. Laurent",14,0,100,5,1,32,1,153,349
24068,"Saint-Laurent/Saint-Laurent"," 11","St. Laurent",29,3,155,16,2,48,8,261,674
24068,"Saint-Laurent/Saint-Laurent"," 12","St. Laurent",14,0,128,4,1,21,1,169,546
24068,"Saint-Laurent/Saint-Laurent"," 13","St. Laurent",19,0,90,0,2,15,2,128,257
24068,"Saint-Laurent/Saint-Laurent"," 14","St. Laurent",34,1,180,8,2,24,5,254,506
