Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Guinta,Denis Hurtubise,Hans Marotte,Marilyn Redivo,Jean Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 1","Sainte-Brigide-d'Iberville",35,54,81,7,88,10,275,444
24067,"Saint-Jean/Saint-Jean"," 2","Sainte-Brigide-d'Iberville",16,57,58,7,58,5,201,307
24067,"Saint-Jean/Saint-Jean"," 3","Sainte-Brigide-d'Iberville",24,46,52,3,68,0,193,314
24067,"Saint-Jean/Saint-Jean"," 4","Mont-Saint-Grégoire",18,39,57,6,51,5,176,302
24067,"Saint-Jean/Saint-Jean"," 5","Mont-Saint-Grégoire",25,23,66,5,51,1,171,316
24067,"Saint-Jean/Saint-Jean"," 6","Saint-Grégoire-le-Grand",16,71,71,5,82,4,249,402
24067,"Saint-Jean/Saint-Jean"," 7","Mont-Saint-Grégoire",22,50,74,5,77,3,231,405
24067,"Saint-Jean/Saint-Jean"," 8","Mont-Saint-Grégoire",21,36,41,1,62,3,164,306
24067,"Saint-Jean/Saint-Jean"," 9","Mont-Saint-Grégoire",16,53,76,16,58,3,222,432
24067,"Saint-Jean/Saint-Jean"," 10","Mont-Saint-Grégoire",14,56,34,8,45,1,158,291
24067,"Saint-Jean/Saint-Jean"," 11","Saint-Jean-sur-Richelieu",15,48,25,2,49,3,142,321
24067,"Saint-Jean/Saint-Jean"," 12","Saint-Jean-sur-Richelieu",25,80,98,3,94,4,304,566
24067,"Saint-Jean/Saint-Jean"," 13","Saint-Jean-sur-Richelieu",14,55,32,4,37,3,145,285
24067,"Saint-Jean/Saint-Jean"," 14","Saint-Jean-sur-Richelieu",29,55,39,5,85,4,217,503
24067,"Saint-Jean/Saint-Jean"," 15","Saint-Jean-sur-Richelieu",17,60,60,3,79,4,223,452
24067,"Saint-Jean/Saint-Jean"," 16","Saint-Jean-sur-Richelieu",20,45,72,4,71,4,216,441
24067,"Saint-Jean/Saint-Jean"," 17","Saint-Jean-sur-Richelieu",13,61,83,5,56,3,221,416
24067,"Saint-Jean/Saint-Jean"," 18","Saint-Jean-sur-Richelieu",31,55,74,3,44,4,211,443
24067,"Saint-Jean/Saint-Jean"," 19","Saint-Jean-sur-Richelieu",19,68,58,5,86,2,238,396
24067,"Saint-Jean/Saint-Jean"," 20","Saint-Jean-sur-Richelieu",34,79,99,7,111,8,338,516
24067,"Saint-Jean/Saint-Jean"," 21","Saint-Jean-sur-Richelieu",18,50,48,5,62,0,183,366
24067,"Saint-Jean/Saint-Jean"," 22","Saint-Jean-sur-Richelieu",34,66,80,7,93,2,282,494
24067,"Saint-Jean/Saint-Jean"," 23","Saint-Jean-sur-Richelieu",32,54,89,6,73,4,258,429
24067,"Saint-Jean/Saint-Jean"," 24","Saint-Jean-sur-Richelieu",16,72,61,1,66,4,220,376
24067,"Saint-Jean/Saint-Jean"," 25","Saint-Jean-sur-Richelieu",36,59,65,1,73,6,240,433
24067,"Saint-Jean/Saint-Jean"," 26","Saint-Jean-sur-Richelieu",19,81,59,6,64,4,233,422
24067,"Saint-Jean/Saint-Jean"," 27","Saint-Jean-sur-Richelieu",21,49,64,8,68,8,218,424
24067,"Saint-Jean/Saint-Jean"," 28","Saint-Jean-sur-Richelieu",25,71,91,4,115,5,311,508
24067,"Saint-Jean/Saint-Jean"," 29","Saint-Jean-sur-Richelieu",23,63,83,8,95,5,277,410
24067,"Saint-Jean/Saint-Jean"," 30","Saint-Jean-sur-Richelieu",29,47,77,8,67,6,234,398
24067,"Saint-Jean/Saint-Jean"," 31","Saint-Jean-sur-Richelieu",33,41,45,4,84,0,207,378
24067,"Saint-Jean/Saint-Jean"," 32","Saint-Jean-sur-Richelieu",12,69,76,8,57,1,223,380
24067,"Saint-Jean/Saint-Jean"," 33","Saint-Jean-sur-Richelieu",13,43,81,3,86,3,229,417
24067,"Saint-Jean/Saint-Jean"," 34","Saint-Jean-sur-Richelieu",28,71,76,3,80,2,260,471
24067,"Saint-Jean/Saint-Jean"," 35","Saint-Jean-sur-Richelieu",35,72,54,7,71,0,239,414
24067,"Saint-Jean/Saint-Jean"," 36","Saint-Jean-sur-Richelieu",24,67,60,5,72,0,228,409
24067,"Saint-Jean/Saint-Jean"," 37","Saint-Jean-sur-Richelieu",49,23,50,3,82,4,211,384
24067,"Saint-Jean/Saint-Jean"," 38","Saint-Jean-sur-Richelieu",24,58,76,3,81,7,249,472
24067,"Saint-Jean/Saint-Jean"," 39","Saint-Jean-sur-Richelieu",22,56,34,5,79,1,197,390
24067,"Saint-Jean/Saint-Jean"," 40","Saint-Jean-sur-Richelieu",23,28,57,1,88,2,199,380
24067,"Saint-Jean/Saint-Jean"," 41","Saint-Jean-sur-Richelieu",10,31,35,2,38,2,118,357
24067,"Saint-Jean/Saint-Jean"," 42","Saint-Jean-sur-Richelieu",25,55,72,3,82,2,239,499
24067,"Saint-Jean/Saint-Jean"," 43","Saint-Jean-sur-Richelieu",28,37,43,5,74,1,188,344
24067,"Saint-Jean/Saint-Jean"," 44","Saint-Jean-sur-Richelieu",24,70,55,7,74,1,231,460
24067,"Saint-Jean/Saint-Jean"," 45","Saint-Jean-sur-Richelieu",26,68,69,7,74,2,246,437
24067,"Saint-Jean/Saint-Jean"," 46","Saint-Jean-sur-Richelieu",20,51,67,4,78,3,223,462
24067,"Saint-Jean/Saint-Jean"," 47","Saint-Jean-sur-Richelieu",19,35,59,4,70,2,189,354
24067,"Saint-Jean/Saint-Jean"," 48","Saint-Jean-sur-Richelieu",31,57,65,5,53,2,213,357
24067,"Saint-Jean/Saint-Jean"," 49","Saint-Jean-sur-Richelieu",28,66,82,6,88,6,276,436
24067,"Saint-Jean/Saint-Jean"," 50","Saint-Jean-sur-Richelieu",21,59,85,5,70,5,245,453
24067,"Saint-Jean/Saint-Jean"," 51","Saint-Jean-sur-Richelieu",13,70,62,4,71,4,224,439
24067,"Saint-Jean/Saint-Jean"," 52","Saint-Jean-sur-Richelieu",21,43,66,3,56,6,195,382
24067,"Saint-Jean/Saint-Jean"," 53","Saint-Jean-sur-Richelieu",20,50,77,5,69,9,230,402
24067,"Saint-Jean/Saint-Jean"," 54","Saint-Jean-sur-Richelieu",19,56,54,0,54,2,185,408
24067,"Saint-Jean/Saint-Jean"," 55","Saint-Jean-sur-Richelieu",26,53,56,4,65,4,208,379
24067,"Saint-Jean/Saint-Jean"," 56","Saint-Jean-sur-Richelieu",17,57,47,6,51,5,183,339
24067,"Saint-Jean/Saint-Jean"," 57","Saint-Jean-sur-Richelieu",24,72,75,5,81,3,260,449
24067,"Saint-Jean/Saint-Jean"," 58","Saint-Jean-sur-Richelieu",21,47,87,1,80,3,239,396
24067,"Saint-Jean/Saint-Jean"," 59","Saint-Jean-sur-Richelieu",17,69,61,3,73,7,230,415
24067,"Saint-Jean/Saint-Jean"," 60","Saint-Jean-sur-Richelieu",23,59,66,6,71,3,228,431
24067,"Saint-Jean/Saint-Jean"," 61","Saint-Jean-sur-Richelieu",18,55,51,2,63,4,193,366
24067,"Saint-Jean/Saint-Jean"," 62","Saint-Jean-sur-Richelieu",15,43,70,4,77,6,215,378
24067,"Saint-Jean/Saint-Jean"," 63","Saint-Jean-sur-Richelieu",11,56,55,4,89,5,220,460
24067,"Saint-Jean/Saint-Jean"," 64","Saint-Jean-sur-Richelieu",46,41,62,0,70,4,223,414
24067,"Saint-Jean/Saint-Jean"," 65","Saint-Jean-sur-Richelieu",28,38,46,3,59,0,174,414
24067,"Saint-Jean/Saint-Jean"," 66","Saint-Jean-sur-Richelieu",14,28,29,0,46,0,117,438
24067,"Saint-Jean/Saint-Jean"," 67","Saint-Jean-sur-Richelieu",14,27,53,4,66,1,165,357
24067,"Saint-Jean/Saint-Jean"," 68","Saint-Jean-sur-Richelieu",6,37,32,4,42,5,126,303
24067,"Saint-Jean/Saint-Jean"," 69","Saint-Jean-sur-Richelieu",12,52,59,4,97,0,224,423
24067,"Saint-Jean/Saint-Jean"," 70","Saint-Jean-sur-Richelieu",28,50,83,4,75,0,240,474
24067,"Saint-Jean/Saint-Jean"," 71","Saint-Jean-sur-Richelieu",28,56,65,3,87,6,245,448
24067,"Saint-Jean/Saint-Jean"," 72","Saint-Jean-sur-Richelieu",28,61,77,6,71,5,248,434
24067,"Saint-Jean/Saint-Jean"," 73","Saint-Jean-sur-Richelieu",26,56,75,5,78,4,244,447
24067,"Saint-Jean/Saint-Jean"," 74","Saint-Jean-sur-Richelieu",15,31,36,2,42,3,129,374
24067,"Saint-Jean/Saint-Jean"," 75","Saint-Jean-sur-Richelieu",11,38,35,6,65,0,155,404
24067,"Saint-Jean/Saint-Jean"," 76","Saint-Jean-sur-Richelieu",9,57,47,5,54,2,174,448
24067,"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",12,40,44,6,78,7,187,410
24067,"Saint-Jean/Saint-Jean"," 78","Saint-Jean-sur-Richelieu",23,47,36,2,52,3,163,433
24067,"Saint-Jean/Saint-Jean"," 79","Saint-Jean-sur-Richelieu",8,42,36,6,45,6,143,353
24067,"Saint-Jean/Saint-Jean"," 80","Saint-Jean-sur-Richelieu",23,49,49,10,74,13,218,432
24067,"Saint-Jean/Saint-Jean"," 81","Saint-Jean-sur-Richelieu",12,41,48,4,50,3,158,468
24067,"Saint-Jean/Saint-Jean"," 82","Saint-Jean-sur-Richelieu",5,47,50,9,54,1,166,340
24067,"Saint-Jean/Saint-Jean"," 83","Saint-Jean-sur-Richelieu",27,68,57,2,68,5,227,417
24067,"Saint-Jean/Saint-Jean"," 84","Saint-Jean-sur-Richelieu",10,56,75,5,83,5,234,385
24067,"Saint-Jean/Saint-Jean"," 85","Saint-Jean-sur-Richelieu",18,56,79,3,77,2,235,385
24067,"Saint-Jean/Saint-Jean"," 86","Saint-Jean-sur-Richelieu",20,47,60,10,114,1,252,587
24067,"Saint-Jean/Saint-Jean"," 87","Saint-Jean-sur-Richelieu",25,34,54,3,70,4,190,391
24067,"Saint-Jean/Saint-Jean"," 88","Saint-Jean-sur-Richelieu",6,23,23,1,29,1,83,239
