Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline Brown,Joe Daniel,Akil Sadikali,Geng Tan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 1","North York",9,94,30,131,5,269,493
35020,"Don Valley North/Don Valley-Nord"," 2","North York",6,131,17,101,1,256,451
35020,"Don Valley North/Don Valley-Nord"," 3","North York",9,133,23,97,0,262,495
35020,"Don Valley North/Don Valley-Nord"," 4","North York",6,50,12,97,2,167,355
35020,"Don Valley North/Don Valley-Nord"," 5","North York",2,91,13,58,0,164,315
35020,"Don Valley North/Don Valley-Nord"," 6","North York",2,44,14,75,0,135,293
35020,"Don Valley North/Don Valley-Nord"," 7","North York",0,81,9,55,1,146,395
35020,"Don Valley North/Don Valley-Nord"," 8","North York",3,93,22,84,2,204,399
35020,"Don Valley North/Don Valley-Nord"," 9","North York",7,96,15,64,0,182,325
35020,"Don Valley North/Don Valley-Nord"," 10","North York",2,62,14,77,0,155,366
35020,"Don Valley North/Don Valley-Nord"," 11","North York",3,49,19,71,2,144,271
35020,"Don Valley North/Don Valley-Nord"," 12","North York",3,63,11,69,0,146,375
35020,"Don Valley North/Don Valley-Nord"," 13","North York",1,39,6,51,0,97,261
35020,"Don Valley North/Don Valley-Nord"," 14","North York",8,67,16,112,3,206,460
35020,"Don Valley North/Don Valley-Nord"," 15","North York",2,58,14,145,0,219,404
35020,"Don Valley North/Don Valley-Nord"," 16","North York",2,105,25,134,3,269,462
35020,"Don Valley North/Don Valley-Nord"," 17","North York",4,70,9,106,3,192,426
35020,"Don Valley North/Don Valley-Nord"," 18","North York",1,52,16,65,0,134,331
35020,"Don Valley North/Don Valley-Nord"," 19","North York",0,17,19,73,19,128,303
35020,"Don Valley North/Don Valley-Nord"," 20","North York",4,56,11,129,0,200,380
35020,"Don Valley North/Don Valley-Nord"," 21","North York",1,52,11,63,0,127,319
35020,"Don Valley North/Don Valley-Nord"," 22","North York",5,92,11,69,0,177,424
35020,"Don Valley North/Don Valley-Nord"," 23","North York",4,70,28,87,0,189,465
35020,"Don Valley North/Don Valley-Nord"," 24","North York",2,69,12,92,1,176,353
35020,"Don Valley North/Don Valley-Nord"," 25","North York",2,75,6,72,1,156,364
35020,"Don Valley North/Don Valley-Nord"," 26","North York",2,54,22,92,0,170,414
35020,"Don Valley North/Don Valley-Nord"," 27","North York",6,90,16,106,0,218,422
35020,"Don Valley North/Don Valley-Nord"," 28","North York",5,103,13,68,0,189,480
35020,"Don Valley North/Don Valley-Nord"," 29","North York",3,76,9,63,1,152,368
35020,"Don Valley North/Don Valley-Nord"," 30","North York",1,68,7,65,0,141,358
35020,"Don Valley North/Don Valley-Nord"," 31","North York",5,72,9,73,1,160,382
35020,"Don Valley North/Don Valley-Nord"," 32","North York",5,96,7,82,0,190,404
35020,"Don Valley North/Don Valley-Nord"," 33","North York",3,89,9,98,2,201,460
35020,"Don Valley North/Don Valley-Nord"," 34","North York",7,98,14,93,0,212,461
35020,"Don Valley North/Don Valley-Nord"," 35","North York",1,96,11,76,0,184,362
35020,"Don Valley North/Don Valley-Nord"," 36","North York",4,110,18,80,2,214,351
35020,"Don Valley North/Don Valley-Nord"," 37","North York",5,101,6,104,0,216,389
35020,"Don Valley North/Don Valley-Nord"," 38","North York",1,97,11,68,0,177,351
35020,"Don Valley North/Don Valley-Nord"," 39","North York",3,64,4,56,0,127,339
35020,"Don Valley North/Don Valley-Nord"," 40","North York",1,54,13,67,0,135,295
35020,"Don Valley North/Don Valley-Nord"," 41","North York",2,86,11,100,0,199,444
35020,"Don Valley North/Don Valley-Nord"," 42A","North York",7,51,21,85,0,164,331
35020,"Don Valley North/Don Valley-Nord"," 42B","North York",2,68,9,86,2,167,369
35020,"Don Valley North/Don Valley-Nord"," 43","North York",4,73,25,121,0,223,502
35020,"Don Valley North/Don Valley-Nord"," 44","North York",2,57,11,80,0,150,318
35020,"Don Valley North/Don Valley-Nord"," 45","North York",8,99,19,116,1,243,457
35020,"Don Valley North/Don Valley-Nord"," 46","North York",5,88,12,146,1,252,445
35020,"Don Valley North/Don Valley-Nord"," 47","North York",5,80,13,129,0,227,455
35020,"Don Valley North/Don Valley-Nord"," 48","North York",2,29,8,77,0,116,341
35020,"Don Valley North/Don Valley-Nord"," 49","North York",0,54,8,96,3,161,379
35020,"Don Valley North/Don Valley-Nord"," 50","North York",1,44,12,51,2,110,304
35020,"Don Valley North/Don Valley-Nord"," 51","North York",2,83,25,73,2,185,447
35020,"Don Valley North/Don Valley-Nord"," 52","North York",5,83,20,77,0,185,355
35020,"Don Valley North/Don Valley-Nord"," 53","North York",10,63,17,106,0,196,472
35020,"Don Valley North/Don Valley-Nord"," 54","North York",7,109,21,141,0,278,470
35020,"Don Valley North/Don Valley-Nord"," 55A","North York",2,35,31,77,3,148,337
35020,"Don Valley North/Don Valley-Nord"," 55B","North York",7,42,32,82,1,164,363
35020,"Don Valley North/Don Valley-Nord"," 56","North York",7,62,32,102,1,204,481
35020,"Don Valley North/Don Valley-Nord"," 57","North York",2,53,4,57,2,118,276
35020,"Don Valley North/Don Valley-Nord"," 58","North York",6,76,10,108,4,204,406
35020,"Don Valley North/Don Valley-Nord"," 59","North York",2,59,12,80,1,154,368
35020,"Don Valley North/Don Valley-Nord"," 60","North York",6,71,19,81,0,177,428
35020,"Don Valley North/Don Valley-Nord"," 61","North York",4,43,20,100,1,168,348
35020,"Don Valley North/Don Valley-Nord"," 62","North York",4,58,35,76,1,174,409
35020,"Don Valley North/Don Valley-Nord"," 63","North York",5,96,25,111,0,237,501
35020,"Don Valley North/Don Valley-Nord"," 64","North York",3,107,10,83,0,203,424
35020,"Don Valley North/Don Valley-Nord"," 65","North York",4,45,9,75,3,136,360
35020,"Don Valley North/Don Valley-Nord"," 66","North York",7,95,18,112,1,233,453
35020,"Don Valley North/Don Valley-Nord"," 67","North York",4,89,19,98,5,215,410
35020,"Don Valley North/Don Valley-Nord"," 68","North York",3,86,18,124,5,236,466
35020,"Don Valley North/Don Valley-Nord"," 69","North York",8,80,11,86,0,185,412
35020,"Don Valley North/Don Valley-Nord"," 70A","North York",4,39,10,48,0,101,279
35020,"Don Valley North/Don Valley-Nord"," 70B","North York",5,27,29,77,0,138,306
35020,"Don Valley North/Don Valley-Nord"," 71","North York",6,66,23,95,1,191,401
35020,"Don Valley North/Don Valley-Nord"," 72","North York",3,76,8,96,1,184,382
35020,"Don Valley North/Don Valley-Nord"," 73","North York",8,76,19,105,3,211,461
35020,"Don Valley North/Don Valley-Nord"," 74","North York",3,76,12,99,3,193,374
35020,"Don Valley North/Don Valley-Nord"," 75","North York",4,81,13,129,0,227,446
35020,"Don Valley North/Don Valley-Nord"," 76","North York",4,69,27,110,1,211,381
35020,"Don Valley North/Don Valley-Nord"," 77","North York",3,69,21,86,0,179,377
35020,"Don Valley North/Don Valley-Nord"," 78","North York",11,65,21,151,0,248,488
35020,"Don Valley North/Don Valley-Nord"," 79","North York",8,84,18,153,1,264,480
35020,"Don Valley North/Don Valley-Nord"," 80","North York",12,94,27,116,1,250,455
35020,"Don Valley North/Don Valley-Nord"," 81","North York",Merged with No./Fusionné avec le n°82,,,,,,72
35020,"Don Valley North/Don Valley-Nord"," 82","North York",4,65,12,100,0,181,356
35020,"Don Valley North/Don Valley-Nord"," 83","North York",3,60,13,87,1,164,327
35020,"Don Valley North/Don Valley-Nord"," 84","North York",2,67,18,128,0,215,420
35020,"Don Valley North/Don Valley-Nord"," 85","North York",4,40,19,67,1,131,290
35020,"Don Valley North/Don Valley-Nord"," 86","North York",2,75,14,90,3,184,456
35020,"Don Valley North/Don Valley-Nord"," 87","North York",3,56,29,97,4,189,453
35020,"Don Valley North/Don Valley-Nord"," 88","North York",4,42,9,67,4,126,333
35020,"Don Valley North/Don Valley-Nord"," 89","North York",3,42,16,65,1,127,328
35020,"Don Valley North/Don Valley-Nord"," 90","North York",3,26,15,72,1,117,302
35020,"Don Valley North/Don Valley-Nord"," 91","North York",2,53,14,95,2,166,368
35020,"Don Valley North/Don Valley-Nord"," 92","North York",6,79,12,127,1,225,563
35020,"Don Valley North/Don Valley-Nord"," 93","North York",5,61,32,100,0,198,497
35020,"Don Valley North/Don Valley-Nord"," 94","North York",8,46,19,131,0,204,475
35020,"Don Valley North/Don Valley-Nord"," 95","North York",11,100,24,125,0,260,553
35020,"Don Valley North/Don Valley-Nord"," 96","North York",12,83,13,129,2,239,281
35020,"Don Valley North/Don Valley-Nord"," 97","North York",5,68,15,90,3,181,395
35020,"Don Valley North/Don Valley-Nord"," 98","North York",0,51,6,58,0,115,261
35020,"Don Valley North/Don Valley-Nord"," 99","North York",3,36,14,68,0,121,276
35020,"Don Valley North/Don Valley-Nord"," 100","North York",2,41,24,62,0,129,294
35020,"Don Valley North/Don Valley-Nord"," 101","North York",5,28,20,75,0,128,298
35020,"Don Valley North/Don Valley-Nord"," 102","North York",4,63,23,104,2,196,362
35020,"Don Valley North/Don Valley-Nord"," 103","North York",7,80,5,84,0,176,332
35020,"Don Valley North/Don Valley-Nord"," 104","North York",11,112,8,131,2,264,464
35020,"Don Valley North/Don Valley-Nord"," 105","North York",4,84,13,128,0,229,439
35020,"Don Valley North/Don Valley-Nord"," 106","North York",3,57,3,63,0,126,256
35020,"Don Valley North/Don Valley-Nord"," 107","North York",3,65,10,88,1,167,342
35020,"Don Valley North/Don Valley-Nord"," 108","North York",5,56,5,69,2,137,297
35020,"Don Valley North/Don Valley-Nord"," 109","North York",4,77,16,117,2,216,417
35020,"Don Valley North/Don Valley-Nord"," 110","North York",2,115,2,77,0,196,421
35020,"Don Valley North/Don Valley-Nord"," 111","North York",6,126,7,123,1,263,489
35020,"Don Valley North/Don Valley-Nord"," 112","North York",6,90,11,117,1,225,447
35020,"Don Valley North/Don Valley-Nord"," 113","North York",3,99,8,138,1,249,435
35020,"Don Valley North/Don Valley-Nord"," 114","North York",6,76,17,128,3,230,449
35020,"Don Valley North/Don Valley-Nord"," 115","North York",4,63,30,114,2,213,547
35020,"Don Valley North/Don Valley-Nord"," 116","North York",4,78,10,94,0,186,458
35020,"Don Valley North/Don Valley-Nord"," 117","North York",2,71,7,87,0,167,450
35020,"Don Valley North/Don Valley-Nord"," 118","North York",6,81,6,71,0,164,437
35020,"Don Valley North/Don Valley-Nord"," 118-1","North York",3,168,3,75,0,249,403
35020,"Don Valley North/Don Valley-Nord"," 119","North York",10,71,27,133,0,241,548
35020,"Don Valley North/Don Valley-Nord"," 120","North York",7,77,16,115,1,216,455
35020,"Don Valley North/Don Valley-Nord"," 121","North York",0,66,25,94,0,185,484
35020,"Don Valley North/Don Valley-Nord"," 122","North York",4,62,19,97,0,182,386
35020,"Don Valley North/Don Valley-Nord"," 123","North York",5,39,26,90,1,161,321
