Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,John Duncan,Gord Johns,Carrie Powell-Davidson,Glenn Sollitt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 603","Port Alberni",4,372,588,237,164,1,1366,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 604","Port Alberni",4,303,597,262,129,7,1302,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 605","Hornby Island",0,102,165,52,38,0,357,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 606","Courtenay",2,126,385,93,36,0,642,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 607","Courtenay",6,322,626,203,99,1,1257,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 608","Courtenay",3,290,429,166,86,1,975,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 609","Courtenay",3,461,340,217,78,1,1100,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 610","Deep Bay",1,224,249,153,120,3,750,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 611","Dashwood",0,517,547,277,251,2,1594,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 612","Qualicum Beach",1,688,319,265,162,2,1437,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 613","Parksville",1,444,351,232,137,1,1166,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 614","Nanaimo F",1,148,237,104,74,0,564,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 615","Parksville",1,349,273,211,135,0,969,
59009,"Courtenay--Alberni/Courtenay--Alberni"," 616","Parksville",1,228,134,114,70,0,547,
59009,"Courtenay--Alberni/Courtenay--Alberni",,"Group 1/Groupe 1",1,94,57,65,25,5,247,125
59009,"Courtenay--Alberni/Courtenay--Alberni",,"Group 2/Groupe 2",4,1088,1519,637,480,37,3765,
