Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Alexander,Stephanie Brown,Jeff Hill,Mark Holland,Bob Kesic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 137","Ajax",106,17,3,124,1,1,252,488
35001,"Ajax/Ajax"," 138","Ajax",76,23,5,101,0,2,207,368
35001,"Ajax/Ajax"," 139","Ajax",107,37,3,122,0,0,269,450
35001,"Ajax/Ajax"," 140","Ajax",77,41,3,102,0,0,223,386
35001,"Ajax/Ajax"," 141","Ajax",77,31,1,89,1,1,200,385
35001,"Ajax/Ajax"," 142","Ajax",74,38,1,97,1,1,212,477
35001,"Ajax/Ajax"," 143","Ajax",75,33,7,85,0,1,201,471
35001,"Ajax/Ajax"," 144","Ajax",90,37,9,96,0,0,232,483
35001,"Ajax/Ajax"," 145","Ajax",66,19,2,128,1,0,216,440
35001,"Ajax/Ajax"," 146","Ajax",71,23,9,79,0,0,182,397
35001,"Ajax/Ajax"," 147","Ajax",82,33,5,116,0,0,236,491
35001,"Ajax/Ajax"," 148","Ajax",80,13,3,130,0,0,226,411
35001,"Ajax/Ajax"," 149","Ajax",104,23,6,165,0,3,301,552
35001,"Ajax/Ajax"," 150","Ajax",107,34,2,134,0,0,277,482
35001,"Ajax/Ajax"," 151","Ajax",83,9,4,130,1,0,227,444
35001,"Ajax/Ajax"," 152","Ajax",93,18,3,106,0,0,220,396
35001,"Ajax/Ajax"," 153","Ajax",89,27,7,124,0,0,247,383
35001,"Ajax/Ajax"," 154","Ajax",103,15,4,80,0,0,202,387
35001,"Ajax/Ajax"," 155","Ajax",59,23,7,86,1,0,176,373
35001,"Ajax/Ajax"," 156","Ajax",65,23,1,112,2,0,203,382
35001,"Ajax/Ajax"," 157","Ajax",54,15,3,101,0,3,176,382
35001,"Ajax/Ajax"," 158","Ajax",135,11,7,103,0,1,257,415
35001,"Ajax/Ajax"," 159","Ajax",103,19,6,120,0,0,248,476
35001,"Ajax/Ajax"," 160","Ajax",112,26,5,119,0,1,263,506
35001,"Ajax/Ajax"," 161","Ajax",76,21,11,118,0,2,228,430
35001,"Ajax/Ajax"," 162","Ajax",110,11,5,93,0,0,219,431
35001,"Ajax/Ajax"," 163","Ajax",68,23,0,121,0,0,212,514
35001,"Ajax/Ajax"," 164","Ajax",43,22,5,94,0,1,165,382
35001,"Ajax/Ajax"," 165","Ajax",81,29,5,131,0,0,246,488
35001,"Ajax/Ajax"," 166","Ajax",84,23,5,120,0,1,233,431
35001,"Ajax/Ajax"," 167","Ajax",85,31,12,111,0,1,240,416
35001,"Ajax/Ajax"," 168A","Ajax",78,16,3,77,0,0,174,325
35001,"Ajax/Ajax"," 168B","Ajax",75,29,7,78,0,0,189,343
35001,"Ajax/Ajax"," 169","Ajax",109,24,5,132,0,0,270,416
35001,"Ajax/Ajax"," 170","Ajax",92,24,3,99,0,1,219,380
35001,"Ajax/Ajax"," 171","Ajax",95,30,4,103,1,1,234,437
35001,"Ajax/Ajax"," 172","Ajax",86,21,8,116,0,0,231,417
35001,"Ajax/Ajax"," 173","Ajax",86,19,6,103,1,0,215,388
35001,"Ajax/Ajax"," 174","Ajax",79,17,4,99,0,1,200,382
35001,"Ajax/Ajax"," 175","Ajax",112,27,7,133,0,1,280,502
35001,"Ajax/Ajax"," 176","Ajax",78,33,7,115,0,0,233,436
35001,"Ajax/Ajax"," 177","Ajax",94,19,2,96,0,1,212,446
35001,"Ajax/Ajax"," 178","Ajax",76,18,7,128,0,1,230,391
35001,"Ajax/Ajax"," 179","Ajax",116,20,2,128,1,1,268,475
35001,"Ajax/Ajax"," 180","Ajax",120,24,8,131,1,0,284,436
35001,"Ajax/Ajax"," 181","Ajax",94,22,4,85,0,1,206,338
35001,"Ajax/Ajax"," 182","Ajax",88,11,4,94,0,0,197,455
35001,"Ajax/Ajax"," 183","Ajax",135,25,4,140,0,2,306,493
35001,"Ajax/Ajax"," 184","Ajax",122,10,6,93,0,0,231,369
35001,"Ajax/Ajax"," 400","Ajax",53,32,3,133,0,2,223,329
35001,"Ajax/Ajax"," 401","Ajax",82,14,7,94,0,0,197,292
35001,"Ajax/Ajax"," 402","Ajax",68,35,5,110,0,3,221,330
35001,"Ajax/Ajax"," 403","Ajax",75,15,4,108,1,1,204,311
35001,"Ajax/Ajax"," 404","Ajax",94,25,9,91,0,0,219,279
35001,"Ajax/Ajax"," 500","Mobile poll/Bureau itinérant",75,14,2,63,2,2,158,181
35001,"Ajax/Ajax"," 501","Mobile poll/Bureau itinérant",65,22,3,72,1,0,163,296
35001,"Ajax/Ajax"," 600","Ajax",382,63,4,617,2,6,1074,
35001,"Ajax/Ajax"," 601","Ajax",274,53,8,488,0,4,827,
35001,"Ajax/Ajax"," 602","Ajax",341,64,10,712,2,4,1133,
35001,"Ajax/Ajax"," 603","Ajax",237,55,8,449,3,2,754,
35001,"Ajax/Ajax"," 604","Ajax",310,58,3,562,0,2,935,
35001,"Ajax/Ajax"," 605","Ajax",304,59,5,720,1,2,1091,
35001,"Ajax/Ajax"," 606","Ajax",305,62,9,551,2,2,931,
35001,"Ajax/Ajax"," 607","Ajax",410,69,21,487,0,3,990,
35001,"Ajax/Ajax"," 608","Ajax",252,66,13,345,1,0,677,
35001,"Ajax/Ajax"," 609","Ajax",204,80,8,423,1,3,719,
35001,"Ajax/Ajax"," 610","Ajax",363,75,13,440,2,1,894,
35001,"Ajax/Ajax"," 611","Ajax",443,60,9,435,1,5,953,
35001,"Ajax/Ajax"," 612","Ajax",343,74,14,570,0,1,1002,
35001,"Ajax/Ajax",,"Group 1/Groupe 1",32,10,3,71,1,2,119,87
35001,"Ajax/Ajax",,"Group 2/Groupe 2",449,123,17,787,2,14,1392,
