Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Yvon Boivin,Maxime Rousseau,Dominic Therrien,Éric Trottier,André Valois,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 185","Trois-Rivières",50,69,0,33,6,44,8,210,462
24076,"Trois-Rivières/Trois-Rivières"," 186","Trois-Rivières",53,56,3,28,3,20,7,170,396
24076,"Trois-Rivières/Trois-Rivières"," 187","Trois-Rivières",31,48,0,23,1,24,3,130,270
24076,"Trois-Rivières/Trois-Rivières"," 188","Trois-Rivières",55,56,4,42,2,22,6,187,432
24076,"Trois-Rivières/Trois-Rivières"," 189","Trois-Rivières",44,61,1,20,2,43,3,174,388
24076,"Trois-Rivières/Trois-Rivières"," 190","Trois-Rivières",45,35,0,24,3,33,2,142,333
24076,"Trois-Rivières/Trois-Rivières"," 191","Trois-Rivières",37,32,1,13,6,30,1,120,316
24076,"Trois-Rivières/Trois-Rivières"," 192","Trois-Rivières",48,60,2,45,4,49,2,210,463
24076,"Trois-Rivières/Trois-Rivières"," 193","Trois-Rivières",64,61,0,37,3,38,5,208,423
24076,"Trois-Rivières/Trois-Rivières"," 194","Trois-Rivières",54,56,0,32,4,32,0,178,351
24076,"Trois-Rivières/Trois-Rivières"," 195","Trois-Rivières",54,72,1,50,0,31,6,214,441
24076,"Trois-Rivières/Trois-Rivières"," 196","Trois-Rivières",37,71,1,45,3,30,6,193,441
24076,"Trois-Rivières/Trois-Rivières"," 197","Trois-Rivières",45,24,0,23,2,26,0,120,282
24076,"Trois-Rivières/Trois-Rivières"," 198","Trois-Rivières",52,35,0,29,5,37,3,161,351
24076,"Trois-Rivières/Trois-Rivières"," 199","Trois-Rivières",39,45,1,35,2,27,0,149,349
24076,"Trois-Rivières/Trois-Rivières"," 200","Trois-Rivières",48,55,0,31,4,40,1,179,340
24076,"Trois-Rivières/Trois-Rivières"," 201","Trois-Rivières",81,56,0,36,7,37,2,219,355
24076,"Trois-Rivières/Trois-Rivières"," 202","Trois-Rivières",60,53,0,32,3,41,6,195,360
24076,"Trois-Rivières/Trois-Rivières"," 203","Trois-Rivières",45,43,1,20,1,29,4,143,316
24076,"Trois-Rivières/Trois-Rivières"," 204","Trois-Rivières",43,59,0,20,1,30,2,155,379
24076,"Trois-Rivières/Trois-Rivières"," 205","Trois-Rivières",64,60,1,46,4,33,4,212,365
24076,"Trois-Rivières/Trois-Rivières"," 206","Trois-Rivières",78,90,2,60,1,19,6,256,435
