Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 137","East Selkirk",80,22,4,3,60,1,170,289
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 138","East Selkirk",44,10,1,5,27,0,87,161
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 139","East Selkirk",48,16,1,4,37,0,106,201
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 140A","East Selkirk",66,15,1,5,74,1,162,309
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 140B","East Selkirk",63,25,4,9,60,0,161,278
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 141A","Highland Glen",67,17,1,3,51,1,140,287
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 141B","Highland Glen",77,13,0,8,48,2,148,249
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 142","Little Britain",112,12,3,9,57,0,193,329
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 143","Gonor Station",102,26,3,10,86,0,227,393
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 144A","Melrose",98,6,5,14,42,2,167,282
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 144B","Melrose",76,15,3,6,56,0,156,277
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 145","Selkirk",90,39,2,9,84,1,225,383
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 146","Saint Andrews",87,30,6,7,62,1,193,385
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 147","Selkirk",100,48,4,8,81,0,241,426
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 148","Selkirk",121,25,4,15,91,1,257,418
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 149","Brokenhead",82,13,2,4,12,1,114,205
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 150","Ladywood",88,15,1,7,48,0,159,299
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 151","Cromwell",151,35,5,19,66,1,277,450
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 152","Beauséjour",84,22,5,11,54,2,178,409
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 153A","Beauséjour",62,13,1,6,40,0,122,265
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 153B","Beauséjour",69,13,2,8,52,2,146,304
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 154","Beauséjour",Merged with No./Fusionné avec le n°153A,,,,,,,42
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 155","Beauséjour",66,15,2,7,47,1,138,295
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 156","Beauséjour",54,20,4,6,32,0,116,234
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 157","Beauséjour",127,28,5,9,74,2,245,451
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 158A","Beauséjour",75,16,3,5,43,1,143,279
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 158B","Beauséjour",67,6,8,3,45,1,130,243
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 159A","Cloverleaf",86,14,3,10,53,2,168,277
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 159B","Cloverleaf",99,16,5,7,62,0,189,290
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 160","St. Ouens",131,20,3,23,57,0,234,377
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 161","Lac du Bonnet",171,15,5,8,94,4,297,476
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 162","Lac du Bonnet",24,15,4,2,23,0,68,161
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 163","Lac du Bonnet",90,24,1,7,69,1,192,330
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 164","Riverland",97,13,3,4,46,1,164,328
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 165A","Riverland",91,16,7,3,59,3,179,328
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 165B","Riverland",110,17,4,4,50,0,185,380
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 166A","Crescent Bay",52,13,0,3,36,0,104,316
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 166B","Crescent Bay",71,7,5,4,33,1,121,337
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 167A","Lac du Bonnet",70,10,2,1,38,1,122,280
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 167B","Lac du Bonnet",62,14,4,3,46,0,129,256
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 168","Bird River",114,17,3,7,76,3,220,321
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 169","Pinawa",111,22,2,6,95,3,239,435
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 170","Pinawa",81,18,1,11,122,0,233,366
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 171","Pinawa",137,27,3,9,125,0,301,458
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 172","Seddons Corner",47,4,0,3,20,0,74,163
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 173","Sebright",132,22,1,9,55,1,220,362
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 174","Tyndall",148,15,6,12,107,3,291,486
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 175","Garson",118,27,5,14,76,0,240,455
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 176","Gonor",107,24,4,4,71,1,211,330
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 177","Narol",122,27,5,6,82,2,244,433
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 178","Narol",46,18,5,12,67,1,149,239
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 179A","Narol",81,15,3,7,49,1,156,288
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 179B","Narol",78,17,2,6,59,2,164,272
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 180","St. Clements",132,30,2,6,56,0,226,355
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 181A","St. Clements",109,22,6,5,53,0,195,299
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 181B","St. Clements",77,23,7,2,58,0,167,289
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 182","Saint Andrews",113,26,8,9,83,0,239,429
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 183","Saint Andrews",84,16,5,7,81,1,194,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 184","Saint Andrews",81,14,4,7,58,0,164,287
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 185","Saint Andrews",90,31,10,0,97,0,228,460
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 186","Saint Andrews",82,16,2,7,51,0,158,285
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 187","Saint Andrews",85,18,3,9,73,0,188,312
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 188","Saint Andrews",69,12,2,4,41,2,130,248
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 189","Saint Andrews",96,9,3,7,56,0,171,280
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 190","Saint Andrews",91,11,6,4,59,0,171,325
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 191","Saint Andrews",74,18,5,5,76,2,180,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 192","Saint Andrews",77,24,4,6,45,1,157,285
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 193","Saint Andrews",108,12,3,3,84,1,211,403
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 194","Saint Andrews",91,15,1,2,85,0,194,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 195","St. Clements",85,33,11,8,81,3,221,472
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 196","St. Clements",43,31,3,2,53,1,133,283
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 197","Gimli",57,22,2,1,42,0,124,262
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 400","Stonewall",38,5,1,0,12,0,56,157
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 401","Selkirk",15,21,3,7,17,6,69,17
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 402","Gimli",Merged with No./Fusionné avec le n°403,,,,,,,24
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 403","Gimli",25,13,2,2,19,1,62,111
