Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 618","Stonewall—Rockwood",284,37,3,16,124,0,464,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 619","Meadows—Rosser",47,8,1,2,5,0,63,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 620","Selkirk North",201,70,12,19,118,1,421,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 621","Selkirk South",295,53,3,14,153,0,518,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 622","East Selkirk—St. Clements",214,55,9,16,100,0,394,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 623","Saint Andrews",100,19,1,8,61,0,189,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 624","St. Clements—Narol",177,21,3,10,91,2,304,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 625","St. Andrews South",369,85,9,22,207,4,696,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 626","St. Clements East",71,35,1,5,44,0,156,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 627","Garson—Tyndall",122,27,5,7,60,0,221,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 628","Brokenhead—Beausejour",319,88,11,26,156,2,602,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 629","Lac du Bonnet",322,64,9,17,130,3,545,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 630","Pinawa",62,24,1,14,103,0,204,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman",,"Group 1/Groupe 1",37,8,10,3,58,7,123,97
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman",,"Group 2/Groupe 2",518,154,11,31,310,13,1037,
