Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Biggar,Barry Blackman,Kathi Dickie,W. Todd Keller,Matt Shaw,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 1","Toad River",0,0,2,0,1,17,0,20,48
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 2","Fort Nelson",9,6,55,2,79,96,1,248,472
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 3","Fort Nelson",7,0,15,2,55,104,0,183,407
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 4","Fort Nelson",5,5,25,1,26,92,1,155,363
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 5","Fort Nelson",4,2,10,2,31,106,2,157,385
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 6","Fort Nelson",0,1,11,2,32,126,0,172,397
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 7","Fort Nelson",5,1,8,2,43,119,0,178,399
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 8","Fort Nelson",9,1,21,2,53,78,1,165,368
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 9","Fort Nelson",2,3,10,3,40,95,0,153,369
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 10","Fort Nelson",3,1,32,2,40,91,0,169,445
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 11","Fort Ware 1",8,7,76,6,24,4,0,125,192
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 12","Prophet River",0,0,12,1,26,9,0,48,81
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 13","Ingenika Point",12,3,51,1,19,2,0,88,145
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 14","Pink Mountain",0,0,4,3,2,30,0,39,73
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 15","Prespatou",2,0,3,1,2,141,1,150,252
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 16","Wonowon",1,0,8,0,9,53,0,71,134
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 17","Buick",2,0,28,0,7,115,0,152,264
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 18","Upper Halfway",0,1,21,1,14,25,0,62,102
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 19","Rose Prairie",7,1,20,0,33,283,0,344,606
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 20","Charlie Lake",16,3,16,2,38,220,0,295,578
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 21","Charlie Lake",19,1,13,3,37,274,0,347,644
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 22","Charlie Lake",17,1,8,2,28,223,0,279,555
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 23","Charlie Lake",2,1,18,2,33,270,3,329,681
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 24","Charlie Lake",6,0,4,0,12,109,0,131,269
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 25","Charlie Lake",7,1,18,2,26,154,1,209,382
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 26","Charlie Lake",8,1,5,1,19,163,1,198,344
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 27","Charlie Lake",6,2,11,2,23,121,0,165,278
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 28","Hudson's Hope",23,2,48,3,51,177,1,305,432
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 29","Hudson's Hope",25,2,32,1,53,96,0,209,335
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 30","Cecil Lake",14,2,13,0,8,192,1,230,348
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 31","Fort St. John",8,1,15,0,30,84,0,138,376
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 32","Fort St. John",7,1,12,2,45,129,0,196,429
