Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 56","Winnipeg",64,8,55,46,0,173,416
46005,"Elmwood--Transcona/Elmwood--Transcona"," 57","Winnipeg",37,3,46,45,0,131,285
46005,"Elmwood--Transcona/Elmwood--Transcona"," 58","Winnipeg",56,4,61,51,2,174,382
46005,"Elmwood--Transcona/Elmwood--Transcona"," 59","Winnipeg",82,1,91,63,0,237,462
46005,"Elmwood--Transcona/Elmwood--Transcona"," 60","Winnipeg",67,10,73,69,2,221,397
46005,"Elmwood--Transcona/Elmwood--Transcona"," 61","Winnipeg",75,11,74,47,5,212,473
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62","Winnipeg",64,9,76,55,3,207,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 63","Winnipeg",69,8,74,38,2,191,500
46005,"Elmwood--Transcona/Elmwood--Transcona"," 64","Winnipeg",44,7,53,24,0,128,286
46005,"Elmwood--Transcona/Elmwood--Transcona"," 65","Winnipeg",45,4,61,35,0,145,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 66","Winnipeg",71,1,74,20,3,169,369
46005,"Elmwood--Transcona/Elmwood--Transcona"," 67","Winnipeg",48,6,55,30,0,139,349
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68","Winnipeg",65,2,65,42,1,175,400
46005,"Elmwood--Transcona/Elmwood--Transcona"," 69","Winnipeg",88,3,71,46,0,208,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 70","Winnipeg",67,3,73,47,2,192,449
46005,"Elmwood--Transcona/Elmwood--Transcona"," 71","Winnipeg",46,3,68,33,0,150,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 72","Winnipeg",46,5,48,36,1,136,395
46005,"Elmwood--Transcona/Elmwood--Transcona"," 73","Winnipeg",75,9,66,46,0,196,393
46005,"Elmwood--Transcona/Elmwood--Transcona"," 74","Winnipeg",70,6,65,57,0,198,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 75","Winnipeg",144,12,54,54,2,266,413
46005,"Elmwood--Transcona/Elmwood--Transcona"," 76","Winnipeg",100,14,55,56,1,226,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 77","Winnipeg",93,6,65,65,2,231,422
46005,"Elmwood--Transcona/Elmwood--Transcona"," 78","Winnipeg",99,7,51,58,1,216,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 79","Winnipeg",27,4,41,21,0,93,294
46005,"Elmwood--Transcona/Elmwood--Transcona"," 80","Winnipeg",74,10,64,70,3,221,414
46005,"Elmwood--Transcona/Elmwood--Transcona"," 81","Winnipeg",66,4,71,71,1,213,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 82","Winnipeg",47,10,49,80,1,187,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 83","Winnipeg",68,6,56,24,0,154,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 84","Winnipeg",32,4,54,25,0,115,310
46005,"Elmwood--Transcona/Elmwood--Transcona"," 85","Winnipeg",46,5,47,22,0,120,319
46005,"Elmwood--Transcona/Elmwood--Transcona"," 86","Winnipeg",65,1,50,51,0,167,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 87","Winnipeg",69,7,76,71,3,226,383
46005,"Elmwood--Transcona/Elmwood--Transcona"," 88","Winnipeg",65,11,74,39,1,190,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 89","Winnipeg",73,10,82,66,2,233,419
46005,"Elmwood--Transcona/Elmwood--Transcona"," 90","Winnipeg",73,6,61,61,1,202,403
46005,"Elmwood--Transcona/Elmwood--Transcona"," 91","Winnipeg",48,4,56,32,1,141,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 92","Winnipeg",53,6,53,48,2,162,366
46005,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",66,10,78,106,1,261,452
46005,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",59,7,85,83,2,236,415
46005,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",82,5,77,66,1,231,476
