Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Kevin Farmer,Marnie MacDougall,Noah Richler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 1","Toronto",113,6,19,31,1,170,367
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 2","Toronto",102,11,43,38,0,194,502
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 3","Toronto",174,8,85,28,0,295,581
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 4A","Toronto",126,5,44,21,2,198,359
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 4B","Toronto",115,5,52,15,0,187,326
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 5","Toronto",119,3,52,20,1,195,442
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 6","Toronto",71,5,18,11,0,105,239
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 7","Toronto",107,5,43,27,0,182,380
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 8","Toronto",78,1,49,15,1,144,391
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 9","Toronto",104,6,35,17,0,162,484
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 10","Toronto",151,8,113,24,2,298,555
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 11","Toronto",114,3,48,38,0,203,547
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 12","Toronto",134,3,47,30,0,214,337
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 13","Toronto",105,3,46,12,0,166,310
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 14","Toronto",131,3,67,32,1,234,450
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 15","Toronto",110,4,49,13,3,179,374
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 16","Toronto",113,5,27,41,0,186,487
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 17","Toronto",212,4,84,36,1,337,622
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 18","Toronto",110,2,43,16,1,172,366
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 19","Toronto",160,8,45,37,0,250,446
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 20","Toronto",117,10,108,11,1,247,435
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 21","Toronto",120,5,75,9,1,210,341
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 22","Toronto",148,9,85,21,0,263,472
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 23","Toronto",154,5,54,35,2,250,435
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 24","Toronto",127,8,55,20,1,211,409
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 25","Toronto",166,10,67,44,0,287,497
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 26","Toronto",108,14,43,22,1,188,345
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 27","Toronto",185,9,110,18,0,322,558
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 28","Toronto",125,5,44,15,2,191,403
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 29","Toronto",85,5,22,26,2,140,332
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 30","Toronto",87,3,27,21,1,139,346
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 31","Toronto",173,11,55,33,2,274,502
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 32","Toronto",123,9,45,27,1,205,417
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 33","Toronto",155,8,46,49,1,259,511
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 34","Toronto",129,14,41,11,2,197,320
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 35","Toronto",129,6,52,13,0,200,343
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 36","Toronto",169,5,72,32,1,279,502
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 37","Toronto",52,6,10,14,1,83,169
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 38","Toronto",176,6,26,24,2,234,456
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 39","Toronto",165,17,46,49,0,277,514
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 40","Toronto",150,12,93,30,0,285,519
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 41","Toronto",163,11,45,43,2,264,476
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 42","Toronto",179,12,72,29,2,294,444
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 43","Toronto",195,21,71,27,0,314,490
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 44","Toronto",122,11,62,19,0,214,378
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 45","Toronto",162,13,53,35,1,264,395
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 46","Toronto",155,6,97,22,0,280,482
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 47","Toronto",156,3,86,30,2,277,438
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 48","Toronto",57,5,112,4,2,180,360
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 49","Toronto",33,4,137,5,1,180,350
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 50","Toronto",130,6,99,26,2,263,484
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 51","Toronto",125,7,37,30,2,201,356
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 52","Toronto",87,7,58,22,0,174,438
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 53","Toronto",29,1,88,3,0,121,246
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 54","Toronto",75,3,110,15,0,203,416
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 55","Toronto",58,4,87,10,0,159,322
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 56","Toronto",48,1,108,3,0,160,340
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 57","Toronto",49,0,127,9,0,185,367
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 58","York",72,5,78,20,1,176,383
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 59","York",49,0,79,2,0,130,332
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 60","York",80,6,110,13,2,211,382
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 61","York",96,4,78,27,0,205,403
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 62","York",135,7,53,42,0,237,495
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 63","York",160,10,49,32,2,253,503
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 64","York",187,4,57,34,0,282,518
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 65","York",156,3,21,35,6,221,338
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 66","York",76,5,20,15,1,117,380
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 67","York",142,8,32,44,2,228,457
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 68","York",135,5,44,39,0,223,407
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 69","York",142,5,55,47,1,250,471
