Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynda Briguene,Rosane Doré Lefebvre,Angelo Iacono,Renata Isopo,Gabriel Purcarus,Daniel St-Hilaire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 1","Laval",9,65,61,0,30,58,6,229,419
24004,"Alfred-Pellan/Alfred-Pellan"," 2","Laval",7,56,90,0,30,74,8,265,514
24004,"Alfred-Pellan/Alfred-Pellan"," 3","Laval",2,58,80,0,19,72,6,237,487
24004,"Alfred-Pellan/Alfred-Pellan"," 4","Laval",7,101,80,0,29,79,4,300,499
24004,"Alfred-Pellan/Alfred-Pellan"," 5","Laval",4,65,102,2,16,56,2,247,470
24004,"Alfred-Pellan/Alfred-Pellan"," 6","Laval",3,32,91,1,16,26,0,169,426
24004,"Alfred-Pellan/Alfred-Pellan"," 7","Laval",3,50,83,0,8,31,4,179,343
24004,"Alfred-Pellan/Alfred-Pellan"," 8","Laval",10,54,118,0,18,41,0,241,473
24004,"Alfred-Pellan/Alfred-Pellan"," 9","Laval",3,45,63,0,14,34,5,164,285
24004,"Alfred-Pellan/Alfred-Pellan"," 10","Laval",6,48,112,0,17,43,3,229,422
24004,"Alfred-Pellan/Alfred-Pellan"," 11","Laval",3,43,102,2,25,44,6,225,401
24004,"Alfred-Pellan/Alfred-Pellan"," 12","Laval",7,69,105,4,24,64,3,276,499
24004,"Alfred-Pellan/Alfred-Pellan"," 13","Laval",7,41,71,0,30,42,5,196,441
24004,"Alfred-Pellan/Alfred-Pellan"," 14","Laval",11,50,146,0,47,38,1,293,612
24004,"Alfred-Pellan/Alfred-Pellan"," 15","Laval",4,58,99,1,23,54,3,242,492
24004,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",1,73,80,1,23,53,5,236,469
24004,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",6,54,101,0,14,49,5,229,432
24004,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",9,68,83,0,16,42,4,222,394
24004,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",4,38,79,1,21,55,7,205,407
24004,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",4,59,72,1,10,51,5,202,427
24004,"Alfred-Pellan/Alfred-Pellan"," 21","Laval",8,70,50,1,17,40,2,188,403
24004,"Alfred-Pellan/Alfred-Pellan"," 22","Laval",7,53,78,0,9,48,7,202,383
24004,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",6,55,92,0,26,31,2,212,467
24004,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",2,49,106,2,21,39,2,221,494
24004,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",5,71,138,0,26,65,2,307,507
24004,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",3,56,140,0,20,39,3,261,478
24004,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",3,33,126,1,27,35,1,226,419
24004,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",2,36,117,0,23,44,0,222,429
24004,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",8,77,178,3,45,56,5,372,635
24004,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",5,56,120,0,33,44,5,263,459
24004,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",2,45,168,1,67,38,0,321,531
24004,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",2,78,90,1,27,37,3,238,408
24004,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",6,38,71,0,18,60,1,194,349
24004,"Alfred-Pellan/Alfred-Pellan"," 34","Laval",7,83,108,0,13,59,5,275,474
24004,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",4,61,71,0,14,71,5,226,392
24004,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",12,63,55,2,16,83,2,233,406
24004,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",3,75,68,1,29,114,0,290,516
24004,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",4,81,56,2,21,62,5,231,366
24004,"Alfred-Pellan/Alfred-Pellan"," 39A","Laval",4,66,62,0,18,100,0,250,440
