Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Maguire,David Neufeld,Melissa Joy Wastasecoot,Jodi Wyman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 1A","Kirkella",108,10,6,38,0,162,240
46001,"Brandon--Souris/Brandon--Souris"," 1B","Kirkella",138,6,2,29,1,176,305
46001,"Brandon--Souris/Brandon--Souris"," 2","Hargrave",70,6,9,26,0,111,305
46001,"Brandon--Souris/Brandon--Souris"," 3","Virden",146,11,10,43,0,210,359
46001,"Brandon--Souris/Brandon--Souris"," 4","Virden",100,5,8,42,0,155,302
46001,"Brandon--Souris/Brandon--Souris"," 5","Virden",155,9,6,44,1,215,414
46001,"Brandon--Souris/Brandon--Souris"," 6","Virden",109,8,6,47,0,170,324
46001,"Brandon--Souris/Brandon--Souris"," 7","Virden",102,6,4,33,0,145,274
46001,"Brandon--Souris/Brandon--Souris"," 8A","Virden",103,17,4,34,0,158,299
46001,"Brandon--Souris/Brandon--Souris"," 8B","Virden",106,7,6,31,0,150,285
46001,"Brandon--Souris/Brandon--Souris"," 8C","Virden",112,8,4,37,0,161,273
46001,"Brandon--Souris/Brandon--Souris"," 9","Scarth",87,4,2,21,0,114,212
46001,"Brandon--Souris/Brandon--Souris"," 10","Kola",163,5,1,11,0,180,272
46001,"Brandon--Souris/Brandon--Souris"," 11","Sinclair",77,5,2,26,0,110,302
46001,"Brandon--Souris/Brandon--Souris"," 12","Pipestone",131,3,6,54,1,195,336
46001,"Brandon--Souris/Brandon--Souris"," 13","Reston",156,10,12,64,1,243,343
46001,"Brandon--Souris/Brandon--Souris"," 14","Oak Lake",121,10,10,55,0,196,290
46001,"Brandon--Souris/Brandon--Souris"," 15","Oak Lake Beach",192,18,9,57,0,276,410
46001,"Brandon--Souris/Brandon--Souris"," 16","Oak Lake Beach",18,3,1,11,0,33,162
46001,"Brandon--Souris/Brandon--Souris"," 17","Alexander",151,13,16,108,0,288,467
46001,"Brandon--Souris/Brandon--Souris"," 18","Kemnay",137,8,14,85,1,245,381
46001,"Brandon--Souris/Brandon--Souris"," 19","Brandon",106,13,17,108,0,244,469
46001,"Brandon--Souris/Brandon--Souris"," 20A","Brandon",92,6,7,82,0,187,301
46001,"Brandon--Souris/Brandon--Souris"," 20B","Brandon",68,5,7,64,1,145,253
46001,"Brandon--Souris/Brandon--Souris"," 21A","Brandon",121,3,4,76,0,204,290
46001,"Brandon--Souris/Brandon--Souris"," 21B","Brandon",102,5,11,75,0,193,253
46001,"Brandon--Souris/Brandon--Souris"," 22","Brandon",92,12,12,71,0,187,320
46001,"Brandon--Souris/Brandon--Souris"," 23","Brandon",90,9,16,90,1,206,335
46001,"Brandon--Souris/Brandon--Souris"," 24","Brandon",72,9,22,93,0,196,401
46001,"Brandon--Souris/Brandon--Souris"," 25","Brandon",131,12,13,131,0,287,522
46001,"Brandon--Souris/Brandon--Souris"," 26","Brandon",95,19,13,116,0,243,383
46001,"Brandon--Souris/Brandon--Souris"," 27","Brandon",83,6,10,119,1,219,423
46001,"Brandon--Souris/Brandon--Souris"," 28","Chater",110,10,9,92,0,221,436
46001,"Brandon--Souris/Brandon--Souris"," 29","Brandon",117,17,20,119,1,274,464
46001,"Brandon--Souris/Brandon--Souris"," 30","Brandon",71,20,21,113,1,226,439
46001,"Brandon--Souris/Brandon--Souris"," 31","Brandon",57,14,45,106,2,224,388
46001,"Brandon--Souris/Brandon--Souris"," 32","Brandon",47,18,25,101,1,192,382
46001,"Brandon--Souris/Brandon--Souris"," 33","Brandon",129,8,6,123,0,266,449
46001,"Brandon--Souris/Brandon--Souris"," 34","Brandon",110,23,14,146,1,294,488
46001,"Brandon--Souris/Brandon--Souris"," 35","Brandon",102,11,23,127,2,265,472
46001,"Brandon--Souris/Brandon--Souris"," 36A","Brandon",56,8,19,82,1,166,314
46001,"Brandon--Souris/Brandon--Souris"," 36B","Brandon",62,7,19,76,1,165,281
46001,"Brandon--Souris/Brandon--Souris"," 37","Brandon",106,19,18,143,1,287,436
46001,"Brandon--Souris/Brandon--Souris"," 38","Brandon",63,6,27,126,0,222,415
46001,"Brandon--Souris/Brandon--Souris"," 39","Brandon",105,20,16,113,0,254,373
46001,"Brandon--Souris/Brandon--Souris"," 40","Brandon",98,13,10,104,0,225,369
46001,"Brandon--Souris/Brandon--Souris"," 41","Brandon",82,11,9,95,0,197,341
46001,"Brandon--Souris/Brandon--Souris"," 42","Brandon",66,12,14,100,2,194,395
46001,"Brandon--Souris/Brandon--Souris"," 43","Brandon",61,6,14,73,0,154,264
46001,"Brandon--Souris/Brandon--Souris"," 44A","Brandon",79,17,11,83,0,190,293
46001,"Brandon--Souris/Brandon--Souris"," 44B","Brandon",69,7,5,68,0,149,249
46001,"Brandon--Souris/Brandon--Souris"," 45","Brandon",108,8,13,93,1,223,328
46001,"Brandon--Souris/Brandon--Souris"," 46","Brandon",102,13,9,90,1,215,350
46001,"Brandon--Souris/Brandon--Souris"," 47","Brandon",112,9,5,88,0,214,337
46001,"Brandon--Souris/Brandon--Souris"," 48","Cornwallis",155,9,13,114,1,292,435
46001,"Brandon--Souris/Brandon--Souris"," 49","Brandon",116,16,16,117,0,265,515
46001,"Brandon--Souris/Brandon--Souris"," 50","Brandon",94,10,12,92,0,208,410
46001,"Brandon--Souris/Brandon--Souris"," 51","Brandon",89,8,11,115,0,223,384
46001,"Brandon--Souris/Brandon--Souris"," 52","Brandon",115,9,14,120,1,259,386
46001,"Brandon--Souris/Brandon--Souris"," 53","Brandon",117,20,13,116,0,266,439
46001,"Brandon--Souris/Brandon--Souris"," 54A","Brandon",122,4,4,63,0,193,307
46001,"Brandon--Souris/Brandon--Souris"," 54B","Brandon",96,5,2,29,0,132,253
46001,"Brandon--Souris/Brandon--Souris"," 55","Brandon",64,6,21,100,2,193,396
46001,"Brandon--Souris/Brandon--Souris"," 56","Brandon",99,20,16,123,1,259,452
46001,"Brandon--Souris/Brandon--Souris"," 57","Brandon",91,17,26,80,0,214,449
46001,"Brandon--Souris/Brandon--Souris"," 58","Brandon",66,22,23,140,1,252,497
46001,"Brandon--Souris/Brandon--Souris"," 59","Brandon",56,14,24,105,0,199,539
46001,"Brandon--Souris/Brandon--Souris"," 60","Brandon",99,17,30,110,0,256,495
46001,"Brandon--Souris/Brandon--Souris"," 61","Brandon",69,17,16,90,2,194,403
46001,"Brandon--Souris/Brandon--Souris"," 62","Brandon",117,9,25,150,1,302,522
46001,"Brandon--Souris/Brandon--Souris"," 63","Brandon",123,14,27,95,0,259,439
46001,"Brandon--Souris/Brandon--Souris"," 64","Brandon",68,9,10,75,0,162,373
