Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Burger,Bernadette Clement,Elaine Kennedy,Guy Lauzon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 1","Beauchamps",11,104,4,67,0,186,373
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 2","Glen Nevis",8,109,3,95,1,216,374
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 3","Dubeau",11,73,3,104,2,193,369
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 4","Glen Norman",20,130,7,106,0,263,506
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 5","Glen Roy",11,94,4,87,0,196,399
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 6","Glen Roy",10,85,9,100,1,205,410
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 7","St. Raphaels",7,73,5,80,0,165,316
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 8","St. Raphaels",4,69,4,70,1,148,264
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 9","Williamstown",14,83,8,118,0,223,411
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 10","Summerstown Station",19,65,7,92,0,183,343
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 11","Lancaster",6,81,2,65,0,154,362
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 12","South Lancaster",10,63,10,77,2,162,251
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 13","Heritage",15,87,7,93,0,202,444
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 14","Lancaster",18,50,1,70,0,139,336
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 15","Curry Hill",13,64,2,63,1,143,306
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 16","Wood Creek",27,79,2,53,0,161,330
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 17","Creg Quay",17,98,3,85,1,204,360
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 18","Summerstown",9,68,2,87,0,166,336
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 19","Paragon",9,63,9,82,1,164,265
