Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Ferguson,Mylène Freeman,Jocelyn Gifford,Simon Marcil,Karl Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 1","Sainte-Anne-des-Plaines",28,74,5,100,61,7,275,505
24048,"Mirabel/Mirabel"," 2","Sainte-Anne-des-Plaines",37,52,7,101,76,7,280,502
24048,"Mirabel/Mirabel"," 3","Sainte-Anne-des-Plaines",13,62,4,97,54,10,240,425
24048,"Mirabel/Mirabel"," 4","Sainte-Anne-des-Plaines",13,57,6,89,56,3,224,381
24048,"Mirabel/Mirabel"," 5","Sainte-Anne-des-Plaines",21,49,2,71,37,5,185,351
24048,"Mirabel/Mirabel"," 6","Sainte-Anne-des-Plaines",21,45,4,89,42,6,207,388
24048,"Mirabel/Mirabel"," 7","Sainte-Anne-des-Plaines",16,51,5,97,61,6,236,417
24048,"Mirabel/Mirabel"," 8","Sainte-Anne-des-Plaines",24,51,3,74,44,3,199,382
24048,"Mirabel/Mirabel"," 9","Sainte-Anne-des-Plaines",5,20,1,58,40,0,124,287
24048,"Mirabel/Mirabel"," 10","Sainte-Anne-des-Plaines",18,46,7,81,44,3,199,396
24048,"Mirabel/Mirabel"," 11","Sainte-Anne-des-Plaines",19,48,4,83,51,4,209,443
24048,"Mirabel/Mirabel"," 12","Sainte-Anne-des-Plaines",37,55,5,76,44,4,221,511
24048,"Mirabel/Mirabel"," 13","Sainte-Anne-des-Plaines",20,51,13,62,69,5,220,424
24048,"Mirabel/Mirabel"," 14","Sainte-Anne-des-Plaines",32,61,4,95,51,6,249,384
24048,"Mirabel/Mirabel"," 15","Sainte-Anne-des-Plaines",43,75,4,80,54,8,264,440
24048,"Mirabel/Mirabel"," 16","Sainte-Anne-des-Plaines",25,74,6,98,68,3,274,427
24048,"Mirabel/Mirabel"," 17","Sainte-Anne-des-Plaines",27,54,3,83,40,6,213,433
24048,"Mirabel/Mirabel"," 18","Sainte-Anne-des-Plaines",12,59,6,85,65,1,228,382
24048,"Mirabel/Mirabel"," 19","Sainte-Anne-des-Plaines",13,28,7,62,45,5,160,358
24048,"Mirabel/Mirabel"," 20A","Sainte-Anne-des-Plaines",32,66,8,100,60,9,275,549
24048,"Mirabel/Mirabel"," 20B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,113
24048,"Mirabel/Mirabel"," 21","Sainte-Anne-des-Plaines",19,50,3,65,43,8,188,391
24048,"Mirabel/Mirabel"," 22","Sainte-Anne-des-Plaines",26,61,2,72,51,4,216,394
24048,"Mirabel/Mirabel"," 23","Sainte-Anne-des-Plaines",14,25,1,72,40,6,158,314
24048,"Mirabel/Mirabel"," 24","Sainte-Anne-des-Plaines",9,29,2,83,41,7,171,386
24048,"Mirabel/Mirabel"," 25","Sainte-Anne-des-Plaines",16,46,8,66,53,7,196,360
24048,"Mirabel/Mirabel"," 26","Sainte-Anne-des-Plaines",16,47,5,70,29,2,169,308
24048,"Mirabel/Mirabel"," 27","Mirabel",28,60,4,80,52,6,230,450
24048,"Mirabel/Mirabel"," 28","Mirabel",29,72,4,79,36,3,223,429
24048,"Mirabel/Mirabel"," 29","Mirabel",18,58,1,59,53,6,195,357
24048,"Mirabel/Mirabel"," 30","Mirabel",25,98,3,67,71,2,266,445
24048,"Mirabel/Mirabel"," 31","Mirabel",23,70,1,78,64,2,238,457
24048,"Mirabel/Mirabel"," 32","Mirabel",21,82,6,84,75,6,274,492
24048,"Mirabel/Mirabel"," 33","Mirabel",27,117,8,79,75,5,311,489
24048,"Mirabel/Mirabel"," 34","Mirabel",13,52,6,55,35,2,163,375
24048,"Mirabel/Mirabel"," 35","Mirabel",21,76,4,94,88,15,298,565
24048,"Mirabel/Mirabel"," 36","Mirabel",29,69,7,78,67,5,255,449
24048,"Mirabel/Mirabel"," 37","Mirabel",15,50,5,62,49,3,184,385
24048,"Mirabel/Mirabel"," 38","Mirabel",16,55,6,69,48,5,199,378
24048,"Mirabel/Mirabel"," 39","Mirabel",19,62,9,92,60,3,245,450
24048,"Mirabel/Mirabel"," 40","Mirabel",20,105,10,87,48,1,271,463
24048,"Mirabel/Mirabel"," 41","Mirabel",14,60,6,72,40,3,195,444
24048,"Mirabel/Mirabel"," 42","Mirabel",16,72,6,74,59,2,229,431
24048,"Mirabel/Mirabel"," 43","Mirabel",39,69,5,52,64,4,233,410
24048,"Mirabel/Mirabel"," 44","Mirabel",33,95,5,86,115,10,344,612
24048,"Mirabel/Mirabel"," 45","Mirabel",11,63,11,60,55,8,208,457
24048,"Mirabel/Mirabel"," 46","Mirabel",19,71,3,63,70,5,231,443
24048,"Mirabel/Mirabel"," 47","Mirabel",31,50,4,54,47,0,186,379
24048,"Mirabel/Mirabel"," 48","Mirabel",12,75,6,89,46,8,236,407
24048,"Mirabel/Mirabel"," 49","Mirabel",12,52,1,55,60,6,186,358
24048,"Mirabel/Mirabel"," 50","Mirabel",18,60,9,61,51,5,204,380
24048,"Mirabel/Mirabel"," 51","Mirabel",19,55,7,105,68,5,259,416
24048,"Mirabel/Mirabel"," 52","Mirabel",15,59,5,79,52,3,213,450
24048,"Mirabel/Mirabel"," 53","Mirabel",5,12,0,16,21,2,56,108
24048,"Mirabel/Mirabel"," 54","Mirabel",15,41,4,57,41,5,163,364
24048,"Mirabel/Mirabel"," 55","Mirabel",42,55,3,72,46,2,220,393
24048,"Mirabel/Mirabel"," 56","Mirabel",20,68,2,80,68,2,240,415
24048,"Mirabel/Mirabel"," 57","Mirabel",38,108,6,76,94,5,327,598
24048,"Mirabel/Mirabel"," 58","Mirabel",20,60,6,69,50,1,206,429
24048,"Mirabel/Mirabel"," 59","Mirabel",11,47,4,50,43,7,162,399
24048,"Mirabel/Mirabel"," 60","Mirabel",16,65,3,62,41,1,188,348
24048,"Mirabel/Mirabel"," 61","Mirabel",21,60,3,89,58,5,236,455
24048,"Mirabel/Mirabel"," 62","Mirabel",14,73,11,91,52,8,249,424
24048,"Mirabel/Mirabel"," 63","Mirabel",25,86,10,105,80,8,314,689
24048,"Mirabel/Mirabel"," 64","Mirabel",29,72,5,90,52,2,250,470
24048,"Mirabel/Mirabel"," 65","Mirabel",20,94,4,77,64,8,267,508
24048,"Mirabel/Mirabel"," 66","Mirabel",16,60,4,51,41,4,176,351
24048,"Mirabel/Mirabel"," 67","Mirabel",15,43,8,70,43,7,186,355
24048,"Mirabel/Mirabel"," 68","Mirabel",11,74,9,61,56,0,211,377
24048,"Mirabel/Mirabel"," 69","Mirabel",20,74,7,83,62,6,252,444
24048,"Mirabel/Mirabel"," 70","Mirabel",23,74,4,82,76,8,267,429
24048,"Mirabel/Mirabel"," 71","Saint-Colomban",30,65,11,82,67,7,262,453
24048,"Mirabel/Mirabel"," 72","Saint-Colomban",12,52,5,54,49,3,175,398
24048,"Mirabel/Mirabel"," 73","Saint-Colomban",22,50,8,81,65,5,231,391
24048,"Mirabel/Mirabel"," 74","Saint-Colomban",39,95,12,111,76,7,340,565
24048,"Mirabel/Mirabel"," 75","Saint-Colomban",23,88,4,128,77,4,324,581
24048,"Mirabel/Mirabel"," 76","Saint-Colomban",19,77,5,66,61,1,229,426
24048,"Mirabel/Mirabel"," 77","Saint-Colomban",19,95,3,114,98,11,340,588
24048,"Mirabel/Mirabel"," 78","Saint-Colomban",45,92,6,92,83,5,323,559
24048,"Mirabel/Mirabel"," 79","Saint-Colomban",15,74,12,88,59,7,255,457
24048,"Mirabel/Mirabel"," 80","Saint-Colomban",47,71,2,64,68,0,252,390
24048,"Mirabel/Mirabel"," 81","Saint-Colomban",29,90,1,92,68,7,287,598
24048,"Mirabel/Mirabel"," 82","Saint-Colomban",24,70,4,73,56,1,228,428
24048,"Mirabel/Mirabel"," 83","Saint-Colomban",18,47,4,77,40,4,190,357
24048,"Mirabel/Mirabel"," 84","Saint-Colomban",16,53,4,79,50,5,207,437
24048,"Mirabel/Mirabel"," 85","Saint-Colomban",25,68,7,70,71,5,246,469
24048,"Mirabel/Mirabel"," 86","Saint-Colomban",20,84,9,82,81,9,285,545
24048,"Mirabel/Mirabel"," 87","Saint-Colomban",11,28,8,57,39,6,149,309
24048,"Mirabel/Mirabel"," 88","Saint-Colomban",18,55,1,64,46,2,186,365
24048,"Mirabel/Mirabel"," 89","Saint-Colomban",9,53,1,75,42,2,182,370
24048,"Mirabel/Mirabel"," 90","Saint-Colomban",17,68,7,75,69,6,242,531
24048,"Mirabel/Mirabel"," 91","Saint-Colomban",22,74,17,103,50,5,271,532
24048,"Mirabel/Mirabel"," 92","Saint-Colomban",28,85,14,100,71,8,306,565
24048,"Mirabel/Mirabel"," 93","Saint-Colomban",26,58,4,82,65,5,240,470
24048,"Mirabel/Mirabel"," 94","Saint-Colomban",20,59,4,80,43,3,209,388
24048,"Mirabel/Mirabel"," 95","Saint-Colomban",23,41,7,74,33,4,182,354
24048,"Mirabel/Mirabel"," 96","Mirabel",17,43,2,50,31,0,143,240
24048,"Mirabel/Mirabel"," 97","Mirabel",17,73,0,69,35,0,194,298
24048,"Mirabel/Mirabel"," 98","Mirabel",17,110,6,87,60,3,283,403
24048,"Mirabel/Mirabel"," 99","Mirabel",22,121,7,62,67,6,285,440
24048,"Mirabel/Mirabel"," 100A","Mirabel",29,58,8,92,60,3,250,439
24048,"Mirabel/Mirabel"," 100B","Mirabel",31,87,6,55,45,2,226,345
24048,"Mirabel/Mirabel"," 101","Mirabel",Merged with No./Fusionné avec le n°100B,,,,,,,76
24048,"Mirabel/Mirabel"," 101-1","Senneville",24,71,5,68,64,3,235,430
