Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irma DeVries,Roger Fuhr,Stephen McCotter,John Nater,Ethan Rabidoux,Nicole Ramsdale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 1","Mount Forest",3,0,54,72,14,4,2,149,297
35083,"Perth--Wellington/Perth--Wellington"," 2","Mount Forest",2,0,70,48,15,7,0,142,287
35083,"Perth--Wellington/Perth--Wellington"," 3","Mount Forest",5,1,44,90,15,8,2,165,363
35083,"Perth--Wellington/Perth--Wellington"," 4","Mount Forest",2,3,65,52,30,11,2,165,405
35083,"Perth--Wellington/Perth--Wellington"," 5","Mount Forest",4,0,88,107,30,10,0,239,431
35083,"Perth--Wellington/Perth--Wellington"," 6","Mount Forest",4,1,96,94,15,5,0,215,426
35083,"Perth--Wellington/Perth--Wellington"," 7","Mount Forest",4,1,55,91,27,11,2,191,390
35083,"Perth--Wellington/Perth--Wellington"," 8","Mount Forest",2,0,43,34,16,5,0,100,238
35083,"Perth--Wellington/Perth--Wellington"," 9","Mount Forest",1,1,43,95,10,5,0,155,285
35083,"Perth--Wellington/Perth--Wellington"," 10","Wellington North",3,0,37,55,7,0,2,104,252
35083,"Perth--Wellington/Perth--Wellington"," 11","Wellington North",4,1,75,61,9,6,0,156,395
35083,"Perth--Wellington/Perth--Wellington"," 12","Wellington North",3,0,39,62,15,1,0,120,309
35083,"Perth--Wellington/Perth--Wellington"," 13","Mount Forest",1,0,63,59,13,3,0,139,245
35083,"Perth--Wellington/Perth--Wellington"," 14","Mount Forest",3,1,55,66,16,6,0,147,287
35083,"Perth--Wellington/Perth--Wellington"," 15","Wellington North",4,0,43,61,19,5,1,133,257
35083,"Perth--Wellington/Perth--Wellington"," 16","Wellington North",5,0,44,102,15,5,0,171,354
35083,"Perth--Wellington/Perth--Wellington"," 17","Wellington North",3,0,30,102,12,4,1,152,337
35083,"Perth--Wellington/Perth--Wellington"," 18","Wellington North",6,0,57,113,34,12,0,222,403
35083,"Perth--Wellington/Perth--Wellington"," 19","Wellington North",4,0,57,109,21,3,1,195,356
35083,"Perth--Wellington/Perth--Wellington"," 20","Wellington North",4,1,49,92,14,4,3,167,351
35083,"Perth--Wellington/Perth--Wellington"," 21","Mapleton",4,0,28,86,16,4,0,138,269
35083,"Perth--Wellington/Perth--Wellington"," 22","Mapleton",2,2,25,73,24,2,0,128,313
35083,"Perth--Wellington/Perth--Wellington"," 23","Arthur",1,0,45,93,33,12,3,187,342
