Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,G. Daniel Caron,Gérard Deltell,Youri Rousseau,Michel Savard,Ronald Sirard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 1","Québec",26,80,34,3,20,1,164,371
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 2","Québec",58,139,69,5,34,5,310,633
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 3","Québec",18,82,31,1,18,1,151,309
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 4","Québec",25,67,38,0,19,3,152,301
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5","Québec",46,67,43,3,32,1,192,325
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6","Québec",36,66,58,9,24,6,199,399
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7","Québec",18,96,67,2,44,0,227,396
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8","Québec",46,78,39,3,18,2,186,377
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 9","Québec",25,54,45,4,19,0,147,324
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 10","Québec",27,94,46,7,38,0,212,410
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 11","Québec",29,98,30,1,29,2,189,364
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 12","Québec",36,98,33,5,25,4,201,399
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 13A","Québec",13,62,18,2,24,2,121,247
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 13B","Mobile poll/Bureau itinérant",19,50,69,2,12,2,154,202
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 14","Québec",36,96,35,6,31,1,205,406
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 15","Québec",28,84,30,2,34,5,183,385
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 16","Québec",45,83,51,8,37,4,228,408
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 17","Québec",34,122,44,3,17,2,222,380
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 18","Québec",29,191,78,6,26,4,334,536
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 19","Québec",55,142,72,3,40,4,316,789
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 20","Québec",24,87,46,5,27,4,193,489
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 21","Québec",21,75,20,4,10,1,131,333
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 22","Québec",43,84,47,4,26,2,206,429
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 23","Québec",23,62,32,4,25,0,146,302
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 24","Québec",20,74,37,3,9,4,147,322
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 25","Wendake",28,80,68,2,6,2,186,377
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 26","Wendake",23,85,71,4,6,2,191,467
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 27","Wendake",15,48,41,2,24,1,131,368
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 28","Québec",36,112,34,6,25,0,213,477
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 29","Québec",26,115,26,7,17,1,192,398
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 30","Québec",46,123,30,2,29,5,235,450
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 31","Québec",47,70,36,4,18,1,176,345
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 32","Québec",39,148,67,6,32,2,294,602
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 33","Québec",20,63,48,6,16,3,156,375
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 34","Québec",26,78,41,5,35,3,188,412
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35","Québec",28,62,30,6,28,0,154,401
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 36","Québec",17,79,16,2,14,1,129,271
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 37","Québec",17,64,21,2,10,3,117,443
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 38","Québec",20,71,32,3,9,3,138,336
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 39","Québec",30,67,36,9,19,3,164,425
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 40","Québec",11,23,24,2,6,0,66,309
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41","Québec",37,64,32,4,23,5,165,398
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 42","Wendake",23,58,48,5,15,2,151,354
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 43","Wendake",25,50,65,1,12,1,154,481
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 44","Québec",23,71,18,4,17,2,135,320
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 45","Québec",27,77,34,1,43,6,188,447
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 46","Québec",58,88,54,4,24,2,230,467
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 47","Québec",36,101,40,3,20,3,203,485
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 48","Québec",13,55,27,2,11,1,109,353
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 49","Québec",44,91,39,3,22,2,201,382
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 50","Québec",27,85,36,5,29,3,185,408
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 51","Québec",54,141,57,13,35,6,306,534
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 52","Québec",40,112,51,5,23,0,231,361
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 53","Québec",24,154,49,3,13,6,249,414
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 54","Québec",41,128,63,4,18,2,256,425
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 55","Québec",38,107,76,2,17,2,242,526
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 56","Québec",24,73,48,2,13,1,161,386
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 57","Québec",37,82,28,3,18,2,170,323
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 58","Québec",42,112,46,4,12,2,218,472
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 59","Québec",43,119,101,5,47,5,320,743
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 60","Québec",30,98,48,1,26,0,203,458
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 61","Québec",55,89,50,4,21,2,221,440
