Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Royal Galipeau,Andrew Leslie,Raphaël Morin,Nancy Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"Orléans/Orléans"," 1","Cumberland",98,151,3,15,1,268,509
35076,"Orléans/Orléans"," 2","Cumberland",37,98,3,13,1,152,328
35076,"Orléans/Orléans"," 3","Cumberland",77,153,3,27,0,260,437
35076,"Orléans/Orléans"," 4","Cumberland",49,123,0,18,1,191,329
35076,"Orléans/Orléans"," 5","Cumberland",91,147,9,33,1,281,507
35076,"Orléans/Orléans"," 6","Cumberland",117,165,11,24,1,318,522
35076,"Orléans/Orléans"," 7","Cumberland",90,150,12,18,0,270,497
35076,"Orléans/Orléans"," 8","Cumberland",88,158,7,19,1,273,527
35076,"Orléans/Orléans"," 9","Cumberland",74,153,4,16,0,247,440
35076,"Orléans/Orléans"," 10","Cumberland",105,163,5,22,0,295,532
35076,"Orléans/Orléans"," 11","Cumberland",74,207,5,12,0,298,563
35076,"Orléans/Orléans"," 12","Cumberland",62,125,5,16,0,208,414
35076,"Orléans/Orléans"," 13","Cumberland",60,126,4,24,1,215,414
35076,"Orléans/Orléans"," 14","Cumberland",84,211,1,26,2,324,581
35076,"Orléans/Orléans"," 15","Cumberland",89,177,10,24,2,302,579
35076,"Orléans/Orléans"," 16","Cumberland",76,144,3,33,1,257,401
35076,"Orléans/Orléans"," 17","Cumberland",73,153,5,21,0,252,467
35076,"Orléans/Orléans"," 18","Cumberland",56,141,2,18,0,217,406
35076,"Orléans/Orléans"," 19","Cumberland",49,106,5,14,0,174,309
35076,"Orléans/Orléans"," 20","Cumberland",73,151,4,17,0,245,438
35076,"Orléans/Orléans"," 21","Cumberland",75,167,3,10,0,255,449
35076,"Orléans/Orléans"," 22","Cumberland",59,128,2,14,1,204,391
35076,"Orléans/Orléans"," 23","Cumberland",76,141,3,10,0,230,445
35076,"Orléans/Orléans"," 24","Cumberland",79,169,2,24,1,275,461
35076,"Orléans/Orléans"," 25","Cumberland",51,118,7,16,1,193,363
35076,"Orléans/Orléans"," 26","Cumberland",64,104,1,13,0,182,291
35076,"Orléans/Orléans"," 27","Cumberland",70,144,3,10,0,227,401
35076,"Orléans/Orléans"," 28","Cumberland",97,155,4,27,1,284,528
35076,"Orléans/Orléans"," 29","Cumberland",60,120,6,24,0,210,379
35076,"Orléans/Orléans"," 30","Cumberland",62,159,5,16,0,242,442
35076,"Orléans/Orléans"," 31","Cumberland",48,108,3,18,0,177,361
35076,"Orléans/Orléans"," 32","Cumberland",79,164,7,23,3,276,469
35076,"Orléans/Orléans"," 33","Cumberland",65,91,1,15,1,173,314
35076,"Orléans/Orléans"," 34","Cumberland",62,119,0,20,0,201,365
35076,"Orléans/Orléans"," 35","Cumberland",71,178,6,22,3,280,472
35076,"Orléans/Orléans"," 36","Cumberland",64,135,3,17,1,220,368
35076,"Orléans/Orléans"," 37","Cumberland",75,158,2,21,1,257,441
35076,"Orléans/Orléans"," 38","Cumberland",62,165,1,15,0,243,425
35076,"Orléans/Orléans"," 39","Cumberland",47,132,2,24,0,205,378
35076,"Orléans/Orléans"," 40","Cumberland",79,176,2,18,2,277,454
35076,"Orléans/Orléans"," 41","Cumberland",90,138,4,14,0,246,438
35076,"Orléans/Orléans"," 42","Cumberland",96,163,4,33,1,297,540
35076,"Orléans/Orléans"," 43","Cumberland",50,138,0,14,4,206,307
35076,"Orléans/Orléans"," 44","Cumberland",88,171,4,16,2,281,461
35076,"Orléans/Orléans"," 45","Cumberland",55,106,4,16,0,181,392
35076,"Orléans/Orléans"," 46","Cumberland",111,128,6,18,1,264,431
35076,"Orléans/Orléans"," 47","Cumberland",56,74,5,10,2,147,290
35076,"Orléans/Orléans"," 48","Cumberland",73,120,6,17,0,216,435
35076,"Orléans/Orléans"," 49","Cumberland",44,77,3,12,1,137,294
35076,"Orléans/Orléans"," 50","Cumberland",38,95,3,19,2,157,291
35076,"Orléans/Orléans"," 51","Cumberland",71,145,3,20,2,241,514
35076,"Orléans/Orléans"," 52","Cumberland",74,144,5,30,2,255,412
35076,"Orléans/Orléans"," 53","Cumberland",81,141,5,10,2,239,437
35076,"Orléans/Orléans"," 54","Cumberland",59,146,5,26,0,236,387
35076,"Orléans/Orléans"," 55","Cumberland",64,151,5,19,11,250,459
35076,"Orléans/Orléans"," 56","Cumberland",58,114,3,20,0,195,306
35076,"Orléans/Orléans"," 57","Cumberland",60,114,3,15,0,192,303
35076,"Orléans/Orléans"," 58","Cumberland",69,154,8,26,1,258,499
35076,"Orléans/Orléans"," 59","Cumberland",67,145,5,12,0,229,387
35076,"Orléans/Orléans"," 60","Cumberland",55,166,14,24,0,259,399
35076,"Orléans/Orléans"," 61","Cumberland",72,135,2,23,1,233,415
35076,"Orléans/Orléans"," 62","Cumberland",73,162,5,22,0,262,428
35076,"Orléans/Orléans"," 63","Cumberland",65,91,1,8,0,165,286
35076,"Orléans/Orléans"," 64","Cumberland",57,187,6,32,0,282,499
35076,"Orléans/Orléans"," 65","Cumberland",99,163,5,22,1,290,494
35076,"Orléans/Orléans"," 66","Cumberland",65,124,3,25,1,218,420
35076,"Orléans/Orléans"," 67","Cumberland",42,99,1,25,2,169,296
35076,"Orléans/Orléans"," 68","Cumberland",60,83,5,17,1,166,289
35076,"Orléans/Orléans"," 69","Cumberland",57,145,6,19,0,227,400
35076,"Orléans/Orléans"," 70","Cumberland",76,142,7,27,1,253,463
35076,"Orléans/Orléans"," 71","Cumberland",79,119,5,21,1,225,384
35076,"Orléans/Orléans"," 72","Cumberland",68,114,5,22,0,209,384
35076,"Orléans/Orléans"," 73","Cumberland",63,94,4,21,1,183,386
35076,"Orléans/Orléans"," 74","Cumberland",68,117,1,17,1,204,374
35076,"Orléans/Orléans"," 75","Cumberland",89,125,9,20,3,246,444
35076,"Orléans/Orléans"," 76","Cumberland",56,145,6,29,0,236,454
35076,"Orléans/Orléans"," 77","Cumberland",73,128,8,24,2,235,452
35076,"Orléans/Orléans"," 78","Cumberland",51,109,2,7,0,169,311
35076,"Orléans/Orléans"," 79","Cumberland",62,122,1,9,0,194,290
35076,"Orléans/Orléans"," 80","Cumberland",103,150,9,25,1,288,435
35076,"Orléans/Orléans"," 81","Cumberland",86,127,9,20,2,244,400
35076,"Orléans/Orléans"," 82","Cumberland",61,123,3,30,2,219,401
35076,"Orléans/Orléans"," 83","Cumberland",85,86,4,13,2,190,369
35076,"Orléans/Orléans"," 84","Cumberland",113,147,10,22,1,293,503
35076,"Orléans/Orléans"," 85","Cumberland",55,114,4,14,0,187,309
35076,"Orléans/Orléans"," 86","Cumberland",92,92,7,14,1,206,285
35076,"Orléans/Orléans"," 87","Gloucester",68,165,7,21,2,263,480
35076,"Orléans/Orléans"," 88","Gloucester",37,140,1,14,0,192,347
35076,"Orléans/Orléans"," 89","Gloucester",81,133,7,15,1,237,502
35076,"Orléans/Orléans"," 90","Gloucester",68,134,4,16,0,222,393
35076,"Orléans/Orléans"," 91A","Gloucester",63,128,9,13,0,213,372
35076,"Orléans/Orléans"," 91B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,16
35076,"Orléans/Orléans"," 91C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,15
35076,"Orléans/Orléans"," 91D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,42
35076,"Orléans/Orléans"," 92","Gloucester",74,106,6,16,0,202,314
35076,"Orléans/Orléans"," 93","Gloucester",52,97,5,24,0,178,324
35076,"Orléans/Orléans"," 94","Gloucester",100,158,6,21,1,286,439
35076,"Orléans/Orléans"," 95","Gloucester",99,163,5,21,0,288,471
35076,"Orléans/Orléans"," 96","Gloucester",49,132,6,13,1,201,331
35076,"Orléans/Orléans"," 97","Cumberland",80,128,5,16,0,229,398
35076,"Orléans/Orléans"," 98","Gloucester",52,127,2,28,0,209,296
35076,"Orléans/Orléans"," 99","Gloucester",78,175,4,20,0,277,449
35076,"Orléans/Orléans"," 100","Gloucester",49,111,2,20,0,182,419
35076,"Orléans/Orléans"," 101A","Gloucester",61,95,3,21,0,180,322
35076,"Orléans/Orléans"," 101B","Mobile poll/Bureau itinérant",30,92,0,2,0,124,26
