Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karthika Gobinath,Kamal Khera,Adaoma Patterson,Ninder Thind,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 74","Brampton",3,72,21,37,0,133,308
35012,"Brampton West/Brampton-Ouest"," 75","Brampton",6,94,24,60,2,186,398
35012,"Brampton West/Brampton-Ouest"," 76","Brampton",2,111,11,48,2,174,382
35012,"Brampton West/Brampton-Ouest"," 77","Brampton",3,114,23,50,0,190,423
35012,"Brampton West/Brampton-Ouest"," 78","Brampton",3,57,24,72,3,159,330
35012,"Brampton West/Brampton-Ouest"," 79","Brampton",4,77,37,74,0,192,358
35012,"Brampton West/Brampton-Ouest"," 80","Brampton",4,80,18,64,1,167,297
35012,"Brampton West/Brampton-Ouest"," 81","Brampton",11,88,23,69,1,192,408
35012,"Brampton West/Brampton-Ouest"," 82","Brampton",3,67,15,61,0,146,319
35012,"Brampton West/Brampton-Ouest"," 83","Brampton",2,103,19,99,1,224,465
35012,"Brampton West/Brampton-Ouest"," 84","Brampton",6,112,35,79,0,232,439
35012,"Brampton West/Brampton-Ouest"," 85","Brampton",2,94,17,68,0,181,415
35012,"Brampton West/Brampton-Ouest"," 86","Brampton",2,115,22,79,1,219,484
35012,"Brampton West/Brampton-Ouest"," 87","Brampton",4,126,19,74,0,223,451
35012,"Brampton West/Brampton-Ouest"," 88","Brampton",8,141,33,64,0,246,519
35012,"Brampton West/Brampton-Ouest"," 89","Brampton",4,116,23,53,0,196,387
35012,"Brampton West/Brampton-Ouest"," 90","Brampton",3,137,37,56,1,234,472
35012,"Brampton West/Brampton-Ouest"," 91","Brampton",3,115,29,42,2,191,455
35012,"Brampton West/Brampton-Ouest"," 92","Brampton",2,97,24,46,2,171,496
35012,"Brampton West/Brampton-Ouest"," 93","Brampton",4,129,32,52,2,219,553
35012,"Brampton West/Brampton-Ouest"," 94A","Brampton",1,114,21,40,0,176,436
35012,"Brampton West/Brampton-Ouest"," 94B","Brampton",1,92,22,59,5,179,481
35012,"Brampton West/Brampton-Ouest"," 94C","Brampton",4,154,19,50,1,228,499
35012,"Brampton West/Brampton-Ouest"," 95","Brampton",4,192,35,90,3,324,650
35012,"Brampton West/Brampton-Ouest"," 96A","Brampton",1,131,31,56,1,220,469
35012,"Brampton West/Brampton-Ouest"," 96B","Brampton",4,178,43,56,1,282,553
35012,"Brampton West/Brampton-Ouest"," 96C","Brampton",6,152,25,61,0,244,522
35012,"Brampton West/Brampton-Ouest"," 97","Brampton",2,118,26,57,0,203,454
35012,"Brampton West/Brampton-Ouest"," 98","Brampton",0,110,14,63,1,188,467
35012,"Brampton West/Brampton-Ouest"," 99","Brampton",3,178,21,120,0,322,628
35012,"Brampton West/Brampton-Ouest"," 100","Brampton",5,160,17,101,1,284,498
35012,"Brampton West/Brampton-Ouest"," 101","Brampton",1,165,32,75,0,273,550
35012,"Brampton West/Brampton-Ouest"," 102","Brampton",1,163,26,94,0,284,492
35012,"Brampton West/Brampton-Ouest"," 103","Brampton",2,163,21,92,0,278,538
35012,"Brampton West/Brampton-Ouest"," 104A","Brampton",0,129,12,42,0,183,382
35012,"Brampton West/Brampton-Ouest"," 104B","Brampton",0,87,10,48,0,145,308
35012,"Brampton West/Brampton-Ouest"," 105","Brampton",1,93,14,52,0,160,362
35012,"Brampton West/Brampton-Ouest"," 106","Brampton",3,85,22,35,3,148,320
35012,"Brampton West/Brampton-Ouest"," 107","Brampton",3,101,15,28,3,150,380
35012,"Brampton West/Brampton-Ouest"," 108","Brampton",3,127,27,61,1,219,549
35012,"Brampton West/Brampton-Ouest"," 109","Brampton",2,115,25,63,2,207,472
35012,"Brampton West/Brampton-Ouest"," 110","Brampton",2,94,25,54,0,175,403
35012,"Brampton West/Brampton-Ouest"," 111","Brampton",1,99,23,39,5,167,400
35012,"Brampton West/Brampton-Ouest"," 112","Brampton",1,122,20,49,0,192,456
35012,"Brampton West/Brampton-Ouest"," 113","Brampton",1,113,27,64,0,205,527
35012,"Brampton West/Brampton-Ouest"," 114","Brampton",1,93,30,47,1,172,406
35012,"Brampton West/Brampton-Ouest"," 115","Brampton",3,121,29,51,2,206,487
35012,"Brampton West/Brampton-Ouest"," 116","Brampton",5,133,31,31,0,200,462
35012,"Brampton West/Brampton-Ouest"," 117","Brampton",3,96,39,48,2,188,442
35012,"Brampton West/Brampton-Ouest"," 118","Brampton",1,78,29,48,0,156,374
35012,"Brampton West/Brampton-Ouest"," 119","Brampton",0,81,26,71,2,180,385
35012,"Brampton West/Brampton-Ouest"," 120","Brampton",3,148,38,70,1,260,502
35012,"Brampton West/Brampton-Ouest"," 121","Brampton",2,110,20,65,0,197,411
35012,"Brampton West/Brampton-Ouest"," 122","Brampton",6,149,21,78,2,256,518
35012,"Brampton West/Brampton-Ouest"," 123","Brampton",3,139,22,59,0,223,489
35012,"Brampton West/Brampton-Ouest"," 124","Brampton",7,143,28,51,4,233,463
35012,"Brampton West/Brampton-Ouest"," 125","Brampton",1,114,18,49,2,184,378
35012,"Brampton West/Brampton-Ouest"," 126","Brampton",5,96,32,43,0,176,406
35012,"Brampton West/Brampton-Ouest"," 127","Brampton",3,92,22,71,2,190,411
35012,"Brampton West/Brampton-Ouest"," 128","Brampton",5,101,27,55,0,188,452
35012,"Brampton West/Brampton-Ouest"," 129","Brampton",0,90,24,47,0,161,360
35012,"Brampton West/Brampton-Ouest"," 130","Brampton",1,100,24,50,0,175,405
35012,"Brampton West/Brampton-Ouest"," 131","Brampton",2,90,25,25,0,142,383
35012,"Brampton West/Brampton-Ouest"," 132","Brampton",1,128,34,64,0,227,431
35012,"Brampton West/Brampton-Ouest"," 133","Brampton",2,107,29,62,1,201,420
35012,"Brampton West/Brampton-Ouest"," 134","Brampton",1,139,36,64,1,241,497
35012,"Brampton West/Brampton-Ouest"," 135","Brampton",3,90,16,33,3,145,373
35012,"Brampton West/Brampton-Ouest"," 136","Brampton",1,121,26,40,1,189,449
35012,"Brampton West/Brampton-Ouest"," 137","Brampton",0,114,21,35,2,172,418
35012,"Brampton West/Brampton-Ouest"," 138","Brampton",6,118,26,69,0,219,475
35012,"Brampton West/Brampton-Ouest"," 139A","Brampton",18,144,25,80,1,268,600
35012,"Brampton West/Brampton-Ouest"," 139B","Brampton",2,154,27,77,1,261,655
35012,"Brampton West/Brampton-Ouest"," 140","Brampton",4,104,16,69,0,193,442
35012,"Brampton West/Brampton-Ouest"," 141","Brampton",0,127,32,63,1,223,567
35012,"Brampton West/Brampton-Ouest"," 142","Brampton",3,152,37,78,1,271,591
35012,"Brampton West/Brampton-Ouest"," 143A","Brampton",2,94,21,56,0,173,428
35012,"Brampton West/Brampton-Ouest"," 143B","Brampton",2,139,32,48,1,222,567
