Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Hansen,Karen McCrimmon,Walter Pamic,Andrew West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Kanata--Carleton/Kanata--Carleton"," 1","West Carleton",10,95,81,7,0,193,430
35041,"Kanata--Carleton/Kanata--Carleton"," 2","West Carleton",12,116,89,8,1,226,432
35041,"Kanata--Carleton/Kanata--Carleton"," 3","West Carleton",34,120,109,11,1,275,442
35041,"Kanata--Carleton/Kanata--Carleton"," 4","West Carleton",21,98,120,8,1,248,444
35041,"Kanata--Carleton/Kanata--Carleton"," 5","West Carleton",9,83,77,10,0,179,358
35041,"Kanata--Carleton/Kanata--Carleton"," 6","West Carleton",6,69,103,8,0,186,328
35041,"Kanata--Carleton/Kanata--Carleton"," 7","West Carleton",11,59,102,7,0,179,353
35041,"Kanata--Carleton/Kanata--Carleton"," 8","West Carleton",12,116,135,10,1,274,441
35041,"Kanata--Carleton/Kanata--Carleton"," 9","West Carleton",13,155,134,9,0,311,445
35041,"Kanata--Carleton/Kanata--Carleton"," 10","West Carleton",25,143,145,12,0,325,461
35041,"Kanata--Carleton/Kanata--Carleton"," 11","West Carleton",12,73,85,6,1,177,334
35041,"Kanata--Carleton/Kanata--Carleton"," 12","West Carleton",20,64,98,2,0,184,377
35041,"Kanata--Carleton/Kanata--Carleton"," 13","West Carleton",4,95,115,15,2,231,400
35041,"Kanata--Carleton/Kanata--Carleton"," 14","Kanata",10,101,145,7,0,263,418
35041,"Kanata--Carleton/Kanata--Carleton"," 15","West Carleton",10,67,141,4,1,223,335
35041,"Kanata--Carleton/Kanata--Carleton"," 16","West Carleton",18,79,116,4,1,218,333
35041,"Kanata--Carleton/Kanata--Carleton"," 17","West Carleton",24,99,99,5,2,229,339
35041,"Kanata--Carleton/Kanata--Carleton"," 18","West Carleton",24,70,122,4,1,221,353
35041,"Kanata--Carleton/Kanata--Carleton"," 19","West Carleton",9,65,181,9,0,264,395
35041,"Kanata--Carleton/Kanata--Carleton"," 20","West Carleton",14,90,122,10,0,236,443
35041,"Kanata--Carleton/Kanata--Carleton"," 21","West Carleton",16,78,149,9,2,254,425
35041,"Kanata--Carleton/Kanata--Carleton"," 22","West Carleton",14,91,152,13,4,274,446
35041,"Kanata--Carleton/Kanata--Carleton"," 23","West Carleton",10,116,148,9,0,283,460
35041,"Kanata--Carleton/Kanata--Carleton"," 24","Kanata",20,102,128,12,0,262,410
35041,"Kanata--Carleton/Kanata--Carleton"," 25","Kanata",14,138,142,5,0,299,510
35041,"Kanata--Carleton/Kanata--Carleton"," 26","Kanata",11,121,122,10,0,264,445
35041,"Kanata--Carleton/Kanata--Carleton"," 27","Kanata",16,94,50,2,0,162,331
35041,"Kanata--Carleton/Kanata--Carleton"," 28","Kanata",11,110,139,5,0,265,427
35041,"Kanata--Carleton/Kanata--Carleton"," 29","Kanata",20,130,60,9,0,219,397
35041,"Kanata--Carleton/Kanata--Carleton"," 30","Kanata",18,131,73,4,1,227,378
35041,"Kanata--Carleton/Kanata--Carleton"," 31","Kanata",13,122,63,4,0,202,436
35041,"Kanata--Carleton/Kanata--Carleton"," 32","Kanata",15,131,62,8,0,216,402
35041,"Kanata--Carleton/Kanata--Carleton"," 33","Kanata",13,104,54,2,0,173,359
35041,"Kanata--Carleton/Kanata--Carleton"," 34","Kanata",16,116,73,5,0,210,404
35041,"Kanata--Carleton/Kanata--Carleton"," 35","Kanata",17,139,94,4,2,256,408
35041,"Kanata--Carleton/Kanata--Carleton"," 36","Kanata",17,134,53,2,0,206,427
35041,"Kanata--Carleton/Kanata--Carleton"," 37","Kanata",23,138,61,13,1,236,426
35041,"Kanata--Carleton/Kanata--Carleton"," 38","Kanata",14,101,56,2,0,173,363
35041,"Kanata--Carleton/Kanata--Carleton"," 39","Kanata",8,77,70,7,1,163,322
35041,"Kanata--Carleton/Kanata--Carleton"," 40","Kanata",15,169,73,9,1,267,450
35041,"Kanata--Carleton/Kanata--Carleton"," 41","Kanata",21,144,67,4,0,236,408
35041,"Kanata--Carleton/Kanata--Carleton"," 42","Kanata",17,92,70,5,0,184,388
35041,"Kanata--Carleton/Kanata--Carleton"," 43","Kanata",16,150,87,4,1,258,497
35041,"Kanata--Carleton/Kanata--Carleton"," 44","Kanata",7,136,69,2,0,214,414
35041,"Kanata--Carleton/Kanata--Carleton"," 45","Kanata",14,157,78,5,1,255,510
35041,"Kanata--Carleton/Kanata--Carleton"," 46","Kanata",11,95,67,1,1,175,382
35041,"Kanata--Carleton/Kanata--Carleton"," 47","Kanata",13,89,62,5,1,170,309
35041,"Kanata--Carleton/Kanata--Carleton"," 48","Kanata",20,173,76,6,0,275,498
35041,"Kanata--Carleton/Kanata--Carleton"," 49","Kanata",8,152,66,5,1,232,444
35041,"Kanata--Carleton/Kanata--Carleton"," 50","Kanata",11,102,93,8,0,214,393
35041,"Kanata--Carleton/Kanata--Carleton"," 51","Kanata",24,79,51,2,0,156,363
35041,"Kanata--Carleton/Kanata--Carleton"," 52","Kanata",22,102,63,5,0,192,377
35041,"Kanata--Carleton/Kanata--Carleton"," 53","Kanata",9,147,81,5,1,243,483
35041,"Kanata--Carleton/Kanata--Carleton"," 54","Kanata",19,156,75,13,0,263,375
35041,"Kanata--Carleton/Kanata--Carleton"," 55","Kanata",31,140,69,9,1,250,394
35041,"Kanata--Carleton/Kanata--Carleton"," 56","Kanata",8,118,82,16,1,225,346
35041,"Kanata--Carleton/Kanata--Carleton"," 57","Kanata",28,188,95,12,0,323,535
35041,"Kanata--Carleton/Kanata--Carleton"," 58","Kanata",16,153,81,11,2,263,416
35041,"Kanata--Carleton/Kanata--Carleton"," 59","Kanata",20,129,65,5,0,219,324
35041,"Kanata--Carleton/Kanata--Carleton"," 60","Kanata",27,111,64,11,0,213,429
35041,"Kanata--Carleton/Kanata--Carleton"," 61","Kanata",17,159,87,3,0,266,459
35041,"Kanata--Carleton/Kanata--Carleton"," 62","Kanata",7,93,82,11,0,193,339
35041,"Kanata--Carleton/Kanata--Carleton"," 63","Kanata",4,107,70,8,2,191,381
35041,"Kanata--Carleton/Kanata--Carleton"," 64","Kanata",14,116,88,7,0,225,408
35041,"Kanata--Carleton/Kanata--Carleton"," 65","Kanata",13,118,112,7,0,250,515
35041,"Kanata--Carleton/Kanata--Carleton"," 66","Kanata",12,133,75,11,0,231,452
35041,"Kanata--Carleton/Kanata--Carleton"," 67","Kanata",13,77,67,8,0,165,391
35041,"Kanata--Carleton/Kanata--Carleton"," 68","Kanata",22,107,53,8,0,190,406
35041,"Kanata--Carleton/Kanata--Carleton"," 69","Kanata",17,112,53,4,0,186,364
35041,"Kanata--Carleton/Kanata--Carleton"," 70","Kanata",19,110,53,5,1,188,361
35041,"Kanata--Carleton/Kanata--Carleton"," 71","Kanata",8,94,72,4,0,178,363
35041,"Kanata--Carleton/Kanata--Carleton"," 72","Kanata",7,126,150,14,0,297,490
35041,"Kanata--Carleton/Kanata--Carleton"," 73A","Kanata",13,151,86,6,0,256,405
35041,"Kanata--Carleton/Kanata--Carleton"," 73B","Kanata",14,124,105,3,0,246,418
35041,"Kanata--Carleton/Kanata--Carleton"," 74","Kanata",9,113,87,2,0,211,431
35041,"Kanata--Carleton/Kanata--Carleton"," 75","Kanata",1,99,73,5,0,178,317
35041,"Kanata--Carleton/Kanata--Carleton"," 76","Kanata",10,131,86,8,0,235,423
35041,"Kanata--Carleton/Kanata--Carleton"," 77","Kanata",9,132,123,3,0,267,447
35041,"Kanata--Carleton/Kanata--Carleton"," 78","Kanata",7,188,108,3,1,307,504
35041,"Kanata--Carleton/Kanata--Carleton"," 79","Kanata",14,181,109,2,0,306,498
35041,"Kanata--Carleton/Kanata--Carleton"," 80","Kanata",16,151,83,3,0,253,426
35041,"Kanata--Carleton/Kanata--Carleton"," 81","Kanata",19,139,95,3,0,256,420
35041,"Kanata--Carleton/Kanata--Carleton"," 82","Kanata",4,90,59,4,0,157,328
35041,"Kanata--Carleton/Kanata--Carleton"," 83","Kanata",14,103,59,4,0,180,318
35041,"Kanata--Carleton/Kanata--Carleton"," 84","Kanata",7,101,78,2,1,189,389
35041,"Kanata--Carleton/Kanata--Carleton"," 85","Kanata",8,118,99,2,1,228,399
35041,"Kanata--Carleton/Kanata--Carleton"," 86","Kanata",15,218,143,8,2,386,626
35041,"Kanata--Carleton/Kanata--Carleton"," 87","Kanata",19,165,127,15,0,326,575
35041,"Kanata--Carleton/Kanata--Carleton"," 88","Kanata",13,128,79,5,0,225,423
35041,"Kanata--Carleton/Kanata--Carleton"," 89","Kanata",14,131,84,5,1,235,419
