Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Claude Bibeau,France Bonsant,Kévin Côté,Gustavo Labrador,Korie Marshall,Jean Rousseau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",30,34,2,30,5,21,2,124,238
24023,"Compton--Stanstead/Compton--Stanstead"," 2","Saint-Gérard",32,34,1,25,2,26,2,122,241
24023,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",43,36,0,19,3,36,1,138,338
24023,"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",31,32,1,21,2,27,1,115,299
24023,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",55,27,1,21,1,34,0,139,367
24023,"Compton--Stanstead/Compton--Stanstead"," 6","Weedon",37,34,0,17,0,28,0,116,313
24023,"Compton--Stanstead/Compton--Stanstead"," 7","Weedon",43,48,1,18,2,44,0,156,358
24023,"Compton--Stanstead/Compton--Stanstead"," 8","Lingwick",57,29,2,31,7,82,4,212,332
24023,"Compton--Stanstead/Compton--Stanstead"," 9","Hampden",41,32,0,18,1,34,1,127,264
24023,"Compton--Stanstead/Compton--Stanstead"," 10","Hampden",63,48,1,16,0,26,2,156,296
24023,"Compton--Stanstead/Compton--Stanstead"," 11","Bury",72,19,1,17,3,41,1,154,305
24023,"Compton--Stanstead/Compton--Stanstead"," 12","Bury",48,36,1,29,6,45,0,165,366
24023,"Compton--Stanstead/Compton--Stanstead"," 13","Bury",57,27,0,22,2,28,0,136,266
24023,"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",26,34,2,15,7,35,3,122,212
24023,"Compton--Stanstead/Compton--Stanstead"," 15","Dudswell",79,75,1,34,3,59,3,254,461
24023,"Compton--Stanstead/Compton--Stanstead"," 16","Dudswell",64,38,1,30,4,48,4,189,302
24023,"Compton--Stanstead/Compton--Stanstead"," 17","Dudswell",89,69,1,28,8,70,2,267,396
24023,"Compton--Stanstead/Compton--Stanstead"," 18","Stoke",68,61,1,15,5,68,7,225,403
24023,"Compton--Stanstead/Compton--Stanstead"," 19","Stoke",59,55,3,16,2,72,2,209,409
24023,"Compton--Stanstead/Compton--Stanstead"," 20","Stoke",73,89,3,29,1,68,4,267,440
24023,"Compton--Stanstead/Compton--Stanstead"," 21","Stoke",51,57,3,16,8,53,7,195,363
24023,"Compton--Stanstead/Compton--Stanstead"," 22","Stoke",57,37,0,21,6,31,0,152,294
24023,"Compton--Stanstead/Compton--Stanstead"," 23","Stoke",64,52,0,15,6,54,1,192,346
24023,"Compton--Stanstead/Compton--Stanstead"," 24","Westbury",61,51,1,10,5,51,3,182,414
24023,"Compton--Stanstead/Compton--Stanstead"," 25","East Angus",81,46,0,19,3,53,4,206,447
24023,"Compton--Stanstead/Compton--Stanstead"," 26","East Angus",46,45,1,25,5,21,5,148,370
24023,"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",28,35,1,10,3,33,5,115,355
24023,"Compton--Stanstead/Compton--Stanstead"," 28","East Angus",37,33,4,13,3,20,6,116,299
24023,"Compton--Stanstead/Compton--Stanstead"," 29","East Angus",50,35,0,9,2,19,1,116,354
24023,"Compton--Stanstead/Compton--Stanstead"," 30","East Angus",27,17,1,4,2,16,2,69,267
24023,"Compton--Stanstead/Compton--Stanstead"," 31","Westbury",53,27,3,6,1,31,4,125,297
24023,"Compton--Stanstead/Compton--Stanstead"," 32","East Angus",38,28,0,14,2,26,1,109,294
24023,"Compton--Stanstead/Compton--Stanstead"," 33","East Angus",58,53,0,14,1,49,7,182,371
24023,"Compton--Stanstead/Compton--Stanstead"," 34","Westbury",44,45,0,27,1,41,4,162,315
24023,"Compton--Stanstead/Compton--Stanstead"," 35","Newport",75,22,2,35,6,50,3,193,323
24023,"Compton--Stanstead/Compton--Stanstead"," 36","Newport",48,19,1,33,3,29,0,133,255
24023,"Compton--Stanstead/Compton--Stanstead"," 37","Ditton",52,34,1,7,4,36,4,138,295
24023,"Compton--Stanstead/Compton--Stanstead"," 38","Ditton",43,44,1,22,6,33,2,151,332
24023,"Compton--Stanstead/Compton--Stanstead"," 39","Chartierville",44,34,1,35,1,39,3,157,257
24023,"Compton--Stanstead/Compton--Stanstead"," 40","Saint-Isidore-d'Auckland",63,22,1,32,5,32,3,158,286
24023,"Compton--Stanstead/Compton--Stanstead"," 41","East Clifton",70,22,0,38,1,36,0,167,283
24023,"Compton--Stanstead/Compton--Stanstead"," 42","Cookshire-Eaton",82,22,1,39,8,32,0,184,336
24023,"Compton--Stanstead/Compton--Stanstead"," 43","Cookshire-Eaton",90,22,0,31,4,48,0,195,344
24023,"Compton--Stanstead/Compton--Stanstead"," 44","Sawyerville",91,13,0,40,5,40,1,190,316
24023,"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire-Eaton",61,56,3,17,2,50,4,193,450
24023,"Compton--Stanstead/Compton--Stanstead"," 46","Cookshire-Eaton",77,44,1,20,1,54,3,200,476
24023,"Compton--Stanstead/Compton--Stanstead"," 47","Cookshire",83,29,3,13,5,36,2,171,482
24023,"Compton--Stanstead/Compton--Stanstead"," 48","Cookshire-Eaton",56,44,1,22,1,48,2,174,414
24023,"Compton--Stanstead/Compton--Stanstead"," 49","Ascot Corner",58,68,2,25,2,47,7,209,380
24023,"Compton--Stanstead/Compton--Stanstead"," 50","Ascot Corner",89,69,2,33,10,68,3,274,451
24023,"Compton--Stanstead/Compton--Stanstead"," 51","Ascot Corner",59,82,1,39,4,58,7,250,453
24023,"Compton--Stanstead/Compton--Stanstead"," 52","Ascot Corner",66,59,0,34,8,89,6,262,443
24023,"Compton--Stanstead/Compton--Stanstead"," 53","Ascot Corner",59,39,1,28,4,77,7,215,349
24023,"Compton--Stanstead/Compton--Stanstead"," 54","Ascot Corner",38,48,4,20,3,27,2,142,316
24023,"Compton--Stanstead/Compton--Stanstead"," 55","Cookshire-Eaton",98,52,4,36,10,97,2,299,455
24023,"Compton--Stanstead/Compton--Stanstead"," 56","Cookshire-Eaton",101,45,1,44,3,70,2,266,438
24023,"Compton--Stanstead/Compton--Stanstead"," 57","Cookshire-Eaton",86,58,1,30,1,70,6,252,480
24023,"Compton--Stanstead/Compton--Stanstead"," 58","Martinville",75,74,3,26,8,64,3,253,419
24023,"Compton--Stanstead/Compton--Stanstead"," 59","Sherbrooke",151,23,2,61,9,91,0,337,580
24023,"Compton--Stanstead/Compton--Stanstead"," 60","Sherbrooke",202,17,3,41,16,129,2,410,660
24023,"Compton--Stanstead/Compton--Stanstead"," 61","Sherbrooke",145,17,2,25,5,67,0,261,498
24023,"Compton--Stanstead/Compton--Stanstead"," 62","Sherbrooke",53,6,1,7,3,16,1,87,217
24023,"Compton--Stanstead/Compton--Stanstead"," 63","Sherbrooke",66,15,1,22,4,40,2,150,360
24023,"Compton--Stanstead/Compton--Stanstead"," 64","Sherbrooke",118,19,1,12,12,58,1,221,426
24023,"Compton--Stanstead/Compton--Stanstead"," 65","Sherbrooke",91,15,0,11,3,61,0,181,366
24023,"Compton--Stanstead/Compton--Stanstead"," 66","Sherbrooke",93,24,1,29,8,67,2,224,378
24023,"Compton--Stanstead/Compton--Stanstead"," 67","Sherbrooke",114,13,1,19,7,73,2,229,382
24023,"Compton--Stanstead/Compton--Stanstead"," 68","Sherbrooke",87,21,0,32,6,58,2,206,320
24023,"Compton--Stanstead/Compton--Stanstead"," 69","Waterville",101,18,1,15,2,38,0,175,302
24023,"Compton--Stanstead/Compton--Stanstead"," 70","Waterville",63,27,3,20,1,41,2,157,311
24023,"Compton--Stanstead/Compton--Stanstead"," 71","Waterville",52,35,1,15,5,56,3,167,314
24023,"Compton--Stanstead/Compton--Stanstead"," 72","Waterville",52,35,3,1,3,46,4,144,307
24023,"Compton--Stanstead/Compton--Stanstead"," 73","Waterville",51,48,1,10,5,63,1,179,299
24023,"Compton--Stanstead/Compton--Stanstead"," 74","Hatley",68,23,1,23,10,56,2,183,362
24023,"Compton--Stanstead/Compton--Stanstead"," 75","Hatley",52,29,0,24,6,29,0,140,276
24023,"Compton--Stanstead/Compton--Stanstead"," 76","Hatley",71,39,1,19,9,84,6,229,426
24023,"Compton--Stanstead/Compton--Stanstead"," 77","Hatley",77,22,0,11,4,58,2,174,345
24023,"Compton--Stanstead/Compton--Stanstead"," 78","Hatley",80,10,1,21,2,33,0,147,291
24023,"Compton--Stanstead/Compton--Stanstead"," 79","Sherbrooke",58,48,3,15,3,48,2,177,466
24023,"Compton--Stanstead/Compton--Stanstead"," 80","Sherbrooke",71,62,2,29,7,74,0,245,503
24023,"Compton--Stanstead/Compton--Stanstead"," 81","Sherbrooke",75,38,0,18,2,55,6,194,396
24023,"Compton--Stanstead/Compton--Stanstead"," 82","Sherbrooke",73,44,2,28,1,63,2,213,448
24023,"Compton--Stanstead/Compton--Stanstead"," 83","Sherbrooke",58,37,1,13,6,57,3,175,365
24023,"Compton--Stanstead/Compton--Stanstead"," 84","Sherbrooke",61,65,1,21,5,62,3,218,446
24023,"Compton--Stanstead/Compton--Stanstead"," 85","Sherbrooke",59,39,1,24,3,43,7,176,407
24023,"Compton--Stanstead/Compton--Stanstead"," 86","Sherbrooke",57,56,2,37,6,53,7,218,426
24023,"Compton--Stanstead/Compton--Stanstead"," 87","Sherbrooke",98,74,0,45,2,60,4,283,464
24023,"Compton--Stanstead/Compton--Stanstead"," 88","Sherbrooke",85,65,1,27,6,65,7,256,436
24023,"Compton--Stanstead/Compton--Stanstead"," 89","Sherbrooke",92,69,4,23,8,78,7,281,470
24023,"Compton--Stanstead/Compton--Stanstead"," 90","Sherbrooke",113,65,1,27,7,66,0,279,442
24023,"Compton--Stanstead/Compton--Stanstead"," 91","Sherbrooke",109,54,4,39,4,99,4,313,527
24023,"Compton--Stanstead/Compton--Stanstead"," 92","Sherbrooke",75,50,1,19,5,52,1,203,419
24023,"Compton--Stanstead/Compton--Stanstead"," 93","Sherbrooke",105,45,1,35,5,103,4,298,530
24023,"Compton--Stanstead/Compton--Stanstead"," 94","Sherbrooke",133,47,0,33,6,92,4,315,515
24023,"Compton--Stanstead/Compton--Stanstead"," 95","Sherbrooke",100,67,2,18,3,53,3,246,466
24023,"Compton--Stanstead/Compton--Stanstead"," 96","Sherbrooke",77,55,1,34,2,67,2,238,390
24023,"Compton--Stanstead/Compton--Stanstead"," 97","Sherbrooke",57,66,0,24,1,71,4,223,357
24023,"Compton--Stanstead/Compton--Stanstead"," 98","Sherbrooke",69,55,5,12,4,67,0,212,368
24023,"Compton--Stanstead/Compton--Stanstead"," 99","Sherbrooke",84,48,0,25,4,75,4,240,461
24023,"Compton--Stanstead/Compton--Stanstead"," 100","Sherbrooke",96,58,1,24,3,58,2,242,416
24023,"Compton--Stanstead/Compton--Stanstead"," 101","Sherbrooke",76,34,0,24,4,68,2,208,367
24023,"Compton--Stanstead/Compton--Stanstead"," 102","Sherbrooke",100,38,1,27,7,83,3,259,470
24023,"Compton--Stanstead/Compton--Stanstead"," 103","Sherbrooke",54,37,1,13,6,59,4,174,432
24023,"Compton--Stanstead/Compton--Stanstead"," 104","Sherbrooke",73,51,3,27,3,57,3,217,403
24023,"Compton--Stanstead/Compton--Stanstead"," 105","Sherbrooke",88,46,1,15,8,68,5,231,424
24023,"Compton--Stanstead/Compton--Stanstead"," 106","Sherbrooke",80,61,1,26,3,76,4,251,477
24023,"Compton--Stanstead/Compton--Stanstead"," 107","Sherbrooke",57,37,2,11,1,32,2,142,424
24023,"Compton--Stanstead/Compton--Stanstead"," 108","Sherbrooke",73,40,2,17,1,61,2,196,412
24023,"Compton--Stanstead/Compton--Stanstead"," 109","Sherbrooke",131,52,1,40,6,95,3,328,596
24023,"Compton--Stanstead/Compton--Stanstead"," 110","Sherbrooke",103,60,2,26,8,91,2,292,463
24023,"Compton--Stanstead/Compton--Stanstead"," 111","Sherbrooke",73,47,3,21,6,62,2,214,405
24023,"Compton--Stanstead/Compton--Stanstead"," 112","Sherbrooke",58,48,0,19,6,39,3,173,382
24023,"Compton--Stanstead/Compton--Stanstead"," 113","Sherbrooke",73,54,2,39,6,54,0,228,485
24023,"Compton--Stanstead/Compton--Stanstead"," 114","Sherbrooke",95,61,0,21,8,77,5,267,519
24023,"Compton--Stanstead/Compton--Stanstead"," 115","Sherbrooke",100,58,2,22,4,65,5,256,458
24023,"Compton--Stanstead/Compton--Stanstead"," 116","Sherbrooke",65,43,0,17,2,55,3,185,366
24023,"Compton--Stanstead/Compton--Stanstead"," 117","Sherbrooke",80,45,1,28,4,53,2,213,431
24023,"Compton--Stanstead/Compton--Stanstead"," 118","Sherbrooke",84,55,4,26,5,51,7,232,457
24023,"Compton--Stanstead/Compton--Stanstead"," 119","Sherbrooke",87,52,2,24,2,66,6,239,483
24023,"Compton--Stanstead/Compton--Stanstead"," 120","Sherbrooke",62,55,1,20,2,49,1,190,384
24023,"Compton--Stanstead/Compton--Stanstead"," 121","Saint-Élie-d'Orford",23,26,0,20,2,29,3,103,225
24023,"Compton--Stanstead/Compton--Stanstead"," 122","Sherbrooke",80,73,1,32,9,60,6,261,541
24023,"Compton--Stanstead/Compton--Stanstead"," 123","Sherbrooke",81,28,1,22,4,66,3,205,357
24023,"Compton--Stanstead/Compton--Stanstead"," 124","Sherbrooke",35,27,0,25,1,39,4,131,241
24023,"Compton--Stanstead/Compton--Stanstead"," 125","Sherbrooke",83,55,0,34,6,73,4,255,507
24023,"Compton--Stanstead/Compton--Stanstead"," 126","Sherbrooke",94,58,1,29,3,103,6,294,504
24023,"Compton--Stanstead/Compton--Stanstead"," 127","Sherbrooke",73,59,0,25,6,75,4,242,439
24023,"Compton--Stanstead/Compton--Stanstead"," 128","Sherbrooke",66,65,0,48,4,52,1,236,433
24023,"Compton--Stanstead/Compton--Stanstead"," 129","Sherbrooke",83,85,3,30,5,66,8,280,552
24023,"Compton--Stanstead/Compton--Stanstead"," 130","Sherbrooke",119,60,0,28,3,72,6,288,536
24023,"Compton--Stanstead/Compton--Stanstead"," 131","Sherbrooke",85,67,2,29,6,67,5,261,507
24023,"Compton--Stanstead/Compton--Stanstead"," 132","Sherbrooke",47,40,2,15,1,60,3,168,372
24023,"Compton--Stanstead/Compton--Stanstead"," 133","Sherbrooke",47,55,2,10,4,57,8,183,467
24023,"Compton--Stanstead/Compton--Stanstead"," 134","Sherbrooke",53,40,2,22,5,57,1,180,404
24023,"Compton--Stanstead/Compton--Stanstead"," 135","Sherbrooke",73,58,1,27,7,91,5,262,433
24023,"Compton--Stanstead/Compton--Stanstead"," 136","Sherbrooke",78,58,0,19,1,68,1,225,406
24023,"Compton--Stanstead/Compton--Stanstead"," 137","Sherbrooke",65,49,0,23,1,37,5,180,364
24023,"Compton--Stanstead/Compton--Stanstead"," 138A","Sherbrooke",77,54,1,19,2,59,5,217,408
24023,"Compton--Stanstead/Compton--Stanstead"," 138B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504B,,,,,,,,10
24023,"Compton--Stanstead/Compton--Stanstead"," 139A","Sherbrooke",73,57,2,12,8,61,5,218,377
24023,"Compton--Stanstead/Compton--Stanstead"," 139B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,19
24023,"Compton--Stanstead/Compton--Stanstead"," 140","Sherbrooke",77,49,3,17,3,92,4,245,417
24023,"Compton--Stanstead/Compton--Stanstead"," 141","Sherbrooke",70,38,1,31,9,53,2,204,388
24023,"Compton--Stanstead/Compton--Stanstead"," 142","Sherbrooke",82,31,0,28,4,73,4,222,428
24023,"Compton--Stanstead/Compton--Stanstead"," 143","Sherbrooke",51,38,1,16,4,38,1,149,354
24023,"Compton--Stanstead/Compton--Stanstead"," 144","Sherbrooke",45,29,0,17,2,26,2,121,274
24023,"Compton--Stanstead/Compton--Stanstead"," 145","Sherbrooke",62,40,0,17,3,50,2,174,356
24023,"Compton--Stanstead/Compton--Stanstead"," 146","Sherbrooke",84,44,2,27,5,75,0,237,448
24023,"Compton--Stanstead/Compton--Stanstead"," 147","Sherbrooke",44,33,0,9,2,42,2,132,301
24023,"Compton--Stanstead/Compton--Stanstead"," 148","Sherbrooke",39,44,4,13,2,46,2,150,312
24023,"Compton--Stanstead/Compton--Stanstead"," 149","Sherbrooke",62,75,0,23,4,61,2,227,493
24023,"Compton--Stanstead/Compton--Stanstead"," 150","Sherbrooke",64,53,0,25,1,66,5,214,404
24023,"Compton--Stanstead/Compton--Stanstead"," 151","Sherbrooke",72,32,1,25,3,45,2,180,410
24023,"Compton--Stanstead/Compton--Stanstead"," 152","Sherbrooke",41,30,0,17,1,29,2,120,241
24023,"Compton--Stanstead/Compton--Stanstead"," 153A","Sherbrooke",48,39,0,17,3,49,1,157,325
24023,"Compton--Stanstead/Compton--Stanstead"," 153B","Sherbrooke",52,42,0,23,4,37,1,159,326
24023,"Compton--Stanstead/Compton--Stanstead"," 154","Sherbrooke",88,55,1,39,3,71,2,259,509
24023,"Compton--Stanstead/Compton--Stanstead"," 155","Sherbrooke",74,60,0,19,2,45,2,202,383
24023,"Compton--Stanstead/Compton--Stanstead"," 156","Sainte-Catherine-de-Hatley",82,47,2,15,2,72,1,221,338
24023,"Compton--Stanstead/Compton--Stanstead"," 157","Sainte-Catherine-de-Hatley",70,45,0,20,5,49,1,190,289
24023,"Compton--Stanstead/Compton--Stanstead"," 158","Sainte-Catherine-de-Hatley",48,43,1,19,5,39,4,159,283
24023,"Compton--Stanstead/Compton--Stanstead"," 159","Sainte-Catherine-de-Hatley",80,63,1,33,2,69,7,255,412
24023,"Compton--Stanstead/Compton--Stanstead"," 160","Sainte-Catherine-de-Hatley",71,34,0,21,7,58,1,192,365
24023,"Compton--Stanstead/Compton--Stanstead"," 161","Sainte-Catherine-de-Hatley",66,53,1,24,6,50,5,205,385
24023,"Compton--Stanstead/Compton--Stanstead"," 162","North Hatley",63,9,1,14,5,43,0,135,288
24023,"Compton--Stanstead/Compton--Stanstead"," 163","North Hatley",67,10,3,6,6,36,0,128,263
24023,"Compton--Stanstead/Compton--Stanstead"," 164","Hatley",86,20,1,30,2,42,1,182,285
24023,"Compton--Stanstead/Compton--Stanstead"," 165","Hatley",78,19,1,22,6,30,1,157,342
24023,"Compton--Stanstead/Compton--Stanstead"," 166","Compton",52,42,0,25,5,65,5,194,308
24023,"Compton--Stanstead/Compton--Stanstead"," 167","Compton",71,38,0,26,4,46,3,188,324
24023,"Compton--Stanstead/Compton--Stanstead"," 168","Compton",86,51,0,30,6,81,7,261,405
24023,"Compton--Stanstead/Compton--Stanstead"," 169","Compton",85,44,2,18,4,38,0,191,381
24023,"Compton--Stanstead/Compton--Stanstead"," 170","Compton",75,54,1,19,0,56,4,209,380
24023,"Compton--Stanstead/Compton--Stanstead"," 171","Compton",57,35,2,15,5,34,0,148,265
24023,"Compton--Stanstead/Compton--Stanstead"," 172","Compton",76,48,0,20,3,54,0,201,350
24023,"Compton--Stanstead/Compton--Stanstead"," 173","Sainte-Edwidge-de-Clifton",83,46,2,24,2,64,5,226,379
24023,"Compton--Stanstead/Compton--Stanstead"," 174","Saint-Malo",84,56,2,25,4,56,1,228,364
24023,"Compton--Stanstead/Compton--Stanstead"," 175","East Hereford",67,21,1,29,3,25,3,149,283
24023,"Compton--Stanstead/Compton--Stanstead"," 176","Saint-Herménégilde",49,23,1,18,2,25,1,119,228
24023,"Compton--Stanstead/Compton--Stanstead"," 177","Saint-Herménégilde",50,32,1,28,1,33,1,146,281
24023,"Compton--Stanstead/Compton--Stanstead"," 178","Coaticook",83,30,1,18,3,30,2,167,368
24023,"Compton--Stanstead/Compton--Stanstead"," 179","Coaticook",55,45,0,29,3,46,3,181,400
