Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greg Foster,Colin Fraser,Arnold LeBlanc,Clark Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"West Nova/Nova-Ouest"," 1","Canada Creek",8,102,40,11,1,162,296
12011,"West Nova/Nova-Ouest"," 2","Harbourville",17,116,52,14,2,201,307
12011,"West Nova/Nova-Ouest"," 3","Grafton",8,78,56,7,0,149,320
12011,"West Nova/Nova-Ouest"," 4","Somerset",13,81,52,9,1,156,289
12011,"West Nova/Nova-Ouest"," 5","Somerset",13,130,65,8,1,217,369
12011,"West Nova/Nova-Ouest"," 6","Waterville",12,99,40,11,0,162,339
12011,"West Nova/Nova-Ouest"," 7","Waterville",15,85,38,12,0,150,322
12011,"West Nova/Nova-Ouest"," 8","Waterville",13,125,43,5,0,186,331
12011,"West Nova/Nova-Ouest"," 9","South Berwick",16,114,55,16,1,202,369
12011,"West Nova/Nova-Ouest"," 10","Waterville",7,83,29,7,0,126,283
12011,"West Nova/Nova-Ouest"," 11","Berwick",13,128,38,14,2,195,384
12011,"West Nova/Nova-Ouest"," 12","Berwick",13,87,29,7,1,137,300
12011,"West Nova/Nova-Ouest"," 13","Berwick",8,150,52,10,0,220,463
12011,"West Nova/Nova-Ouest"," 14","Berwick",8,82,44,14,2,150,342
12011,"West Nova/Nova-Ouest"," 15","Berwick",20,99,29,9,0,157,330
12011,"West Nova/Nova-Ouest"," 16","Berwick West",8,85,35,7,0,135,311
12011,"West Nova/Nova-Ouest"," 17","Berwick",6,53,36,1,1,97,213
12011,"West Nova/Nova-Ouest"," 18","Morristown",7,69,31,3,0,110,243
12011,"West Nova/Nova-Ouest"," 19","Morristown",9,94,41,2,1,147,242
12011,"West Nova/Nova-Ouest"," 20","Morristown",9,117,74,10,3,213,349
12011,"West Nova/Nova-Ouest"," 21","Morden",26,132,63,16,0,237,455
12011,"West Nova/Nova-Ouest"," 22","Aylesford",12,66,37,2,2,119,237
12011,"West Nova/Nova-Ouest"," 23","Aylesford",14,136,68,4,2,224,433
12011,"West Nova/Nova-Ouest"," 24","Aylesford",13,106,53,14,0,186,345
12011,"West Nova/Nova-Ouest"," 25","North Kingston",12,86,50,7,0,155,317
