date,Party,sd
2016-06-04,Liberal,2.2661575874025908
2016-06-05,Liberal,2.262216101638562
2016-06-06,Liberal,2.2114721346028827
2016-06-07,Liberal,2.170063954500006
2016-06-08,Liberal,2.1265727797318545
2016-06-09,Liberal,2.110248869135937
2016-06-10,Liberal,2.0702197901530885
2016-06-11,Liberal,2.085371868313337
2016-06-12,Liberal,2.0293465241670345
2016-06-13,Liberal,2.051892389765606
2016-06-14,Liberal,2.075447173357336
2016-06-15,Liberal,2.1030170870730234
2016-06-16,Liberal,2.120151620910677
2016-06-17,Liberal,2.2199310144044233
2016-06-18,Liberal,2.242282040680144
2016-06-19,Liberal,2.2576620800453413
2016-06-20,Liberal,2.269707997622097
2016-06-21,Liberal,2.2797884755851214
2016-06-22,Liberal,2.2885800778959045
2016-06-23,Liberal,2.2824537899018593
2016-06-24,Liberal,2.2758089382714295
2016-06-25,Liberal,2.26879457921774
2016-06-26,Liberal,2.2615128385841166
2016-06-27,Liberal,2.254036331718905
2016-06-28,Liberal,2.2604319206357992
2016-06-29,Liberal,2.2665791776812947
2016-06-30,Liberal,2.2725177146344513
2016-07-01,Liberal,2.2782789160951076
2016-07-02,Liberal,2.540472781384449
2016-07-03,Liberal,2.769381347897135
2016-07-04,Liberal,2.983444859530565
2016-07-05,Liberal,3.187311130273842
2016-07-06,Liberal,3.100104710804274
2016-07-07,Liberal,2.866681516789141
2016-07-08,Liberal,2.6423789469647074
2016-07-09,Liberal,2.436745698505613
2016-07-10,Liberal,2.2429165021701314
2016-07-11,Liberal,2.3406867845522044
2016-07-12,Liberal,2.3280232573795048
2016-07-13,Liberal,2.3389791135943554
2016-07-14,Liberal,2.3453699536479897
2016-07-15,Liberal,2.349295216814517
2016-07-16,Liberal,2.3945118087330726
2016-07-17,Liberal,2.4397069885223024
2016-07-18,Liberal,2.4851560175622502
2016-07-19,Liberal,2.531019800793827
2016-07-20,Liberal,2.6278237074553674
2016-07-21,Liberal,2.6834330949901344
2016-07-22,Liberal,2.739713006151363
2016-07-23,Liberal,2.7967045386549283
2016-07-24,Liberal,2.854434486569269
2016-07-25,Liberal,2.8624903624399103
2016-07-26,Liberal,2.870326925590523
2016-07-27,Liberal,2.8779832595713417
2016-07-28,Liberal,2.8854911896737208
2016-07-29,Liberal,2.892876907208927
2016-07-30,Liberal,2.927305482117981
2016-07-31,Liberal,2.9621400286307997
2016-08-01,Liberal,2.9973922017409604
2016-08-02,Liberal,3.0330719621677718
2016-08-03,Liberal,2.974866307655373
2016-08-04,Liberal,2.9941072998923524
2016-08-05,Liberal,3.021376617264031
2016-08-06,Liberal,3.0526374901979074
2016-08-07,Liberal,3.0863340368235677
2016-08-08,Liberal,3.2159969125471783
2016-08-09,Liberal,3.242696574510796
2016-08-10,Liberal,3.2622198508062525
2016-08-11,Liberal,3.2784159537106334
2016-08-12,Liberal,3.268604251856791
2016-08-13,Liberal,3.2614632846826033
2016-08-14,Liberal,3.257216437480436
2016-08-15,Liberal,3.255973295525382
2016-08-16,Liberal,3.257789021652674
2016-08-17,Liberal,3.286799016773094
2016-08-18,Liberal,3.315039477625329
2016-08-19,Liberal,3.3426927075169326
2016-08-20,Liberal,3.369903096191954
2016-08-21,Liberal,2.9238843437621647
2016-08-22,Liberal,2.583507404673532
2016-08-23,Liberal,2.2599748907022352
2016-08-24,Liberal,1.945783098351166
2016-08-25,Liberal,1.6374686928162987
2016-08-26,Liberal,1.805894735461835
2016-08-27,Liberal,2.0680121357726327
2016-08-28,Liberal,2.422169958458702
2016-08-29,Liberal,2.7699836693103332
2016-08-30,Liberal,3.110642026952491
2016-08-31,Liberal,3.444758773585079
2016-09-01,Liberal,3.5839463259101665
2016-09-02,Liberal,3.61046962716958
2016-09-03,Liberal,3.63009032176843
2016-09-04,Liberal,3.4005342163437406
2016-09-05,Liberal,3.2422435906622455
2016-09-06,Liberal,3.0895614125675204
2016-09-07,Liberal,2.944775945051736
2016-09-08,Liberal,2.80547534255255
2016-09-09,Liberal,2.916796291660382
2016-09-10,Liberal,2.9588263913755894
2016-09-11,Liberal,2.989265093460769
2016-09-12,Liberal,3.013632655781947
2016-09-13,Liberal,3.0341845241934218
2016-09-14,Liberal,2.9266969413182284
2016-09-15,Liberal,2.9206164575532467
2016-09-16,Liberal,2.922588992235515
2016-09-17,Liberal,2.9279739769799127
2016-09-18,Liberal,2.8213167026276458
2016-09-19,Liberal,2.9025681192486177
2016-09-20,Liberal,2.887365632500798
2016-09-21,Liberal,2.701168305622639
2016-09-22,Liberal,2.5995048669703005
2016-09-23,Liberal,2.6204714998086325
2016-09-24,Liberal,2.5848532355045917
2016-09-25,Liberal,2.546278359341504
2016-09-26,Liberal,2.6719904623933237
2016-09-27,Liberal,2.7107116492789
2016-09-28,Liberal,2.557881145595264
2016-09-29,Liberal,2.4859993667120577
2016-09-30,Liberal,2.421339618613821
2016-10-01,Liberal,2.3602498942379
2016-10-02,Liberal,2.301388846698365
2016-10-03,Liberal,2.4246996867851385
2016-10-04,Liberal,2.46307887219242
2016-10-05,Liberal,2.3185952655686455
2016-10-06,Liberal,2.249045512628713
2016-10-07,Liberal,2.1862454539517175
2016-10-08,Liberal,2.055765611907785
2016-10-09,Liberal,1.9790247679703015
2016-10-10,Liberal,1.961635467056339
2016-10-11,Liberal,1.9219214760407506
2016-10-12,Liberal,1.8666898971931851
2016-10-13,Liberal,1.89765537053783
2016-10-14,Liberal,1.8756470345132814
2016-10-15,Liberal,1.9678139545091178
2016-10-16,Liberal,2.0023335496596872
2016-10-17,Liberal,2.0423264056956114
2016-10-18,Liberal,2.0624901744474964
2016-10-19,Liberal,2.0134988392364677
2016-10-20,Liberal,2.0021404209174394
2016-10-21,Liberal,2.0033066250277214
2016-10-22,Liberal,2.0059074982392886
2016-10-23,Liberal,2.0093431006045295
2016-10-24,Liberal,2.079684804746293
2016-10-25,Liberal,2.1108770805874375
2016-10-26,Liberal,2.0130796306743273
2016-10-27,Liberal,1.8409216729704319
2016-10-28,Liberal,1.6702547942110673
2016-10-29,Liberal,1.4996011885557317
2016-10-30,Liberal,1.3284684078946642
2016-10-31,Liberal,1.2719580712329337
2016-11-01,Liberal,1.2866644207055447
2016-11-02,Liberal,1.517552498515911
2016-11-03,Liberal,1.6753615417015557
2016-11-04,Liberal,1.7911908374754077
2016-11-05,Liberal,1.8963586312798586
